frame,time_s,step_dx_px,step_dy_px,cumulative_dx_px,cumulative_dy_px,valid_points,median_zncc,median_forward_backward_error_px,cumulative_dx_mm_guess,cumulative_dy_mm_guess,displacement_magnitude_mm_guess,cumulative_dx_mm_active_crop_sensitivity,cumulative_dy_mm_active_crop_sensitivity,displacement_magnitude_mm_active_crop_sensitivity
0,0.0,0.0,0.0,0.0,0.0,127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.04,0.0,0.0,0.0,0.0,127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.08,2.0,0.0,2.0,0.0,127,0.9791935682296753,0.0,0.13203125000000002,0.0,0.13203125000000002,0.2778082191780822,0.0,0.2778082191780822
3,0.12,0.0,0.0,2.0,0.0,126,0.9612042903900146,0.0,0.13203125000000002,0.0,0.13203125000000002,0.2778082191780822,0.0,0.2778082191780822
4,0.16,1.0,0.0,3.0,0.0,123,0.9202872514724731,0.0,0.198046875,0.0,0.198046875,0.4167123287671233,0.0,0.4167123287671233
5,0.2,0.0,0.0,3.0,0.0,127,0.9993855357170105,0.0,0.198046875,0.0,0.198046875,0.4167123287671233,0.0,0.4167123287671233
6,0.24,-4.5,-1.0,-1.5,-1.0,124,0.9230327606201172,0.0,-0.0990234375,-0.06601562500000001,0.11901136045965122,-0.20835616438356164,-0.1389041095890411,0.2504129447479784
7,0.28,-4.5,0.0,-6.0,-1.0,105,0.8331090807914734,0.5,-0.39609375,-0.06601562500000001,0.40155737016421844,-0.8334246575342465,-0.1389041095890411,0.8449207131126567
8,0.32,0.0,0.0,-6.0,-1.0,108,0.8143136203289032,0.0,-0.39609375,-0.06601562500000001,0.40155737016421844,-0.8334246575342465,-0.1389041095890411,0.8449207131126567
9,0.36,0.0,0.0,-6.0,-1.0,123,0.8916684985160828,0.0,-0.39609375,-0.06601562500000001,0.40155737016421844,-0.8334246575342465,-0.1389041095890411,0.8449207131126567
10,0.4,-1.0,0.0,-7.0,-1.0,124,0.9627068042755127,0.0,-0.46210937500000004,-0.06601562500000001,0.4668009610176818,-0.9723287671232876,-0.1389041095890411,0.982200378250903
11,0.44,-1.0,0.0,-8.0,-1.0,124,0.9836167693138123,0.0,-0.5281250000000001,-0.06601562500000001,0.5322349841650215,-1.1112328767123287,-0.1389041095890411,1.1198807338047574
12,0.48,0.0,0.0,-8.0,-1.0,123,0.997536838054657,0.0,-0.5281250000000001,-0.06601562500000001,0.5322349841650215,-1.1112328767123287,-0.1389041095890411,1.1198807338047574
13,0.52,0.0,0.0,-8.0,-1.0,124,0.937920480966568,0.0,-0.5281250000000001,-0.06601562500000001,0.5322349841650215,-1.1112328767123287,-0.1389041095890411,1.1198807338047574
14,0.56,0.0,0.0,-8.0,-1.0,124,0.9729978442192078,0.0,-0.5281250000000001,-0.06601562500000001,0.5322349841650215,-1.1112328767123287,-0.1389041095890411,1.1198807338047574
15,0.6,0.0,0.0,-8.0,-1.0,124,0.9823895990848541,0.0,-0.5281250000000001,-0.06601562500000001,0.5322349841650215,-1.1112328767123287,-0.1389041095890411,1.1198807338047574
16,0.64,0.0,0.0,-8.0,-1.0,126,0.9710611402988434,0.0,-0.5281250000000001,-0.06601562500000001,0.5322349841650215,-1.1112328767123287,-0.1389041095890411,1.1198807338047574
17,0.68,0.0,0.0,-8.0,-1.0,126,0.9703999161720276,0.0,-0.5281250000000001,-0.06601562500000001,0.5322349841650215,-1.1112328767123287,-0.1389041095890411,1.1198807338047574
