row,frame,matlab_alpha,python_alpha,alpha_error_python_minus_matlab,abs_alpha_error,selected_line_alpha,py_first_peak_alpha,py_first_peak_weight,py_total_peak_weight,py_weighted_peak_spread,py_nearest_peak_to_matlab,py_nearest_peak_distance_to_matlab,py_nearest_peak_index,matlab_first_peak_alpha,matlab_first_peak_weight,matlab_total_peak_weight,matlab_weighted_peak_spread,matlab_nearest_peak_to_python,matlab_nearest_peak_distance_to_python,matlab_nearest_peak_index,mask_density,n_fascicle_candidates,category
0,0,18.5,24.0,5.5,5.5,18.434947967529297,19.0,264.0,2170.0,3.5410138248847924,19.0,0.5,0,19.0,367.0,2840.0,5.215845070422535,25.5,1.5,5,0.08412239700555801,90.0,"peak exists, weighted median differs"
1,1,19.0,24.0,5.0,5.0,18.434947967529297,19.0,264.0,2177.0,3.5392742305925586,19.0,0.0,0,19.0,363.0,2838.0,4.580338266384778,25.5,1.5,5,0.08424495160579681,100.0,"peak exists, weighted median differs"
2,2,18.5,23.0,4.5,4.5,18.434947967529297,19.0,265.0,2180.0,4.222477064220183,19.0,0.5,0,19.0,363.0,2837.0,4.645576313006697,21.0,2.0,1,0.08418045192956924,130.0,"peak exists, weighted median differs"
3,3,19.0,24.0,5.0,5.0,19.133642196655273,19.0,269.0,2183.0,4.803023362345396,19.0,0.0,0,19.0,364.0,2843.0,4.517411185367569,25.5,1.5,4,0.08412239700555801,86.0,"peak exists, weighted median differs"
4,4,19.0,23.0,4.0,4.0,18.434947967529297,19.0,269.0,2192.0,4.206204379562044,19.0,0.0,0,19.0,364.0,2865.0,4.532809773123909,21.0,2.0,1,0.08418045192956924,96.0,"peak exists, weighted median differs"
5,5,19.0,23.0,4.0,4.0,18.92464256286621,19.0,267.0,2190.0,4.198173515981735,19.0,0.0,0,19.0,364.0,2857.0,4.344242212110606,21.0,2.0,1,0.083490289747715,102.0,"peak exists, weighted median differs"
6,6,19.0,21.0,2.0,2.0,18.434947967529297,19.0,271.0,2198.0,4.8630573248407645,19.0,0.0,0,19.0,367.0,2887.0,4.350883269830273,21.0,0.0,1,0.08475451171398163,102.0,"peak exists, weighted median differs"
7,7,19.0,21.0,2.0,2.0,18.434947967529297,19.0,274.0,2209.0,4.03168854685378,19.0,0.0,0,19.0,360.0,2873.0,5.295161851722938,21.0,0.0,1,0.08440620452165604,114.0,"peak exists, weighted median differs"
8,8,19.0,21.0,2.0,2.0,18.92464256286621,19.0,272.0,2192.0,3.1003649635036497,19.0,0.0,0,19.0,368.0,2875.0,4.303304347826087,21.0,0.0,1,0.08361928910017014,119.0,"peak exists, weighted median differs"
9,9,19.0,21.0,2.0,2.0,18.434947967529297,19.0,275.0,2176.0,4.023897058823529,19.0,0.0,0,19.0,363.0,2863.0,3.429968564442892,21.0,0.0,1,0.08344513177871704,104.0,"peak exists, weighted median differs"
10,10,19.0,21.0,2.0,2.0,19.983104705810547,19.0,275.0,2165.0,4.0240184757505775,19.0,0.0,0,19.0,357.0,2855.0,4.647110332749562,21.0,0.0,1,0.08315487951040268,101.0,"peak exists, weighted median differs"
11,11,19.0,21.0,2.0,2.0,18.970407485961914,19.0,276.0,2169.0,4.026740433379437,19.0,0.0,0,19.0,355.0,2854.0,4.646285914505957,21.0,0.0,1,0.08350963890552521,98.0,"peak exists, weighted median differs"
12,12,19.0,21.0,2.0,2.0,18.434947967529297,19.0,279.0,2175.0,4.024367816091954,19.0,0.0,0,19.0,353.0,2853.0,4.7322117069751135,21.0,0.0,1,0.08338063210248947,110.0,"peak exists, weighted median differs"
13,13,19.0,21.0,2.0,2.0,18.434947967529297,19.0,278.0,2162.0,4.033302497687327,19.0,0.0,0,19.0,353.0,2849.0,3.5177255177255176,21.0,0.0,1,0.08352898806333542,100.0,"peak exists, weighted median differs"
14,14,19.0,21.0,2.0,2.0,19.025606155395508,19.0,275.0,2165.0,4.021709006928407,19.0,0.0,0,19.0,349.0,2854.0,4.716713384723196,21.0,0.0,1,0.08339998126029968,104.0,"peak exists, weighted median differs"
15,15,19.0,21.0,2.0,2.0,19.746835708618164,19.0,275.0,2159.0,4.038443723946272,19.0,0.0,0,19.0,350.0,2850.0,3.524736842105263,21.0,0.0,1,0.08352253586053848,91.0,"peak exists, weighted median differs"
16,16,19.0,21.0,2.0,2.0,18.778032302856445,19.0,274.0,2162.0,4.054116558741906,19.0,0.0,0,19.0,352.0,2851.0,4.626972991932655,21.0,0.0,1,0.08397404104471207,139.0,"peak exists, weighted median differs"
17,17,19.0,19.0,0.0,0.0,18.92464256286621,19.0,276.0,2155.0,4.916473317865429,19.0,0.0,0,19.0,348.0,2861.0,3.8028661307235234,19.0,0.0,0,0.08383214473724365,80.0,matched within 1 deg
