selected_index,row,frame,category_nb25,variant,thetares,nhood,peak_source,weight_mode,nhood_rows,nhood_cols,suppress,mask_density,matlab_alpha,matlab_alpha_from_saved_peaks,variant_alpha,variant_error,abs_variant_error,first_peak_alpha,first_peak_weight,total_weight,nearest_peak_to_matlab,nearest_peak_distance_to_matlab,nearest_peak_index
0,0,0,"peak exists, weighted median differs",1deg_helper_corrected,1.0,helper,corrected,corrected,29,3,True,0.08412239737867334,18.5,18.5,24.0,5.5,5.5,19.0,264.0,2170.0,19.0,0.5,0
0,0,0,"peak exists, weighted median differs",1deg_matlab_doc_nhood,1.0,matlab_doc,corrected,corrected,59,5,True,0.08412239737867334,18.5,18.5,22.0,3.5,3.5,19.0,264.0,2082.0,19.0,0.5,0
0,0,0,"peak exists, weighted median differs",1deg_no_suppression,1.0,none,corrected,corrected,1,1,False,0.08412239737867334,18.5,18.5,25.0,6.5,6.5,19.0,264.0,2382.0,19.0,0.5,0
0,0,0,"peak exists, weighted median differs",1deg_small_1x1,1.0,small_1x1,corrected,corrected,1,1,True,0.08412239737867334,18.5,18.5,25.0,6.5,6.5,19.0,264.0,2382.0,19.0,0.5,0
0,0,0,"peak exists, weighted median differs",1deg_large_3x_helper,1.0,large_3x_helper,corrected,corrected,87,9,True,0.08412239737867334,18.5,18.5,21.0,2.5,2.5,19.0,264.0,1971.0,19.0,0.5,0
0,0,0,"peak exists, weighted median differs",1deg_raw_peak_raw_weight,1.0,helper,raw,raw,29,3,True,0.08412239737867334,18.5,18.5,19.0,0.5,0.5,19.0,193.0,1565.0,19.0,0.5,0
0,0,0,"peak exists, weighted median differs",1deg_corrected_peaks_raw_weight,1.0,helper,corrected,raw,29,3,True,0.08412239737867334,18.5,18.5,23.0,4.5,4.5,19.0,193.0,1449.0,19.0,0.5,0
0,0,0,"peak exists, weighted median differs",1deg_corrected_peaks_uniform_weight,1.0,helper,corrected,uniform,29,3,True,0.08412239737867334,18.5,18.5,23.0,4.5,4.5,19.0,1.0,10.0,19.0,0.5,0
0,0,0,"peak exists, weighted median differs",0p5deg_helper_corrected,0.5,helper,corrected,corrected,29,3,True,0.08412239737867334,18.5,18.5,23.5,5.0,5.0,18.5,264.0,2329.0,18.5,0.0,0
0,0,0,"peak exists, weighted median differs",0p5deg_matlab_doc_nhood,0.5,matlab_doc,corrected,corrected,59,7,True,0.08412239737867334,18.5,18.5,23.5,5.0,5.0,18.5,264.0,2197.0,18.5,0.0,0
1,17,17,matched within 1 deg,1deg_helper_corrected,1.0,helper,corrected,corrected,29,3,True,0.08383214221213138,19.0,19.0,19.0,0.0,0.0,19.0,276.0,2155.0,19.0,0.0,0
1,17,17,matched within 1 deg,1deg_matlab_doc_nhood,1.0,matlab_doc,corrected,corrected,59,5,True,0.08383214221213138,19.0,19.0,21.0,2.0,2.0,19.0,276.0,2095.0,19.0,0.0,0
1,17,17,matched within 1 deg,1deg_no_suppression,1.0,none,corrected,corrected,1,1,False,0.08383214221213138,19.0,19.0,19.0,0.0,0.0,19.0,276.0,2348.0,19.0,0.0,0
1,17,17,matched within 1 deg,1deg_small_1x1,1.0,small_1x1,corrected,corrected,1,1,True,0.08383214221213138,19.0,19.0,19.0,0.0,0.0,19.0,276.0,2348.0,19.0,0.0,0
1,17,17,matched within 1 deg,1deg_large_3x_helper,1.0,large_3x_helper,corrected,corrected,87,9,True,0.08383214221213138,19.0,19.0,21.0,2.0,2.0,19.0,276.0,2002.0,19.0,0.0,0
1,17,17,matched within 1 deg,1deg_raw_peak_raw_weight,1.0,helper,raw,raw,29,3,True,0.08383214221213138,19.0,19.0,17.0,-2.0,2.0,19.0,202.0,1563.0,19.0,0.0,0
