variant,thetares,nhood,peak_source,weight_mode,nhood_rows,nhood_cols,alpha_bias,alpha_mae,alpha_rmse,alpha_corr,first_peak_mae,nearest_peak_mae,pct_alpha_within_1deg,pct_peak_within_1deg
1deg_raw_peak_raw_weight,1.0,helper,raw,raw,29,3,-5.164948453608248,5.896907216494846,7.963835785120832,0.3691164329020711,8.257731958762887,0.7731958762886598,0.21649484536082475,0.865979381443299
1deg_corrected_peaks_raw_weight,1.0,helper,corrected,raw,29,3,6.577319587628866,6.793814432989691,8.779662534904409,0.3560392965563946,7.525773195876289,1.5360824742268042,0.3402061855670103,0.7422680412371134
1deg_corrected_peaks_uniform_weight,1.0,helper,corrected,uniform,29,3,6.56701030927835,6.793814432989691,8.779662534904409,0.3525708501487864,7.525773195876289,1.5360824742268042,0.3402061855670103,0.7422680412371134
1deg_matlab_doc_nhood,1.0,matlab_doc,corrected,corrected,59,5,6.65979381443299,6.804123711340206,8.84808791738726,0.3585939014011039,7.525773195876289,1.0206185567010309,0.3402061855670103,0.7731958762886598
1deg_large_3x_helper,1.0,large_3x_helper,corrected,corrected,87,9,6.731958762886598,6.814432989690721,8.82825828404997,0.38215054891399924,7.525773195876289,0.8762886597938144,0.3402061855670103,0.7628865979381443
0p5deg_matlab_doc_nhood,0.5,matlab_doc,corrected,corrected,59,7,6.778350515463917,6.963917525773196,8.922200967423496,0.3572593771663778,7.530927835051546,1.1443298969072164,0.30927835051546393,0.7731958762886598
0p5deg_helper_corrected,0.5,helper,corrected,corrected,29,3,7.077319587628866,7.170103092783505,9.219125123418008,0.32442196940082746,7.530927835051546,2.8350515463917527,0.32989690721649484,0.6185567010309279
1deg_helper_corrected,1.0,helper,corrected,corrected,29,3,7.072164948453608,7.216494845360825,9.262495043614852,0.31160012355099825,7.525773195876289,1.5360824742268042,0.31958762886597936,0.7422680412371134
1deg_no_suppression,1.0,none,corrected,corrected,1,1,7.350515463917525,7.402061855670103,9.432341817647856,0.3336254430117161,7.525773195876289,6.082474226804123,0.27835051546391754,0.41237113402061853
1deg_small_1x1,1.0,small_1x1,corrected,corrected,1,1,7.350515463917525,7.402061855670103,9.432341817647856,0.3336254430117161,7.525773195876289,6.082474226804123,0.27835051546391754,0.41237113402061853
