frame,time_s,ANG_deg,PEN_deg,FL_px,FL_mm,selected_segment_FL_mm,super_apo_angle_deg,muscle_thickness_px,line_helper_PEN_deg,line_helper_FL_mm
0,0.0,24.0,25.415696024894714,638.5005721999958,57.60138613975051,72.67002679682288,-1.4156960248947144,274.0333251953125,25.4156959719773,57.60138681304726
1,0.029993101954460144,24.0,25.415696024894714,639.4668354758247,57.688556154135796,72.79484676483264,-1.4156960248947144,274.4480285644531,25.4156959719773,57.68855355932753
2,0.05998620390892029,23.0,24.415696024894714,663.2961733554331,59.83828467815029,72.7095722999437,-1.4156960248947144,274.1760559082031,24.4156959719773,59.83828295846055
3,0.08997930586338043,24.0,25.415696024894714,638.9335383554541,57.64044554203118,70.36750612089219,-1.4156960248947144,274.2191467285156,25.4156959719773,57.640446484637366
4,0.11997240781784058,23.0,24.415696024894714,662.8467013207594,59.79773622235321,72.67367189889278,-1.4156960248947144,273.9902648925781,24.4156959719773,59.7977342210046
5,0.14996550977230072,23.0,24.362818241119385,663.1024136615298,59.82080493352235,71.01444566394088,-1.3628182411193848,273.5386047363281,24.36281822989619,59.82080525780975
6,0.17995861172676086,21.0,22.362818241119385,718.9114697143324,64.85553650269867,72.70327321117036,-1.3628182411193848,273.52447509765625,22.36281822989619,64.85553708981394
7,0.209951713681221,21.0,22.415696024894714,718.4871517747674,64.81725728644255,72.6521371644587,-1.4156960248947144,273.97613525390625,22.4156959719773,64.81725543721748
8,0.23994481563568115,21.0,22.362818241119385,718.9114697143324,64.85553650269867,71.01532114918122,-1.3628182411193848,273.52447509765625,22.36281822989619,64.85553708981394
9,0.2699379026889801,21.0,22.362818241119385,717.9718881129184,64.77077353616542,72.59272530443728,-1.3628182411193848,273.1669921875,22.36281822989619,64.77077135081798
10,0.29993101954460144,21.0,22.415696024894714,717.5496727578877,64.73268400146782,67.57819913273605,-1.4156960248947144,273.61865234375,22.4156959719773,64.73268127877998
11,0.3299241065979004,21.0,22.415696024894714,717.5496727578877,64.73268400146782,70.72976979971781,-1.4156960248947144,273.61865234375,22.4156959719773,64.73268127877998
12,0.35991722345352173,21.0,22.362818241119385,717.2199180332482,64.70293566598876,72.49649901474923,-1.3628182411193848,272.8808898925781,22.36281822989619,64.7029333228842
13,0.3899103105068207,21.0,22.362818241119385,718.0091056187282,64.7741310584867,72.5964750242403,-1.3628182411193848,273.18115234375,22.36281822989619,64.77412859634285
14,0.419903427362442,21.0,22.415696024894714,717.5868069788056,64.73603401036557,70.55151770106414,-1.4156960248947144,273.6328125,22.4156959719773,64.73603093653436
15,0.44989651441574097,21.0,22.415696024894714,717.5496727578877,64.73268400146782,68.26350034666231,-1.4156960248947144,273.61865234375,22.4156959719773,64.73268127877998
16,0.4798896312713623,21.0,22.415696024894714,717.9998451558687,64.77329563950632,71.43101145245427,-1.4156960248947144,273.7903137207031,22.4156959719773,64.7732934871585
17,0.5098827481269836,19.0,20.415696024894714,784.3923788626614,70.76280001483441,70.87778737349868,-1.4156960248947144,273.61865234375,20.4156959719773,70.76279705566424
18,0.5398758053779602,19.0,20.33632802963257,785.212790176321,70.83681220985673,72.60950268511247,-1.3363280296325684,272.88519287109375,20.336328071584063,70.83681224719261
19,0.5698689222335815,21.0,22.33632802963257,718.075490628784,64.78011988412696,72.60412863734778,-1.3363280296325684,272.89935302734375,22.336328071584063,64.78011969029504
20,0.5998620390892029,21.0,22.362818241119385,717.9718881129184,64.77077353616542,72.60157376218098,-1.3628182411193848,273.1669921875,22.36281822989619,64.77077135081798
21,0.6298551559448242,21.0,22.362818241119385,717.2199180332482,64.70293566598876,72.50854657264792,-1.3628182411193848,272.8808898925781,22.36281822989619,64.7029333228842
22,0.6598482131958008,21.0,22.323051810264587,717.7573502575344,64.75141932038612,72.55520057542469,-1.3230518102645874,272.6246032714844,22.323051864770065,64.75141620652579
23,0.6898413300514221,22.0,23.362818241119385,688.1335304726099,62.07895016897033,72.51095828670624,-1.3628182411193848,272.8808898925781,23.36281822989619,62.07894791948226
24,0.7198344469070435,21.0,22.362818241119385,717.1827807375802,64.69958537970697,72.5185623440454,-1.3628182411193848,272.86676025390625,22.36281822989619,64.69958326929392
25,0.7498275637626648,21.0,22.362818241119385,717.1827807375802,64.69958537970697,72.49976969545847,-1.3628182411193848,272.86676025390625,22.36281822989619,64.69958326929392
26,0.7798206210136414,21.0,22.362818241119385,717.9718881129184,64.77077353616542,71.25612363985002,-1.3628182411193848,273.1669921875,22.36281822989619,64.77077135081798
27,0.8098137378692627,21.0,22.362818241119385,718.9114697143324,64.85553650269867,70.86272241992883,-1.3628182411193848,273.52447509765625,22.36281822989619,64.85553708981394
28,0.839806854724884,21.0,22.33632802963257,719.0161294146742,64.86497822299641,71.27635340571828,-1.3363280296325684,273.2568359375,22.336328071584063,64.86497452878017
29,0.8697999715805054,21.0,22.362818241119385,718.9114697143324,64.85553650269867,69.0551372270143,-1.3628182411193848,273.52447509765625,22.36281822989619,64.85553708981394
30,0.8997930288314819,21.0,22.362818241119385,718.9486070100004,64.85888678898047,72.70251886225256,-1.3628182411193848,273.5386047363281,22.36281822989619,64.85888714340423
31,0.9297861456871033,23.0,24.362818241119385,663.0681611013966,59.81771488939646,71.26546765527692,-1.3628182411193848,273.52447509765625,24.36281822989619,59.817715428300566
32,0.9597792625427246,24.0,25.362818241119385,638.5554402782991,57.606335982401724,70.48651154541885,-1.3628182411193848,273.52447509765625,25.36281822989619,57.60633650026876
33,0.989772379398346,21.0,22.33632802963257,718.9789503334152,64.86162416708925,71.53401587000945,-1.3363280296325684,273.2427062988281,22.336328071584063,64.86162066930314
34,1.0197654962539673,21.0,22.362818241119385,718.6478189781324,64.83175164090981,71.4125877190315,-1.3628182411193848,273.4241638183594,22.36281822989619,64.83175336220602
35,1.0497585535049438,20.0,21.415696024894714,750.0738111833585,67.66680111565175,72.63696759315573,-1.4156960248947144,273.8758239746094,21.4156959719773,67.66680092871707
36,1.0797516107559204,20.0,21.3891863822937,749.8529630509664,67.6468776275516,72.60289524933623,-1.3891863822937012,273.47216796875,21.389186380818927,67.64688067620072
37,1.1097447872161865,21.0,22.362818241119385,718.9114697143324,64.85553650269867,71.51538290112045,-1.3628182411193848,273.52447509765625,22.36281822989619,64.85553708981394
38,1.139737844467163,21.0,22.33632802963257,718.7150029465943,64.83781254340273,71.48778584436167,-1.3363280296325684,273.14239501953125,22.336328071584063,64.83780992177721
39,1.1697310209274292,21.0,22.349522352218628,717.4471894920345,64.72343862499315,70.88092590549239,-1.349522352218628,272.8133850097656,22.349522336962593,64.7234366426652
40,1.1997240781784058,22.0,23.442062616348267,688.9958358692714,62.15674177681862,71.00287714513595,-1.4420626163482666,274.0973815917969,23.44206261437907,62.156739918026666
41,1.2297171354293823,23.0,24.495038151741028,665.4871068380871,60.03593650656765,71.24012813907501,-1.4950381517410278,275.9205627441406,24.495038150183262,60.03593373282858
42,1.2597103118896484,22.0,23.574334025382996,692.2894339395592,62.45386886251896,73.15019466087912,-1.5743340253829956,276.8731994628906,23.57433401988581,62.45387065937361
43,1.289703369140625,22.0,23.05899405479431,699.2742557536462,63.08399424681471,74.07251560849228,-1.0589940547943115,273.8908386230469,23.05899402219805,63.083994883977695
44,1.3196964263916016,26.0,26.92429369688034,601.9940460040879,54.308003794318964,73.03371658053688,-0.9242936968803406,272.5906066894531,26.924293703781274,54.30800622050397
45,1.3496896028518677,22.0,23.270434856414795,695.0347564758459,62.70153408065016,72.27674671322426,-1.270434856414795,274.58843994140625,23.270434863997366,62.70153194242324
46,1.3796826601028442,23.0,24.32331657409668,667.2762290052123,60.19733952057698,73.48514760516294,-1.3233165740966797,274.8412170410156,24.323316604012348,60.197338148640306
47,1.4096757173538208,23.0,23.813791692256927,671.6137267842022,60.58864047679547,62.047120150637376,-0.8137916922569275,271.1744689941406,23.813791674647916,60.58864177506171
48,1.439668893814087,25.0,26.151387333869934,621.3434110848304,56.05357818861371,73.8107069782515,-1.151387333869934,273.8536376953125,26.151387362082232,56.05357623754802
49,1.4696619510650635,24.0,25.05882692337036,644.4829951836292,58.14108159396798,72.34578340469307,-1.0588269233703613,272.9698486328125,25.05882690322602,58.14108401714916
50,1.4996551275253296,24.0,24.703017473220825,647.8386923758435,58.44381086024069,71.5400671799412,-0.7030174732208252,270.741455078125,24.703017481546397,58.4438091630181
51,1.5296481847763062,24.0,24.65973323583603,646.9262228038662,58.361493765402166,74.51564328882618,-0.659733235836029,269.9160461425781,24.65973325209785,58.36149377385827
52,1.5596412420272827,24.0,24.72709345817566,645.9810547831579,58.27622682830268,67.95321516260982,-0.7270934581756592,270.2117004394531,24.727093429011575,58.27622681296939
53,1.5896344184875488,24.0,24.664468109607697,646.3640672032446,58.3107797281219,63.63066922116535,-0.6644681096076965,269.73004150390625,24.664468111841984,58.310782010200235
54,1.6196274757385254,20.0,20.7030171751976,764.1006316033519,68.93221000407463,70.63935254731638,-0.7030171751976013,270.12799072265625,20.703017164372,68.93221355679273
55,1.649620532989502,24.0,24.760639429092407,646.3484753359968,58.309373130845266,69.52471116904263,-0.7606394290924072,270.7090759277344,24.76063940696065,58.30937538681214
56,1.679613709449768,24.0,24.717355966567993,645.6046576596837,58.242270717697444,57.234671389759654,-0.7173559665679932,269.95458984375,24.71735593952397,58.24227056871304
57,1.7096067667007446,24.0,24.717356264591217,643.7237869013094,58.07259074002916,64.86437659212703,-0.717356264591217,269.1681213378906,24.717356256696405,58.072591091499426
58,1.7395999431610107,24.0,24.69814884662628,644.1955968601088,58.11515437866107,59.97198336455322,-0.6981488466262817,269.1692199707031,24.69814884971126,58.11515167718506
59,1.7695930004119873,24.0,24.58263325691223,646.6066874074829,58.33266735152916,73.10124457417011,-0.5826332569122314,268.9917297363281,24.582633238418083,58.332667978497675
60,1.7995860576629639,24.0,24.97925442457199,645.8460387979163,58.26404656059495,60.87444896765876,-0.979254424571991,272.734375,24.979254396140277,58.26404791168447
61,1.82957923412323,24.0,24.93957942724228,644.9687111796436,58.18489974520985,60.97515179508522,-0.939579427242279,271.958984375,24.93957944880455,58.18489953858317
62,1.8595722913742065,25.0,25.899882376194,623.5078100598057,56.248836245608814,59.674384457191124,-0.8998823761940002,272.3481750488281,25.89988235167263,56.24883572523857
63,1.889565348625183,24.0,24.332511991262436,649.2666358832605,58.57263067487778,62.71648092575345,-0.3325119912624359,267.5182800292969,24.332512002011867,58.57263367624141
64,1.9195585250854492,26.0,26.471981912851334,602.2076382895941,54.32727270690823,60.740422639134096,-0.4719819128513336,268.4401550292969,26.471981923034548,54.32727129198316
65,1.9495515823364258,24.0,24.346852779388428,648.2102415538507,58.477329620605396,73.95630733177757,-0.34685277938842773,267.2308349609375,24.346852793535163,58.477328171961204
66,1.979544758796692,25.0,25.385405749082565,625.742116514207,56.450400902616195,63.08177851883967,-0.3854057490825653,268.2587890625,25.38540576203073,56.45040350367105
67,2.009537696838379,25.0,25.45750802755356,625.1407205619735,56.39614685496807,46.48959325607137,-0.45750802755355835,268.71148681640625,25.457508029263295,56.39614798810057
68,2.0395309925079346,24.0,24.500795364379883,649.2604827151488,58.572075575903995,66.94960623635941,-0.5007953643798828,269.25213623046875,24.500795353297747,58.57207544026983
69,2.069524049758911,26.0,26.395010471343994,603.3929728341495,54.43420591226225,47.090545046117384,-0.39501047134399414,268.24267578125,26.395010485642587,54.434204701856885
