offset,n,py_start,mat_start,ANG_deg_median_abs_error,PEN_deg_median_abs_error,FL_mm_median_abs_error,combined_display_score
-5,2661,0,5,2.830174511723108,2.428192036898313,7.063638112408789,7.612912586091017
-4,2662,0,4,2.836340068949321,2.423291574569669,7.0841624429975525,7.621019124518174
-3,2663,0,3,2.8413583695518483,2.421080725654406,7.12914251925821,7.63881993495899
-2,2664,0,2,2.845383074585394,2.4200478234189173,7.154866448342645,7.650386380785193
-1,2665,0,1,2.8497454736898966,2.4219043659801294,7.208827368338589,7.6745922957828885
0,2666,0,0,2.847467270155482,2.4261984367206306,7.236152874985699,7.685716665204678
1,2666,1,0,2.8475192844153607,2.4265088928830494,7.2174443759094125,7.679842969268215
2,2665,2,0,2.845342393133812,2.429280917760231,7.257229701265757,7.693699877982629
3,2664,3,0,2.843084492676523,2.428899971111443,7.243308624583946,7.686420671982615
4,2663,4,0,2.8415145058901885,2.425658351876418,7.2546206126320385,7.685379728643953
5,2662,5,0,2.839098535377566,2.425017949462159,7.272467814374231,7.688272422964468
