offset,n,py_start,mat_start,ANG_deg_median_abs_error,PEN_deg_median_abs_error,FL_mm_median_abs_error,combined_display_score
-5,2661,0,5,2.7150172507190256,2.478428861751965,6.900703730979828,7.4936806894642665
-4,2662,0,4,2.715412451812666,2.476028198308901,6.873523628736653,7.482615193033785
-3,2663,0,3,2.7266429372339083,2.4636157425739498,6.901402610219229,7.490726216547602
-2,2664,0,2,2.7236783208156385,2.4627535954571265,6.902263625334005,7.4871864580507665
-1,2665,0,1,2.7202776754539,2.4666707904997196,6.899344336402713,7.486729911421191
0,2666,0,0,2.74827002104907,2.467667099040961,6.870554157225264,7.506121839165118
1,2666,1,0,2.749504148870079,2.4691682988252506,6.928372008645443,7.528129783910478
2,2665,2,0,2.759576660427843,2.461902408908827,6.939389765494255,7.5346089911680885
3,2664,3,0,2.758655463899702,2.4603966067443164,6.903891644104103,7.520349285345386
4,2663,4,0,2.748856436556675,2.4536075450759682,6.898153053238161,7.501848332712031
5,2662,5,0,2.737861336595495,2.454753398613864,6.887785768473776,7.488543324700618
