family,method,block_size,offset,offset_units,candidate_index,target,mean_iou,mean_dice,mean_mae,mean_target_density,mean_pred_density,mean_density_bias,mean_abs_density_bias,min_iou,min_dice
cv2,mean,71,0.0,uint8_C,104,apo_thres_from_raw_red_channel,0.927915265468246,0.9626066700167767,0.02334086074622201,0.3009349338046927,0.32284424192119293,0.02190930811650016,0.02190930811650016,0.924064303125675,0.9605337011081354
skimage,mean,71,0.0,float01_offset,214,apo_thres_from_raw_red_channel,0.9060665317717044,0.9507121870009585,0.03100073145842504,0.3009349338046927,0.32764156744931605,0.026706633644623223,0.026706633644623223,0.9016145384114879,0.9482621427207334
cv2,mean,61,0.0,uint8_C,93,apo_thres_from_raw_red_channel,0.8975940156575665,0.9460318904827321,0.03389296063678329,0.3009349338046927,0.3270109225897437,0.02607598878505092,0.02607598878505092,0.8934048562673719,0.9437018747576427
skimage,mean,71,-0.0196078431372549,float01_offset,213,apo_thres_from_raw_red_channel,0.8843233481704534,0.9385513223539981,0.03501087106281021,0.3009349338046927,0.27084432481234677,-0.03009060899234601,0.03009060899234601,0.8631810216305286,0.9265669965606794
skimage,mean,61,0.0,float01_offset,203,apo_thres_from_raw_red_channel,0.8817346019213678,0.9371465693650605,0.03979111429233918,0.3009349338046927,0.3320555213909584,0.031120587586265607,0.031120587586265607,0.8765516632062552,0.9342153273932132
cv2,mean,71,-5.0,uint8_C,103,apo_thres_from_raw_red_channel,0.8816577377191679,0.9370246841342611,0.03562583381219777,0.3009349338046927,0.26704197316790945,-0.03389296063678329,0.03389296063678329,0.8559701362054797,0.922396454024315
skimage,mean,61,-0.0196078431372549,float01_offset,202,apo_thres_from_raw_red_channel,0.8654997505681216,0.9278481723716189,0.0412912761541193,0.3009349338046927,0.27306978427017137,-0.027865149534521367,0.027865149534521367,0.8452830838362013,0.9161554573826396
cv2,mean,61,-5.0,uint8_C,92,apo_thres_from_raw_red_channel,0.8616362519707453,0.925601049811788,0.04226412706093732,0.3009349338046927,0.2690786872281534,-0.031856246576539335,0.031856246576539335,0.8368422869173555,0.9111748927794663
cv2,mean,51,0.0,uint8_C,82,apo_thres_from_raw_red_channel,0.84544117012056,0.916245225961388,0.05305761943327095,0.3009349338046927,0.3327813790623666,0.031846445257673876,0.031846445257673876,0.8382395713738997,0.9120025315823223
skimage,mean,51,0.0,float01_offset,192,apo_thres_from_raw_red_channel,0.8360579282441051,0.9107032910177087,0.05706859915070171,0.3009349338046927,0.3384759453232027,0.037541011518509936,0.037541011518509936,0.8250696253368666,0.9041513966181727
skimage,mean,51,-0.0196078431372549,float01_offset,191,apo_thres_from_raw_red_channel,0.8302780992202153,0.9072204852990969,0.053398705329789166,0.3009349338046927,0.27602726222840546,-0.02490767157628731,0.02490767157628731,0.8112275217557656,0.8957764963392106
cv2,mean,51,-5.0,uint8_C,81,apo_thres_from_raw_red_channel,0.8243349880174345,0.9036449236896476,0.055031885090457776,0.3009349338046927,0.2717415655450598,-0.02919336825963302,0.02919336825963302,0.8024948194560021,0.8904267693797836
cv2,mean,41,0.0,uint8_C,71,apo_thres_from_raw_red_channel,0.7909368472620444,0.8832571454354353,0.07459251716911028,0.3009349338046927,0.33833284606776687,0.03739791226307412,0.03739791226307412,0.7811726576311138,0.8771442277471755
skimage,mean,41,-0.0196078431372549,float01_offset,180,apo_thres_from_raw_red_channel,0.7904884897619961,0.8829440128475775,0.06766382484427105,0.3009349338046927,0.27822891848327114,-0.022706015321421653,0.022706015321421653,0.7715619755168273,0.8710527615515515
skimage,gaussian,71,-0.0196078431372549,float01_offset,158,apo_thres_from_raw_red_channel,0.7877477553846958,0.8812168518722024,0.06771367155164398,0.3009349338046927,0.27042706866635974,-0.030507865138333003,0.030507865138333003,0.7674579838952187,0.8684313753290516
skimage,gaussian,71,0.0,float01_offset,159,apo_thres_from_raw_red_channel,0.7872420473302244,0.8809360472917007,0.07599886640746378,0.3009349338046927,0.3379004678869589,0.03696553408226611,0.03696553408226611,0.7692273969399833,0.8695630626910053
cv2,mean,41,-5.0,uint8_C,70,apo_thres_from_raw_red_channel,0.7850605658808214,0.879540867643516,0.06908137558989938,0.3009349338046927,0.2737113505993366,-0.02722358320535611,0.02722358320535611,0.765,0.8668555240793201
skimage,mean,41,0.0,float01_offset,181,apo_thres_from_raw_red_channel,0.7830947136760343,0.8783370820501771,0.07852452626025358,0.3009349338046927,0.3449481762265931,0.04401324242190029,0.04401324242190029,0.7677367298714771,0.8686098069900887
cv2,gaussian,71,0.0,uint8_C,49,apo_thres_from_raw_red_channel,0.7825611376860657,0.8780025215372964,0.07714786101617833,0.3009349338046927,0.33189057919633663,0.0309556453916439,0.0309556453916439,0.768049860101556,0.8688101816963912
cv2,gaussian,71,-5.0,uint8_C,48,apo_thres_from_raw_red_channel,0.7720248163418248,0.8712755213141767,0.0727059033063489,0.3009349338046927,0.2652673743778963,-0.035667559426796475,0.035667559426796475,0.7487858904166841,0.8563494187825023
skimage,gaussian,61,-0.0196078431372549,float01_offset,147,apo_thres_from_raw_red_channel,0.7621808043175625,0.8649811158396514,0.07694175328232167,0.3009349338046927,0.27017363456426696,-0.030761299240425786,0.030761299240425786,0.7409517204940228,0.8512030652794507
skimage,gaussian,61,0.0,float01_offset,148,apo_thres_from_raw_red_channel,0.7556477071225716,0.8607852781964983,0.08930681712531238,0.3009349338046927,0.3411489049966563,0.04021397119196359,0.04021397119196359,0.7344097202438608,0.8468699312185607
cv2,gaussian,61,0.0,uint8_C,38,apo_thres_from_raw_red_channel,0.7527977481523084,0.8589425161343391,0.0895171254243971,0.3009349338046927,0.33416504524848867,0.033230111443795875,0.033230111443795875,0.7353158397775654,0.8474720542766658
skimage,mean,71,-0.0392156862745098,float01_offset,212,apo_thres_from_raw_red_channel,0.7521540802623448,0.8582757319517275,0.0745505115168297,0.3009349338046927,0.22727998279448483,-0.07365495101020793,0.07365495101020793,0.7118759793065416,0.8316910663059985
cv2,gaussian,61,-5.0,uint8_C,37,apo_thres_from_raw_red_channel,0.7481120280254951,0.8558355494009616,0.08132098255141212,0.3009349338046927,0.26444182329174215,-0.03649311051295062,0.03649311051295062,0.7252821876061051,0.8407693452309524
skimage,mean,61,-0.0392156862745098,float01_offset,201,apo_thres_from_raw_red_channel,0.7477099682514504,0.8553451859845526,0.07619153233259067,0.3009349338046927,0.22814417908073711,-0.07279075472395566,0.07279075472395566,0.7050258665061461,0.8269972677316032
skimage,mean,31,-0.0196078431372549,float01_offset,169,apo_thres_from_raw_red_channel,0.7461955416010284,0.8546032140712774,0.08397517970018047,0.3009349338046927,0.2776685630818483,-0.023266370722844463,0.023266370722844463,0.7266003154402567,0.8416543295429489
cv2,mean,71,-10.0,uint8_C,102,apo_thres_from_raw_red_channel,0.7449377409897927,0.8535620898555568,0.07662139017426185,0.3009349338046927,0.22431858430870458,-0.07661634949598817,0.07661634949598817,0.7041836681085056,0.8264175760938817
cv2,mean,31,-5.0,uint8_C,59,apo_thres_from_raw_red_channel,0.7423619474197612,0.8520760714048639,0.0846301878380755,0.3009349338046927,0.27228707894934345,-0.028647854855349326,0.028647854855349326,0.721217954737534,0.8380321071511382
cv2,mean,61,-10.0,uint8_C,91,apo_thres_from_raw_red_channel,0.7405723405976395,0.850661193873727,0.07823020665660771,0.3009349338046927,0.2250940086498039,-0.07584092515488886,0.07584092515488886,0.6975333426436702,0.8218199019965755
cv2,mean,71,5.0,uint8_C,105,apo_thres_from_raw_red_channel,0.7394248853991934,0.8497762224377441,0.10653109482411954,0.3009349338046927,0.40746546855344856,0.10653053474875579,0.10653053474875579,0.6737002931824752,0.8050429290437185
cv2,mean,31,0.0,uint8_C,60,apo_thres_from_raw_red_channel,0.7367386241082824,0.8483857495296285,0.0974466724242414,0.3009349338046927,0.34231414179091935,0.04137920798622662,0.04137920798622662,0.718413541696103,0.8361358011494915
