frame,peak_index,python_alpha,python_weight,matlab_alpha,matlab_weight
2533,0,10.0,297.0,34.0,265.0
2533,1,13.0,293.0,44.0,261.0
2533,2,18.5,286.0,35.5,254.0
2533,3,29.5,286.0,48.0,252.0
2533,4,31.0,279.0,39.5,252.0
2533,5,32.5,275.0,11.5,250.0
2533,6,32.0,268.0,51.5,249.0
2533,7,19.5,261.0,46.0,248.0
2533,8,11.0,261.0,41.0,247.0
2533,9,31.0,261.0,12.5,246.0
1722,0,10.0,319.0,33.5,285.0
1722,1,30.5,293.0,40.5,272.0
1722,2,11.0,283.0,32.0,272.0
1722,3,30.5,282.0,37.0,269.0
1722,4,29.0,278.0,25.5,268.0
1722,5,32.0,275.0,34.0,261.0
1722,6,13.0,273.0,13.0,256.0
1722,7,14.0,272.0,46.0,252.0
1722,8,26.0,267.0,40.5,252.0
1722,9,11.5,264.0,24.0,252.0
691,0,13.0,287.0,32.0,280.0
691,1,14.5,283.0,11.5,274.0
691,2,30.5,274.0,24.5,261.0
691,3,30.5,264.0,39.5,258.0
691,4,31.5,261.0,34.5,257.0
691,5,29.5,259.0,37.5,255.0
691,6,11.0,254.0,41.0,252.0
691,7,5.5,251.0,43.5,251.0
691,8,29.5,250.0,34.0,248.0
691,9,15.5,249.0,24.0,245.0
0,0,19.0,314.0,19.0,367.0
0,1,20.0,314.0,21.0,328.0
0,2,21.0,280.0,11.0,276.0
0,3,20.0,279.0,8.5,271.0
0,4,18.0,277.0,13.0,270.0
0,5,15.0,275.0,25.5,269.0
0,6,14.0,274.0,19.0,267.0
0,7,18.5,270.0,18.5,266.0
0,8,10.5,270.0,5.5,264.0
0,9,11.0,268.0,10.5,262.0
