frame,variant,peak_source,weight_mode,nhood,nhood_rows,nhood_cols,suppress,alpha,matlab_export_alpha,abs_error_to_matlab_export,first_peak_alpha,first_peak_weight
0,helper_corrected,corrected,corrected,helper,37,3,True,18.5,18.5,0.0,19.0,309.0
0,matlab_doc_nhood,corrected,corrected,matlab_doc,75,7,True,18.5,18.5,0.0,19.0,309.0
0,no_suppression,corrected,corrected,none,1,1,False,19.5,18.5,1.0,19.0,309.0
0,small_1x1,corrected,corrected,small_1x1,1,1,True,19.5,18.5,1.0,19.0,309.0
0,wide_2x_helper,corrected,corrected,wide_2x_helper,75,7,True,18.5,18.5,0.0,19.0,309.0
0,wide_3x_helper,corrected,corrected,wide_3x_helper,111,9,True,19.0,18.5,0.5,19.0,309.0
0,raw_peaks_raw_weights,raw,raw,helper,37,3,True,10.5,18.5,8.0,10.5,247.0
0,corrected_peaks_raw_weights,corrected,raw,helper,37,3,True,18.0,18.5,0.5,19.0,245.0
0,corrected_peaks_uniform_weights,corrected,uniform,helper,37,3,True,18.0,18.5,0.5,19.0,1.0
122,helper_corrected,corrected,corrected,helper,37,3,True,15.0,15.0,0.0,15.0,310.0
122,matlab_doc_nhood,corrected,corrected,matlab_doc,75,7,True,23.5,15.0,8.5,15.0,310.0
122,no_suppression,corrected,corrected,none,1,1,False,28.0,15.0,13.0,15.0,310.0
122,small_1x1,corrected,corrected,small_1x1,1,1,True,28.0,15.0,13.0,15.0,310.0
122,wide_2x_helper,corrected,corrected,wide_2x_helper,75,7,True,23.5,15.0,8.5,15.0,310.0
122,wide_3x_helper,corrected,corrected,wide_3x_helper,111,9,True,19.5,15.0,4.5,15.0,310.0
122,raw_peaks_raw_weights,raw,raw,helper,37,3,True,12.0,15.0,3.0,13.5,263.0
122,corrected_peaks_raw_weights,corrected,raw,helper,37,3,True,14.5,15.0,0.5,15.0,263.0
122,corrected_peaks_uniform_weights,corrected,uniform,helper,37,3,True,14.5,15.0,0.5,15.0,1.0
533,helper_corrected,corrected,corrected,helper,37,3,True,19.5,19.5,0.0,20.5,338.0
533,matlab_doc_nhood,corrected,corrected,matlab_doc,75,7,True,19.0,19.5,0.5,20.5,338.0
533,no_suppression,corrected,corrected,none,1,1,False,20.0,19.5,0.5,20.5,338.0
533,small_1x1,corrected,corrected,small_1x1,1,1,True,20.0,19.5,0.5,20.5,338.0
533,wide_2x_helper,corrected,corrected,wide_2x_helper,75,7,True,19.0,19.5,0.5,20.5,338.0
533,wide_3x_helper,corrected,corrected,wide_3x_helper,111,9,True,18.5,19.5,1.0,20.5,338.0
533,raw_peaks_raw_weights,raw,raw,helper,37,3,True,12.5,19.5,7.0,20.5,260.0
533,corrected_peaks_raw_weights,corrected,raw,helper,37,3,True,19.5,19.5,0.0,20.5,260.0
533,corrected_peaks_uniform_weights,corrected,uniform,helper,37,3,True,19.5,19.5,0.0,20.5,1.0
691,helper_corrected,corrected,corrected,helper,37,3,True,16.5,16.5,0.0,13.0,284.0
691,matlab_doc_nhood,corrected,corrected,matlab_doc,75,7,True,15.0,16.5,1.5,13.0,284.0
691,no_suppression,corrected,corrected,none,1,1,False,14.5,16.5,2.0,13.0,284.0
691,small_1x1,corrected,corrected,small_1x1,1,1,True,14.5,16.5,2.0,13.0,284.0
691,wide_2x_helper,corrected,corrected,wide_2x_helper,75,7,True,15.0,16.5,1.5,13.0,284.0
691,wide_3x_helper,corrected,corrected,wide_3x_helper,111,9,True,21.5,16.5,5.0,13.0,284.0
691,raw_peaks_raw_weights,raw,raw,helper,37,3,True,11.0,16.5,5.5,13.0,247.0
691,corrected_peaks_raw_weights,corrected,raw,helper,37,3,True,16.5,16.5,0.0,13.0,247.0
691,corrected_peaks_uniform_weights,corrected,uniform,helper,37,3,True,16.5,16.5,0.0,13.0,1.0
955,helper_corrected,corrected,corrected,helper,37,3,True,14.5,14.5,0.0,14.0,304.0
955,matlab_doc_nhood,corrected,corrected,matlab_doc,75,7,True,16.5,14.5,2.0,14.0,304.0
955,no_suppression,corrected,corrected,none,1,1,False,14.5,14.5,0.0,14.0,304.0
955,small_1x1,corrected,corrected,small_1x1,1,1,True,14.5,14.5,0.0,14.0,304.0
955,wide_2x_helper,corrected,corrected,wide_2x_helper,75,7,True,16.5,14.5,2.0,14.0,304.0
955,wide_3x_helper,corrected,corrected,wide_3x_helper,111,9,True,18.5,14.5,4.0,14.0,304.0
955,raw_peaks_raw_weights,raw,raw,helper,37,3,True,10.0,14.5,4.5,14.0,262.0
955,corrected_peaks_raw_weights,corrected,raw,helper,37,3,True,14.5,14.5,0.0,14.0,262.0
955,corrected_peaks_uniform_weights,corrected,uniform,helper,37,3,True,14.5,14.5,0.0,14.0,1.0
1066,helper_corrected,corrected,corrected,helper,37,3,True,19.5,20.0,0.5,19.5,310.0
1066,matlab_doc_nhood,corrected,corrected,matlab_doc,75,7,True,19.5,20.0,0.5,19.5,310.0
1066,no_suppression,corrected,corrected,none,1,1,False,20.0,20.0,0.0,19.5,310.0
1066,small_1x1,corrected,corrected,small_1x1,1,1,True,20.0,20.0,0.0,19.5,310.0
1066,wide_2x_helper,corrected,corrected,wide_2x_helper,75,7,True,19.5,20.0,0.5,19.5,310.0
1066,wide_3x_helper,corrected,corrected,wide_3x_helper,111,9,True,19.0,20.0,1.0,19.5,310.0
1066,raw_peaks_raw_weights,raw,raw,helper,37,3,True,9.0,20.0,11.0,7.0,256.0
1066,corrected_peaks_raw_weights,corrected,raw,helper,37,3,True,19.5,20.0,0.5,19.5,243.0
1066,corrected_peaks_uniform_weights,corrected,uniform,helper,37,3,True,19.5,20.0,0.5,19.5,1.0
1600,helper_corrected,corrected,corrected,helper,37,3,True,19.0,19.0,0.0,19.0,315.0
1600,matlab_doc_nhood,corrected,corrected,matlab_doc,75,7,True,19.0,19.0,0.0,19.0,315.0
1600,no_suppression,corrected,corrected,none,1,1,False,19.5,19.0,0.5,19.0,315.0
1600,small_1x1,corrected,corrected,small_1x1,1,1,True,19.5,19.0,0.5,19.0,315.0
1600,wide_2x_helper,corrected,corrected,wide_2x_helper,75,7,True,19.0,19.0,0.0,19.0,315.0
1600,wide_3x_helper,corrected,corrected,wide_3x_helper,111,9,True,18.5,19.0,0.5,19.0,315.0
1600,raw_peaks_raw_weights,raw,raw,helper,37,3,True,10.5,19.0,8.5,6.0,257.0
1600,corrected_peaks_raw_weights,corrected,raw,helper,37,3,True,18.5,19.0,0.5,19.0,250.0
1600,corrected_peaks_uniform_weights,corrected,uniform,helper,37,3,True,18.5,19.0,0.5,19.0,1.0
2133,helper_corrected,corrected,corrected,helper,37,3,True,19.5,19.5,0.0,20.5,334.0
2133,matlab_doc_nhood,corrected,corrected,matlab_doc,75,7,True,20.5,19.5,1.0,20.5,334.0
2133,no_suppression,corrected,corrected,none,1,1,False,20.5,19.5,1.0,20.5,334.0
2133,small_1x1,corrected,corrected,small_1x1,1,1,True,20.5,19.5,1.0,20.5,334.0
2133,wide_2x_helper,corrected,corrected,wide_2x_helper,75,7,True,20.5,19.5,1.0,20.5,334.0
2133,wide_3x_helper,corrected,corrected,wide_3x_helper,111,9,True,20.5,19.5,1.0,20.5,334.0
2133,raw_peaks_raw_weights,raw,raw,helper,37,3,True,10.5,19.5,9.0,10.5,270.0
2133,corrected_peaks_raw_weights,corrected,raw,helper,37,3,True,19.5,19.5,0.0,20.5,258.0
2133,corrected_peaks_uniform_weights,corrected,uniform,helper,37,3,True,19.5,19.5,0.0,20.5,1.0
2665,helper_corrected,corrected,corrected,helper,37,3,True,19.5,19.5,0.0,21.0,341.0
2665,matlab_doc_nhood,corrected,corrected,matlab_doc,75,7,True,17.5,19.5,2.0,21.0,341.0
2665,no_suppression,corrected,corrected,none,1,1,False,20.5,19.5,1.0,21.0,341.0
2665,small_1x1,corrected,corrected,small_1x1,1,1,True,20.5,19.5,1.0,21.0,341.0
2665,wide_2x_helper,corrected,corrected,wide_2x_helper,75,7,True,17.5,19.5,2.0,21.0,341.0
2665,wide_3x_helper,corrected,corrected,wide_3x_helper,111,9,True,18.5,19.5,1.0,21.0,341.0
2665,raw_peaks_raw_weights,raw,raw,helper,37,3,True,17.0,19.5,2.5,21.0,260.0
2665,corrected_peaks_raw_weights,corrected,raw,helper,37,3,True,19.5,19.5,0.0,21.0,260.0
2665,corrected_peaks_uniform_weights,corrected,uniform,helper,37,3,True,19.5,19.5,0.0,21.0,1.0
