frame,peak_order,matlab_alpha,matlab_weight,python_alpha,python_weight,same_alpha,same_weight
0,0,19.0,309.0,19.0,309.0,True,True
0,1,20.0,305.0,20.0,305.0,True,True
0,2,18.0,275.0,20.0,277.0,False,False
0,3,15.0,274.0,18.0,275.0,False,False
0,4,14.0,272.0,21.0,275.0,False,False
0,5,18.5,270.0,15.0,274.0,False,False
0,6,10.5,269.0,14.0,272.0,False,False
0,7,10.5,264.0,18.5,270.0,False,False
0,8,20.0,262.0,10.5,269.0,False,False
0,9,23.0,259.0,10.5,264.0,False,False
122,0,15.0,310.0,15.0,310.0,True,True
122,1,28.5,304.0,28.5,304.0,True,True
122,2,13.5,302.0,13.5,302.0,True,True
122,3,14.5,290.0,12.0,290.0,False,True
122,4,12.0,290.0,14.5,290.0,False,True
122,5,30.0,285.0,29.5,285.0,False,True
122,6,9.5,281.0,9.5,281.0,True,True
122,7,28.0,276.0,13.0,279.0,False,False
122,8,23.5,267.0,27.5,279.0,False,False
122,9,27.5,266.0,28.0,276.0,False,False
533,0,20.5,338.0,20.5,338.0,True,True
533,1,19.0,321.0,19.0,321.0,True,True
533,2,19.5,293.0,19.5,302.0,True,False
533,3,21.0,291.0,21.5,294.0,False,False
533,4,19.0,290.0,19.5,293.0,False,False
533,5,21.5,281.0,21.0,291.0,False,False
533,6,22.0,275.0,19.0,290.0,False,False
533,7,12.0,275.0,18.0,289.0,False,False
533,8,18.5,273.0,21.5,281.0,False,False
533,9,24.5,266.0,12.0,275.0,False,False
691,0,13.0,284.0,13.0,284.0,True,True
691,1,14.5,280.0,14.5,280.0,True,True
691,2,31.0,271.0,31.0,271.0,True,True
691,3,30.5,263.0,30.5,263.0,True,True
691,4,11.0,256.0,30.0,262.0,False,False
691,5,16.5,250.0,11.0,256.0,False,False
691,6,5.5,250.0,29.5,254.0,False,False
691,7,29.0,247.0,32.0,251.0,False,False
691,8,28.5,247.0,5.5,250.0,False,False
691,9,25.5,244.0,16.5,250.0,False,False
955,0,14.0,304.0,14.0,304.0,True,True
955,1,27.5,287.0,27.5,287.0,True,True
955,2,8.5,276.0,8.5,276.0,True,True
955,3,14.5,268.0,14.5,268.0,True,True
955,4,26.5,267.0,26.5,267.0,True,True
955,5,18.5,264.0,18.5,264.0,True,True
955,6,10.0,263.0,10.0,263.0,True,True
955,7,12.5,262.0,12.5,262.0,True,True
955,8,29.0,252.0,28.5,260.0,False,False
955,9,29.0,250.0,29.0,250.0,True,True
1066,0,19.5,310.0,19.5,310.0,True,True
1066,1,20.0,304.0,19.5,304.0,False,True
1066,2,19.5,297.0,20.5,303.0,False,False
1066,3,18.5,293.0,19.5,297.0,False,False
1066,4,24.5,283.0,20.5,295.0,False,False
1066,5,20.5,279.0,18.5,293.0,False,False
1066,6,21.0,277.0,20.5,291.0,False,False
1066,7,19.0,276.0,24.5,283.0,False,False
1066,8,21.5,275.0,20.5,279.0,False,False
1066,9,20.0,275.0,19.0,276.0,False,False
1600,0,19.0,315.0,19.0,315.0,True,True
1600,1,21.0,303.0,21.0,303.0,True,True
1600,2,20.5,303.0,20.5,303.0,True,True
1600,3,18.5,283.0,18.0,289.0,False,False
1600,4,16.5,282.0,21.5,287.0,False,False
1600,5,18.5,281.0,18.5,283.0,True,False
1600,6,14.0,278.0,16.5,282.0,False,False
1600,7,13.0,275.0,18.5,281.0,False,False
1600,8,24.5,272.0,20.0,278.0,False,False
1600,9,19.5,271.0,14.0,278.0,False,False
2133,0,20.5,334.0,20.5,334.0,True,True
2133,1,19.0,306.0,19.5,322.0,False,False
2133,2,19.5,304.0,19.5,304.0,True,True
2133,3,10.5,294.0,21.5,301.0,False,False
2133,4,24.5,278.0,18.5,296.0,False,False
2133,5,9.0,275.0,10.5,294.0,False,False
2133,6,20.0,273.0,24.5,278.0,False,False
2133,7,20.5,272.0,9.0,275.0,False,False
2133,8,16.5,271.0,20.0,273.0,False,False
2133,9,20.5,270.0,20.5,272.0,True,False
2665,0,21.0,341.0,21.0,341.0,True,True
2665,1,19.5,329.0,19.5,329.0,True,True
2665,2,19.5,306.0,18.5,309.0,False,False
2665,3,18.0,296.0,19.5,306.0,False,False
2665,4,24.5,286.0,22.0,298.0,False,False
2665,5,17.0,286.0,17.0,286.0,True,True
2665,6,20.5,282.0,24.5,286.0,False,False
2665,7,20.0,274.0,20.5,282.0,False,False
2665,8,10.5,272.0,20.0,274.0,False,False
2665,9,17.5,270.0,10.5,272.0,False,False
