comparison,unit,n,bias,mae,rmse,corr,target_rmse,passes
oracle_klt_x_sup_px,px,2666,8.030072298694428,13.455411698695418,15.809669167263385,0.0897985314931871,2.0,False
oracle_klt_y_sup_px,px,2666,6.644636603246139,6.69069586081565,7.19626497735931,0.5461699270617628,2.0,False
oracle_klt_x_deep_px,px,2666,-95.91177309506435,96.51432233823563,126.97957108584545,0.6561245343845805,2.0,False
oracle_klt_y_deep_px,px,2666,-9.806522070821623,10.117468420226484,11.495614253614695,-0.09548066953437419,2.0,False
oracle_klt_angle_deg,deg,2666,-5.070816055098236,5.071522683470492,6.118181484715813,0.7095121114505741,1.0,False
oracle_klt_length_px,px,2666,88.41500866735262,94.13882936460044,121.01568860982493,0.6431650301129659,22.16962524654832,False
oracle_klt_length_mm,mm,2666,7.9762294295992495,8.49259546047196,10.91725162369773,0.6431650301129664,2.0,False
oracle_klt_super_y1_px,px,2666,-5.911741111869594,5.9776661597113065,6.659611919972391,-0.011939873312921104,2.0,False
oracle_klt_super_y2_px,px,2666,5.795975192507757,5.799864247237089,6.4023134535389765,-0.2087146253742067,2.0,False
oracle_klt_deep_y1_px,px,2666,-1.2453375310573158,4.575478052828891,5.340453066799474,0.33060328302791064,2.0,False
oracle_klt_deep_y2_px,px,2666,13.049925732554911,13.150188290190558,15.470734665429832,0.2125700258492568,2.0,False
