frame,angle_error_deg,length_error_px,length_error_mm,x_sup_error_px,y_sup_error_px,x_deep_error_px,y_deep_error_px,max_endpoint_abs_error_px,f_points,a_points,f_tracked,a_tracked,f_inliers,a_inliers,f_affine_ok,a_affine_ok
1,-0.001212728885747083,0.045799834747413115,0.004131764451412536,0.016568742208391996,-0.001766102681486359,-0.03224795464787178,-0.0033050831538616876,0.03224795464787178,300,848,300,848,300,848,True,True
2,0.000279623746763491,0.018731032906998735,0.0016897924704356512,0.00013370843885240902,-0.005439764995230689,-0.016384827066278973,0.004218915570788795,0.016384827066278973,300,837,300,837,300,837,True,True
3,0.0015564271175492195,0.059300960123209734,0.005349748537805576,0.014444241442561179,-0.028559718265270817,-0.03487143644020918,0.01091892200940947,0.03487143644020918,300,836,300,836,300,836,True,True
4,0.0023625677160339364,0.08157592179793483,0.007359251308105509,0.018719847361580833,-0.03528165874206479,-0.048138768104522,0.021960125989380685,0.048138768104522,300,831,300,831,300,831,True,True
5,0.004334501584878581,-0.018335647412186518,-0.0016541233519534813,-0.03275858229676487,-0.03545889589468487,0.0038779084618916215,0.01620567174347798,0.03545889589468487,300,828,300,828,300,828,True,True
6,0.004406788756881497,-0.021277591272223617,-0.0019195264724230204,-0.03634719174124257,-0.033488014956255086,0.0033964285944705352,0.018202940345872776,0.03634719174124257,300,826,300,826,300,826,True,True
7,0.004184448446579836,0.03943699566309533,0.0035577503204963228,-0.03536414676136701,-0.026144779381205296,-0.05418700614158567,0.0418701010408995,0.05418700614158567,300,819,300,819,300,819,True,True
8,0.003204965087718392,-0.006396381530521467,-0.0005770401131627018,-0.05016891434365789,-0.011865788522385401,-0.029879811128534328,0.028609564509110896,0.05016891434365789,300,824,300,824,300,824,True,True
9,0.0006628263440973114,0.05846389911835104,0.005274234315481135,0.004734229091468478,-0.006823094904383709,-0.047767393508628686,0.020517958426410132,0.047767393508628686,300,831,300,831,300,831,True,True
10,0.00037234210540759705,0.03558366101799493,0.0032101274263564824,-0.0005304172641444893,-0.0024225712339784877,-0.03262355488167756,0.013805206252072821,0.03262355488167756,300,799,300,799,300,799,True,True
11,0.00040917503690707235,0.0434517372383425,0.003919934302462571,0.007325131644392968,-0.006974347397665781,-0.03206650699059921,0.012237425094326682,0.03206650699059921,300,813,300,813,300,813,True,True
12,0.000724981315244122,0.01764597622070596,0.001591905683967602,-0.003379584412869008,-0.0054642174433681134,-0.016897880614290983,0.00974805472958451,0.016897880614290983,300,810,300,810,300,810,True,True
13,0.0009826775897465723,0.011691874600273877,0.0010547651997044227,-0.004535669991241775,-0.00639347568951365,-0.011264552966888886,0.010346916084131408,0.011264552966888886,300,816,300,816,300,816,True,True
14,0.0002614312718094425,0.032912933571537906,0.002969191694087139,0.0075194216391309965,-0.005912523489506327,-0.02253402286890349,0.007994880537921745,0.02253402286890349,300,826,300,826,300,826,True,True
15,0.000761408940718411,-0.008741668201423636,-0.000788616686498538,-0.011726104919034697,-0.002381266778400004,-5.862738940010104e-05,0.004942756636467038,0.011726104919034697,300,831,300,831,300,831,True,True
16,0.0002538075368079262,-0.0341609978067936,-0.0030817839658441918,-0.020793501334537723,0.0031907407940252597,0.012729106863709205,-0.004279431275563184,0.020793501334537723,300,832,300,832,300,832,True,True
17,0.002919298153926775,0.006704173234993505,0.0006048070872138269,-0.018906378925521494,-0.02044716043795347,-0.012316895288943641,0.02039246023400665,0.02044716043795347,300,837,300,837,300,837,True,True
18,0.0011468743895193256,-0.006165881616880142,-0.0005562459038715716,-0.015590325360790303,-0.008265042633759379,-0.004656939193434795,0.004987973418337788,0.015590325360790303,300,832,300,832,300,832,True,True
19,0.00982682777700461,-0.016313973623823586,-0.0014717410368823057,-0.038532244346242805,-0.08485060083354057,0.020520393007601,0.04028615286154036,0.08485060083354057,300,826,300,826,300,826,True,True
20,0.00802370018098486,-0.0710611782859587,-0.0064106792510642465,-0.05578236427493266,-0.06367927449453958,0.047188352149373,0.020179824776050737,0.06367927449453958,300,814,300,814,300,814,True,True
21,0.002144356426839522,0.03992111537661458,0.0036014244654703903,0.02807143401457779,-0.031139674599764078,-0.00028308831948820057,0.009954348293945259,0.031139674599764078,300,834,300,834,300,834,True,True
22,0.0013043588754158009,0.027583440186731423,0.002488399319336803,0.01253667993921681,-0.019253128757277693,-0.007841479015809227,0.006788910090790523,0.019253128757277693,300,835,300,835,300,835,True,True
23,0.002923010643883117,-0.011573346841828425,-0.0010440723930261588,0.0035315330590037775,-0.014456046550911594,0.027464834651929948,0.020635258420156788,0.027464834651929948,300,854,300,854,300,854,True,True
24,0.000986765924892552,0.005580184044333691,0.0005034080623624879,0.014090516578789902,-0.009532944789746978,0.0131716587240156,0.005321211301179574,0.014090516578789902,300,828,300,828,300,828,True,True
25,-0.0029727355497470853,0.02366148701696602,0.002134586106334835,0.06235323529153902,0.02129920925702322,0.02673690429569575,-0.010621163585824434,0.06235323529153902,300,813,300,813,300,813,True,True
26,-0.0032585363306338877,-0.022224599746664353,-0.0020049594433378696,0.060287006056569226,0.02599875560487419,0.06692257919440792,-0.024258831933252623,0.06692257919440792,300,807,300,807,300,807,True,True
27,-0.005625752159147623,-0.08188926883826753,-0.0073875194485768046,0.07323235510318682,0.047474638869474006,0.12595484852359107,-0.053097550355630574,0.12595484852359107,300,824,300,824,300,824,True,True
28,-0.004753705090365656,0.03773385531906115,0.0034041040296733105,0.07607060345333139,0.028392523767017508,0.01920240123059358,-0.022688323119723464,0.07607060345333139,300,823,300,823,300,823,True,True
29,-0.004607394119403807,-0.01448596836098659,-0.0013068302418185412,-0.005564588832839945,0.02425211119261661,-0.012261427858625495,-0.04144550869881414,0.04144550869881414,300,832,300,832,300,832,True,True
30,-0.00102544493583423,2.725139074755134e-05,2.458443969574472e-06,-0.004036015501242218,0.004940421272657147,-0.008610917322084077,-0.008650073216358578,0.008650073216358578,300,827,300,827,300,827,True,True
31,-0.005321401519609026,-0.013323889252660592,-0.0012019949912987404,0.04083072382741193,0.05517359913265096,0.02985542167802535,-0.019624303411887922,0.05517359913265096,300,821,300,821,300,821,True,True
32,-0.006148674655150899,-0.021180205150926668,-0.0019107409273166943,0.05330621514963241,0.06874100955776186,0.0461028329501012,-0.019521845797441983,0.06874100955776186,300,814,300,814,300,814,True,True
33,-0.005078822246503023,-0.07180285230685968,-0.006477588277504958,0.005424809403166364,0.06515986742560642,0.05096621766521281,-0.024987425912058825,0.06515986742560642,300,804,300,804,300,804,True,True
34,-0.00258697389310214,-0.044495236001466765,-0.004014072002267554,0.0008210040962239873,0.033331931658636904,0.03152503206149859,-0.015105158761571147,0.033331931658636904,300,796,300,796,300,796,True,True
35,-0.0037907221270927494,0.00839523002707665,0.0007573632782433918,0.02634761116178197,0.030032870376089704,0.0015510500410940153,-0.01757417460942179,0.030032870376089704,300,808,300,808,300,808,True,True
36,-6.048554175208665e-05,0.019262897467001494,0.0017377738462223769,0.017257761353448586,0.007772989550474563,-0.0012766352452437957,0.013088155366972387,0.017257761353448586,300,791,300,791,300,791,True,True
37,0.0034096822180060826,-0.008717820978404234,-0.000786465344493051,-0.0005929519134042494,-0.013009917948330951,0.022816482040237673,0.029441155098083982,0.029441155098083982,300,792,300,792,300,792,True,True
38,-0.0008073644775663524,0.045093346818475766,0.004068029686293099,0.01789518525845324,-0.0036354680725736443,-0.02845008455002329,-2.5751254497663467e-05,0.02845008455002329,300,785,300,785,300,785,True,True
39,0.00498386504955306,2.424197965343865,0.21869543922230242,0.6629884348219548,-0.254594902230906,-1.6137307616035237,0.5809462830397933,1.6137307616035237,300,776,300,776,300,776,True,True
40,-0.2744535960397627,8.786496536600907,0.7926608085510072,2.3912232610312003,0.48830072744078024,-7.150786272476989,-0.3092836393335574,7.150786272476989,300,777,300,777,300,777,True,True
41,-0.3150784835822549,8.623287202151914,0.7779371194823881,2.2735925794409013,1.1305674000642938,-7.285297015750439,-0.15849388134921583,7.285297015750439,300,769,300,769,300,769,True,True
42,-0.2819122481022589,10.371957270992311,0.9356908071873847,2.5679035060703654,0.852720126166858,-8.48340085603879,0.6629970568220642,8.48340085603879,300,769,300,769,300,769,True,True
43,-0.34945099553777936,9.44953389408954,0.8524757445379711,2.221978933163882,1.0838164464356979,-8.246960391647132,-0.15915685594620754,8.246960391647132,300,771,300,771,300,771,True,True
44,-0.2539222095791729,8.166913218106515,0.7367660145160149,1.5827574423312853,0.7804547639087573,-7.238971707215992,0.39598376984997685,7.238971707215992,300,798,300,798,300,798,True,True
45,-0.20942875336700695,8.688748886576718,0.7838426486644834,1.655601125081489,0.3946573130684925,-7.445093470057479,0.8066173669667478,7.445093470057479,300,794,300,794,300,794,True,True
46,-0.22137532354634004,7.944965893392805,0.7167433644039417,1.5733829549216125,0.3400165864301101,-6.871156150819722,0.4117234694957119,6.871156150819722,300,800,300,800,300,800,True,True
47,-0.2691614576107497,7.164932782085998,0.6463738292735945,1.40490565180653,0.46753786660782026,-6.513211674064323,-0.2436402684546124,6.513211674064323,300,810,300,810,300,810,True,True
48,-0.2142063104900842,6.296239433804658,0.5680059418040857,0.7260271850154822,0.2906500812440669,-6.1243426433827395,-0.014324128340945208,6.1243426433827395,300,808,300,808,300,808,True,True
49,-0.26362877082297587,6.417975008962003,0.5789881369294904,1.2049855932896207,0.6039323871067381,-5.9746093937134575,-0.18657596116997865,5.9746093937134575,300,797,300,797,300,797,True,True
50,-0.2018268195887174,4.9569351409923,0.4471825830041097,0.9054483281745433,0.5844190451188069,-4.626740120842264,0.03589364521724292,4.626740120842264,299,814,299,814,299,814,True,True
51,-0.10413351166067741,3.3785181703892704,0.30478802711518865,0.3728277171587706,0.21849218045635155,-3.2438239365204993,0.2497900893398537,3.2438239365204993,300,798,300,798,300,798,True,True
52,-0.09246164168308724,2.5890592547127653,0.23356815696430108,0.18884890710842228,0.17605311938231694,-2.6384213516319406,0.06324893879241245,2.6384213516319406,300,772,300,772,300,772,True,True
53,-0.11757987949170001,3.3462221538137555,0.3018744896767926,0.18969632376058598,0.06242400958173988,-3.453698895300853,-0.048976472737876975,3.453698895300853,300,776,300,776,300,776,True,True
54,-0.11955072162558622,3.0291251697606185,0.27326805357093126,0.2511977501419551,0.05991899438943449,-3.1043598835379527,-0.17767109504461587,3.1043598835379527,300,777,300,777,300,777,True,True
55,-0.12384839921983826,2.7846580433763393,0.25121381280992955,0.06384411024373549,0.033728084212953036,-3.0825665332186816,-0.3304507162400796,3.0825665332186816,300,774,300,774,300,774,True,True
56,-0.0946408487395729,2.553714214129286,0.23037955632803347,-0.15062070931935523,-0.011371808087076829,-2.9487521951455022,-0.12158079205045169,2.9487521951455022,300,797,300,797,300,797,True,True
57,-0.09097694703331172,2.3963905955106384,0.21618683842062167,-0.32215004653210144,0.004829843762195196,-2.9564493079904537,-0.11492641938195902,2.9564493079904537,300,819,300,819,300,819,True,True
58,-0.11954927774604585,2.2817181377064344,0.20584183199593636,-0.07655836006324535,0.08150668372712744,-2.7335003570355383,-0.3922856509427106,2.7335003570355383,300,824,300,824,300,824,True,True
59,-0.10668205766384631,1.8081037362942425,0.16311540823864432,-0.14152141447209488,0.05517044547551819,-2.3008855475863186,-0.4458406111750719,2.3008855475863186,300,818,300,818,300,818,True,True
60,-0.0659191589258512,1.5429938153112062,0.13919890824960526,-0.27124264463475356,-0.021016669547179845,-1.9989748643337037,-0.16477599152284483,1.9989748643337037,300,800,300,800,300,800,True,True
61,-0.06878401270250833,1.3250637441207118,0.11953866873117455,-0.48443424903359755,-0.05336313287403982,-2.0233505988866085,-0.3084131811764905,2.0233505988866085,300,806,300,806,300,806,True,True
62,-0.06709646807462377,2.2579334918257246,0.2036961352945983,-0.4673820917782905,-0.25075535714191943,-2.859890431755076,-0.1263057435413657,2.859890431755076,300,813,300,813,300,813,True,True
63,-0.09884279027764364,2.7540562976597585,0.24845312151485724,-0.026430713336253575,-0.0468671918117991,-3.020701033516829,-0.07428870369540164,3.020701033516829,300,799,300,799,300,799,True,True
64,-0.042743653689427674,1.267120685644727,0.11431142128503144,-0.37058185671980937,-0.019880355971771735,-1.7351381618871358,0.0005767527513853565,1.7351381618871358,300,782,300,782,300,782,True,True
