frame,reference_segment_scale,reference_angle_delta_deg,persistent_segment_scale,persistent_scale_ratio_to_reference,persistent_angle_delta_deg,persistent_angle_delta_error_deg,persistent_linear_det,persistent_singular_min,persistent_singular_max,redetect_segment_scale,redetect_scale_ratio_to_reference,redetect_angle_delta_deg,redetect_angle_delta_error_deg,redetect_linear_det,redetect_singular_min,redetect_singular_max
1,0.9999840495950066,-5.518967628859173e-05,1.0000411915255079,1.0000571428419527,-0.0012679185620356748,-0.001212728885747083,1.0000123977661133,0.9999635219573975,1.0000487565994263,1.0000411915255079,1.0000571428419527,-0.0012679185620356748,-0.001212728885747083,1.0000123977661133,0.9999635219573975,1.0000487565994263
2,0.9999877826160206,-0.0005136498234890041,1.0000186377230762,1.000030855484029,-0.00030895381931372867,0.00020469600417527545,1.0000009536743164,0.9999820590019226,1.0000189542770386,1.000011152666566,1.0000233703360697,-0.00023402607672551312,0.000279623746763491,0.9999991059303284,0.9999846816062927,1.0000144243240356
3,0.9999263263966892,-0.002337259723930174,1.0000007122900603,1.0000743913740517,-0.0008425244370471319,0.0014947352868830421,1.0000108480453491,0.99997478723526,1.0000361204147339,1.0000003150215673,1.0000739940762884,-0.0007808326063809545,0.0015564271175492195,1.0000083446502686,0.9999783039093018,1.0000300407409668
4,0.9999442994160299,-0.0027657906593105963,1.00004973531788,1.0001054417750186,-0.0003176302106453477,0.0024481604486652486,1.0000587701797485,1.0000064373016357,1.0000523328781128,1.0000460875652988,1.000101793819244,-0.00040322294327665986,0.0023625677160339364,1.0000578165054321,1.0000110864639282,1.000046730041504
5,0.9999818710954689,-0.0035672916102669205,0.9999584752624818,0.9999766037428645,0.0008472918468669377,0.004414583457133858,1.0000100135803223,0.9999455213546753,1.000064492225647,0.9999589911140079,0.9999771196037425,0.0007672099746116601,0.004334501584878581,1.0000061988830566,0.9999505281448364,1.0000556707382202
6,0.9999889596086006,-0.003744423573380118,0.9999547054626768,0.9999657454758929,0.001018963889009683,0.004763387462389801,1.0000096559524536,0.9999467730522156,1.0000628232955933,0.9999624080661996,0.9999734481644564,0.0006623651835013789,0.004406788756881497,0.9999964237213135,0.9999582171440125,1.0000381469726562
7,0.9999518831595107,-0.004316060185800552,0.9999921763935691,1.0000402951729348,9.669082575669563e-05,0.004412751011557248,0.9999987483024597,0.9999823570251465,1.000016450881958,1.0000010957141547,1.0000492149227107,-0.00013161173922071612,0.004184448446579836,1.0000011920928955,0.9999929070472717,1.0000083446502686
8,0.9999602632346272,-0.0032101808887432526,0.9999601260557858,0.9999998628157073,1.607183622809316e-05,0.0032262527249713457,0.9999513030052185,0.9999375939369202,1.0000137090682983,0.9999522809475041,0.999992017395674,-5.215801024860411e-06,0.003204965087718392,0.999934196472168,0.9999373555183411,0.9999968409538269
9,0.9999533772550544,-0.0007741876504780976,1.0000215281016234,1.0000681540240965,-0.000411733619671395,0.0003624540308067026,1.0000361204147339,0.9999982714653015,1.0000379085540771,1.000026339471549,1.000072965618352,-0.00011136130638078612,0.0006628263440973114,1.000045657157898,1.0000118017196655,1.0000338554382324
10,0.999983012199731,-0.0012606342867513831,1.0000261600779399,1.000043148611209,-0.0008761791372648986,0.0003844551494864845,1.000000238418579,0.9999740123748779,1.0000262260437012,1.00002742223513,1.0000444107898407,-0.0008882921813437861,0.00037234210540759705,0.9999979734420776,0.9999676942825317,1.000030279159546
11,0.9999503852309676,-0.0008563436701649607,1.0000035134574996,1.0000531308626075,-0.0005065772975854088,0.0003497663725795519,1.0000053644180298,0.999987781047821,1.000017523765564,1.0000046159063813,1.0000542333661897,-0.00044716863325788836,0.00040917503690707235,1.0000149011611938,0.9999933838844299,1.0000215768814087
12,0.9999967542548084,-0.0012292477013033931,1.0000108673387798,1.000014113129779,-0.0004245438219072639,0.0008047038793961292,1.000001072883606,0.9999818801879883,1.0000191926956177,1.000018778706556,1.0000220245232336,-0.0005042663860592711,0.000724981315244122,1.000006079673767,0.9999731183052063,1.0000330209732056
13,0.9999808504451219,-0.00088878482375776,1.0000002604594127,1.0000194103859912,3.752549474711486e-05,0.0009263103185048749,1.000011920928955,0.9999858140945435,1.0000261068344116,0.999995443458314,1.0000145932926472,9.389276598881224e-05,0.0009826775897465723,1.0000152587890625,0.9999744892120361,1.0000407695770264
