frame,persistent_tracked_points,persistent_points_after_refresh,redetect_points,persistent_inliers,redetect_inliers,persistent_affine_ok,redetect_affine_ok,persistent_reinitialized
1,300,300,300,300,300,True,True,False
2,300,300,300,300,300,True,True,False
3,300,300,300,300,300,True,True,False
4,300,300,300,300,300,True,True,False
5,300,300,300,300,300,True,True,False
6,300,300,300,300,300,True,True,False
7,300,300,300,300,300,True,True,False
8,300,300,300,300,300,True,True,False
9,300,300,300,300,300,True,True,False
10,300,300,300,300,300,True,True,False
11,300,300,300,300,300,True,True,False
12,300,300,300,300,300,True,True,False
13,300,300,300,300,300,True,True,False
14,300,300,300,300,300,True,True,False
15,300,300,300,300,300,True,True,False
16,300,300,300,300,300,True,True,False
17,300,300,300,300,300,True,True,False
18,300,300,300,300,300,True,True,False
19,300,300,300,300,300,True,True,False
20,300,300,300,300,300,True,True,False
21,300,300,300,300,300,True,True,False
22,300,300,300,300,300,True,True,False
23,300,300,300,300,300,True,True,False
24,300,300,300,300,300,True,True,False
25,300,300,300,300,300,True,True,False
26,300,300,300,300,300,True,True,False
27,300,300,300,300,300,True,True,False
28,300,300,300,300,300,True,True,False
29,300,300,300,300,300,True,True,False
30,300,300,300,300,300,True,True,False
31,300,300,300,300,300,True,True,False
32,300,300,300,300,300,True,True,False
33,300,300,300,300,300,True,True,False
34,300,300,300,300,300,True,True,False
35,300,300,300,300,300,True,True,False
36,300,300,300,300,300,True,True,False
37,300,300,300,300,300,True,True,False
38,300,300,300,300,300,True,True,False
39,300,300,300,300,300,True,True,False
40,300,298,300,300,300,True,True,False
41,298,298,300,298,300,True,True,False
42,298,296,300,298,300,True,True,False
43,296,292,300,296,300,True,True,False
44,292,287,300,292,300,True,True,False
45,287,281,300,287,300,True,True,False
46,281,281,300,281,300,True,True,False
47,281,280,300,281,300,True,True,False
48,280,280,300,280,300,True,True,False
49,280,280,300,280,300,True,True,False
50,280,279,299,280,299,True,True,False
51,279,279,300,279,300,True,True,False
52,279,277,300,279,300,True,True,False
53,277,277,300,277,300,True,True,False
54,277,277,300,277,300,True,True,False
55,277,277,300,277,300,True,True,False
56,277,277,300,277,300,True,True,False
57,277,277,300,277,300,True,True,False
58,277,277,300,277,300,True,True,False
59,277,277,300,277,300,True,True,False
60,277,277,300,277,300,True,True,False
61,277,277,300,277,300,True,True,False
62,277,277,300,277,300,True,True,False
63,277,277,300,277,300,True,True,False
64,277,277,300,277,300,True,True,False
65,277,277,300,277,300,True,True,False
66,277,277,300,277,300,True,True,False
67,277,277,300,277,300,True,True,False
68,277,277,300,277,300,True,True,False
69,277,277,300,277,300,True,True,False
70,277,277,300,277,300,True,True,False
71,277,277,300,277,300,True,True,False
72,277,277,300,277,300,True,True,False
73,277,277,300,277,300,True,True,False
74,277,277,300,277,300,True,True,False
75,277,277,300,277,300,True,True,False
76,277,277,300,277,300,True,True,False
77,277,277,300,277,300,True,True,False
78,277,277,300,277,300,True,True,False
79,277,277,300,277,300,True,True,False
80,277,277,300,277,300,True,True,False
81,277,277,300,277,300,True,True,False
82,277,277,300,277,300,True,True,False
83,277,277,280,277,280,True,True,False
84,277,277,300,277,300,True,True,False
85,277,277,300,277,300,True,True,False
86,277,277,300,277,300,True,True,False
87,277,277,300,277,300,True,True,False
88,277,277,300,277,300,True,True,False
89,277,277,300,277,300,True,True,False
90,277,277,300,277,300,True,True,False
91,277,277,300,277,300,True,True,False
92,277,277,300,277,300,True,True,False
93,277,277,300,277,300,True,True,False
94,277,277,300,277,300,True,True,False
95,277,277,300,277,300,True,True,False
96,277,277,300,277,300,True,True,False
97,277,277,300,277,300,True,True,False
98,277,277,300,277,300,True,True,False
99,277,277,272,277,272,True,True,False
100,277,277,300,277,300,True,True,False
101,277,277,271,277,271,True,True,False
102,277,275,300,277,300,True,True,False
103,275,275,300,275,300,True,True,False
104,275,275,300,273,293,True,True,False
105,273,273,197,273,197,True,True,False
106,271,271,292,271,292,True,True,False
107,268,268,300,268,300,True,True,False
108,268,268,300,268,300,True,True,False
109,267,267,300,267,300,True,True,False
110,267,267,300,267,300,True,True,False
111,267,267,300,267,300,True,True,False
112,267,267,300,267,300,True,True,False
113,267,267,300,267,300,True,True,False
114,267,267,300,267,300,True,True,False
115,267,267,300,267,300,True,True,False
116,267,267,300,267,300,True,True,False
117,267,267,300,267,300,True,True,False
118,267,267,300,267,300,True,True,False
119,267,267,300,267,300,True,True,False
120,267,267,300,267,300,True,True,False
121,267,267,300,267,300,True,True,False
122,267,267,300,267,300,True,True,False
123,267,267,300,267,300,True,True,False
124,267,267,300,267,300,True,True,False
125,267,267,300,267,300,True,True,False
126,267,267,300,267,300,True,True,False
127,267,267,300,267,300,True,True,False
128,267,267,300,267,300,True,True,False
129,266,266,300,266,300,True,True,False
130,266,266,300,266,300,True,True,False
131,266,266,300,266,300,True,True,False
132,266,266,300,266,300,True,True,False
133,266,266,300,266,300,True,True,False
134,266,266,300,266,300,True,True,False
135,266,266,300,266,300,True,True,False
136,266,266,300,266,300,True,True,False
137,266,266,300,266,300,True,True,False
138,266,266,300,266,300,True,True,False
139,266,266,300,266,300,True,True,False
140,266,266,300,266,300,True,True,False
141,266,266,300,266,300,True,True,False
142,266,266,300,266,300,True,True,False
143,266,266,300,266,300,True,True,False
144,266,266,300,266,300,True,True,False
145,266,266,300,266,300,True,True,False
146,266,266,300,266,300,True,True,False
147,266,266,300,266,300,True,True,False
148,266,266,300,266,300,True,True,False
149,266,266,300,266,300,True,True,False
150,266,266,300,266,300,True,True,False
151,266,266,300,266,300,True,True,False
152,266,266,300,266,300,True,True,False
153,266,266,300,266,300,True,True,False
154,266,266,300,266,300,True,True,False
155,266,266,300,266,300,True,True,False
156,266,266,300,266,300,True,True,False
157,266,266,300,266,300,True,True,False
158,266,266,300,266,300,True,True,False
159,266,266,300,266,300,True,True,False
160,266,265,300,266,300,True,True,False
161,265,265,300,265,300,True,True,False
162,265,265,300,265,300,True,True,False
163,265,265,300,265,300,True,True,False
164,265,265,300,265,300,True,True,False
165,265,265,300,265,300,True,True,False
166,265,265,300,265,300,True,True,False
167,265,265,300,265,300,True,True,False
168,265,265,300,265,300,True,True,False
169,265,265,300,265,300,True,True,False
170,265,265,300,265,300,True,True,False
171,265,265,300,265,300,True,True,False
172,265,265,300,265,300,True,True,False
173,265,265,300,265,300,True,True,False
174,265,265,300,265,300,True,True,False
175,265,265,300,265,300,True,True,False
176,265,265,300,265,300,True,True,False
177,265,265,300,265,300,True,True,False
178,265,265,300,265,300,True,True,False
179,265,265,300,265,300,True,True,False
180,265,265,300,265,300,True,True,False
181,265,265,300,265,300,True,True,False
182,265,265,300,265,300,True,True,False
183,265,265,300,265,300,True,True,False
184,265,264,300,265,300,True,True,False
185,264,264,300,264,300,True,True,False
186,264,264,300,264,300,True,True,False
187,264,264,300,264,300,True,True,False
188,264,264,300,264,300,True,True,False
189,264,264,300,264,300,True,True,False
190,264,264,300,264,300,True,True,False
191,264,264,300,264,300,True,True,False
192,264,264,300,264,300,True,True,False
193,264,264,300,264,300,True,True,False
194,264,264,300,264,300,True,True,False
195,264,264,300,264,300,True,True,False
196,264,264,300,264,300,True,True,False
197,264,264,300,264,300,True,True,False
198,264,264,300,264,300,True,True,False
199,264,264,300,264,300,True,True,False
200,264,264,300,264,300,True,True,False
201,264,264,300,264,300,True,True,False
202,264,264,300,264,300,True,True,False
203,264,264,300,264,300,True,True,False
204,264,264,300,264,300,True,True,False
205,264,264,300,264,300,True,True,False
206,264,264,300,264,300,True,True,False
207,264,264,300,264,300,True,True,False
208,264,264,300,264,300,True,True,False
209,264,264,300,264,300,True,True,False
210,264,264,300,264,300,True,True,False
211,264,264,300,264,300,True,True,False
212,264,264,300,264,300,True,True,False
213,264,264,300,264,300,True,True,False
214,264,264,300,264,300,True,True,False
215,264,264,300,264,300,True,True,False
216,264,264,300,264,300,True,True,False
217,264,264,300,264,300,True,True,False
218,264,264,300,264,300,True,True,False
