variant,condition,first_frame,n_frames,fraction_frames
persistent_cumulative,abs_angle_gt_1deg,43,2346,0.8803001876172608
persistent_cumulative,abs_length_gt_2mm,42,1914,0.7181988742964353
persistent_cumulative,endpoint_gt_10px,41,2549,0.9564727954971858
persistent_one_step,abs_angle_gt_1deg,102,58,0.02176360225140713
persistent_one_step,abs_length_gt_2mm,157,19,0.007129455909943715
persistent_one_step,endpoint_gt_10px,102,179,0.06716697936210131
redetect_cumulative,abs_angle_gt_1deg,43,2429,0.9114446529080675
redetect_cumulative,abs_length_gt_2mm,42,1943,0.7290806754221388
redetect_cumulative,endpoint_gt_10px,41,2498,0.9373358348968105
redetect_one_step,abs_angle_gt_1deg,102,54,0.02026266416510319
redetect_one_step,abs_length_gt_2mm,157,17,0.006378986866791745
redetect_one_step,endpoint_gt_10px,102,184,0.06904315196998125
