frame,matlab_saved_alpha_deg,python_image_alpha_deg,error_deg,python_top_peak_alpha_deg,matlab_top_peak_alpha_deg,abs_error_deg
2533,39.5,19.5,-20.0,10.0,34.0,20.0
1722,33.5,14.0,-19.5,10.0,33.5,19.5
691,34.0,15.5,-18.5,13.0,32.0,18.5
955,32.0,14.5,-17.5,14.0,33.5,17.5
154,33.5,16.0,-17.5,18.5,35.0,17.5
121,32.0,15.0,-17.0,28.5,34.0,17.0
136,33.5,16.5,-17.0,19.0,35.0,17.0
1725,36.0,19.0,-17.0,19.0,33.0,17.0
137,33.5,16.5,-17.0,19.0,35.0,17.0
138,33.5,16.5,-17.0,12.0,35.0,17.0
122,32.0,15.0,-17.0,15.0,34.0,17.0
134,33.0,16.5,-16.5,19.0,34.5,16.5
1724,33.0,16.5,-16.5,10.0,33.0,16.5
1224,32.5,16.0,-16.5,14.5,34.0,16.5
1432,35.0,18.5,-16.5,18.5,33.5,16.5
2010,35.5,19.5,-16.0,18.5,35.5,16.0
1175,33.0,17.0,-16.0,27.0,33.0,16.0
692,32.0,16.0,-16.0,13.0,32.0,16.0
133,33.0,17.0,-16.0,28.5,34.5,16.0
2502,36.0,20.0,-16.0,19.5,37.0,16.0
