comparison,n,bias,mae,rmse,corr,target_rmse,passes
final_FL_mm,2666,-0.7822263351271505,0.841727693403453,1.0430768508744328,0.9974216382225924,2.0,True
final_PEN_deg,2666,0.4171708128742156,0.4406619520068858,0.5094966221206031,0.997870266071556,1.0,True
final_ANG_deg,2666,0.4171708128742156,0.4406619520068859,0.5094966221206031,0.9980979735736064,1.0,True
timtrack_alpha_deg,2666,0.4377344336084021,0.8375843960990248,2.0101486697303272,0.933033031017021,1.0,False
timtrack_phi_vs_python_pen_deg,2666,0.4127442408237909,0.8915705741565174,2.0228368635275302,0.926659955462918,1.0,False
timtrack_formula_faslen_px,2666,-10.901087139052684,19.975458211796585,51.21378171286998,0.9106189652304786,22.16962524654832,False
timtrack_gamma_deep_apo_deg,2666,0.0493588674355753,0.0568007233718436,0.0902881697565054,0.9838190927583016,1.0,True
timtrack_betha_super_apo_deg,2666,0.0249902476662696,0.1108339670778689,0.230326033305247,0.8483066633099883,1.0,True
timtrack_super_pos_y1,2666,1.3560072450544922,1.6071876077127256,2.303976773623428,0.8213579878525162,2.0,False
timtrack_super_pos_y2,2666,1.0482073221007813,1.1852938050237256,1.5024829397181707,0.88536799621818,2.0,True
timtrack_deep_pos_y1,2666,0.3833921318166244,0.4312034089602597,0.6870310830665368,0.9940903416955782,2.0,True
timtrack_deep_pos_y2,2666,-0.2243892668500069,0.3258240850139554,0.4744140625522652,0.998768022877678,2.0,True
