frame,matlab_saved_alpha_deg,python_image_alpha_deg,error_deg,python_top_peak_alpha_deg,matlab_top_peak_alpha_deg,abs_error_deg
121,32.0,18.0,-14.0,34.0,34.0,14.0
730,14.0,27.5,13.5,28.5,28.5,13.5
166,30.5,17.5,-13.0,30.5,14.5,13.0
1171,18.0,30.5,12.5,13.5,32.5,12.5
882,14.5,27.0,12.5,14.0,14.0,12.5
118,19.5,32.0,12.5,32.0,32.0,12.5
75,14.0,26.0,12.0,27.0,27.0,12.0
113,19.5,31.5,12.0,19.5,19.5,12.0
114,19.5,31.5,12.0,33.0,33.0,12.0
2215,17.5,29.5,12.0,30.5,30.5,12.0
1425,19.0,31.0,12.0,33.0,32.5,12.0
96,16.0,27.5,11.5,29.5,29.0,11.5
718,30.0,18.5,-11.5,13.0,13.0,11.5
909,20.5,31.5,11.0,32.5,32.5,11.0
1163,18.5,29.5,11.0,30.5,30.5,11.0
72,14.5,25.5,11.0,26.5,26.5,11.0
64,15.0,25.5,10.5,26.5,27.0,10.5
881,16.5,27.0,10.5,27.5,27.5,10.5
1477,24.0,34.5,10.5,34.5,34.5,10.5
1239,19.5,30.0,10.5,31.0,31.0,10.5
