variant,description,comparison,unit,n,bias,mae,rmse,corr,target_rmse,passes
direct_timtrack_apo_matlab_klt_prior,Python direct TimTrack aponeuroses + Python mask KLT handoff with MATLAB raw KLT prior,direct_timtrack_apo_matlab_klt_prior_FL_mm,mm,2666,-0.8945891036398426,0.9580714861971641,1.1521341000237395,0.9970584795550647,2.0,True
direct_timtrack_apo_matlab_klt_prior,Python direct TimTrack aponeuroses + Python mask KLT handoff with MATLAB raw KLT prior,direct_timtrack_apo_matlab_klt_prior_PEN_deg,deg,2666,0.3618699431826882,0.40817509585921535,0.47778810642902336,0.9976014549958353,1.0,True
direct_timtrack_apo_matlab_klt_prior,Python direct TimTrack aponeuroses + Python mask KLT handoff with MATLAB raw KLT prior,direct_timtrack_apo_matlab_klt_prior_ANG_deg,deg,2666,0.4171708128742159,0.4406619520068859,0.5094966221206034,0.9980979735736064,1.0,True
apo_klt_prior_matlab_klt_prior,Python aponeurosis KLT prediction only + Python mask KLT handoff with MATLAB raw KLT prior,apo_klt_prior_matlab_klt_prior_FL_mm,mm,2666,-0.9281191988870109,0.963038835227536,1.1462187913155675,0.9975026820085288,2.0,True
apo_klt_prior_matlab_klt_prior,Python aponeurosis KLT prediction only + Python mask KLT handoff with MATLAB raw KLT prior,apo_klt_prior_matlab_klt_prior_PEN_deg,deg,2666,0.36764905096252043,0.40908590877530204,0.47716581327917723,0.9977090302697385,1.0,True
apo_klt_prior_matlab_klt_prior,Python aponeurosis KLT prediction only + Python mask KLT handoff with MATLAB raw KLT prior,apo_klt_prior_matlab_klt_prior_ANG_deg,deg,2666,0.4171708128742156,0.44066195200688574,0.5094966221206031,0.9980979735736062,1.0,True
apo_state_matlab_klt_prior,Python aponeurosis KLT+Kalman state + Python mask KLT handoff with MATLAB raw KLT prior,apo_state_matlab_klt_prior_FL_mm,mm,2666,-0.9280285772061335,0.9641650926249278,1.1460699700031456,0.9975031925965556,2.0,True
apo_state_matlab_klt_prior,Python aponeurosis KLT+Kalman state + Python mask KLT handoff with MATLAB raw KLT prior,apo_state_matlab_klt_prior_PEN_deg,deg,2666,0.3674848803742407,0.40744803992878764,0.4751401833202844,0.99775032702331,1.0,True
apo_state_matlab_klt_prior,Python aponeurosis KLT+Kalman state + Python mask KLT handoff with MATLAB raw KLT prior,apo_state_matlab_klt_prior_ANG_deg,deg,2666,0.41717081287421576,0.44066195200688574,0.5094966221206032,0.9980979735736062,1.0,True
strict_apo_state_python_klt_prior,Python aponeurosis KLT+Kalman state + Python TimTrack fascicle prior,strict_apo_state_python_klt_prior_FL_mm,mm,2666,-0.5998109385529041,2.3121851702114116,3.953293867570365,0.9259414480889266,2.0,False
strict_apo_state_python_klt_prior,Python aponeurosis KLT+Kalman state + Python TimTrack fascicle prior,strict_apo_state_python_klt_prior_PEN_deg,deg,2666,0.42018838295229916,1.299619673460699,2.0571061224840737,0.9206040608822859,1.0,False
strict_apo_state_python_klt_prior,Python aponeurosis KLT+Kalman state + Python TimTrack fascicle prior,strict_apo_state_python_klt_prior_ANG_deg,deg,2666,0.46987431545227415,1.3226975964571375,2.0676036176142056,0.927629348951591,1.0,False
