comparison,n,bias,mae,rmse,corr,unit,target_rmse,passes,variant
direct_timtrack_apo_super_y1_px,2666,1.6167109493421203,2.2404655712753616,2.74323441752738,0.6350337357573793,px,2.0,False,direct_timtrack_apo
direct_timtrack_apo_super_y2_px,2666,0.9158734999474708,1.1812370542508337,1.5375517050598222,0.814016405212757,px,2.0,True,direct_timtrack_apo
direct_timtrack_apo_deep_y1_px,2666,0.44664171909579864,0.5918294198972557,0.8131357437547985,0.9913997473896419,px,2.0,True,direct_timtrack_apo
direct_timtrack_apo_deep_y2_px,2666,-0.2342819312995291,0.43642241273861965,0.6028732461673091,0.9978261419096338,px,2.0,True,direct_timtrack_apo
direct_timtrack_apo_super_angle_deg,2666,0.05694681035850204,0.20351927676740816,0.2751881347744133,0.7157032319649407,deg,1.0,True,direct_timtrack_apo
direct_timtrack_apo_deep_angle_deg,2666,0.05530086969152752,0.07650863826240216,0.10402418564181891,0.9774469004142341,deg,1.0,True,direct_timtrack_apo
klt_prior_apo_super_y1_px,2666,1.4410376076267934,1.4459466188794983,1.6315639641177493,0.9393948287591029,px,2.0,True,klt_prior_apo
klt_prior_apo_super_y2_px,2666,1.0137906446198388,1.0223776102798494,1.1156479019783745,0.9751240714841205,px,2.0,True,klt_prior_apo
klt_prior_apo_deep_y1_px,2666,0.38916926687629844,0.448468601755222,0.5832480909871497,0.9964303261304752,px,2.0,True,klt_prior_apo
klt_prior_apo_deep_y2_px,2666,-0.2206108117984624,0.32137714330496514,0.42759551397910717,0.9990531725423379,px,2.0,True,klt_prior_apo
klt_prior_apo_super_angle_deg,2666,0.03470025137474384,0.07550688520470168,0.10221899280062018,0.9590964840118495,deg,1.0,True,klt_prior_apo
klt_prior_apo_deep_angle_deg,2666,0.049521761911695036,0.05873579086723534,0.07679025375822757,0.9900386243314698,deg,1.0,True,klt_prior_apo
klt_kalman_apo_super_y1_px,2666,1.441998149035233,1.4440737986000622,1.6214664101923126,0.9439804974397576,px,2.0,True,klt_kalman_apo
klt_kalman_apo_super_y2_px,2666,1.012235591311505,1.0170275765933157,1.1029277619465674,0.9795892890742036,px,2.0,True,klt_kalman_apo
klt_kalman_apo_deep_y1_px,2666,0.39101718035981864,0.40230849764678195,0.5006087172357144,0.9981674733658285,px,2.0,True,klt_kalman_apo
klt_kalman_apo_deep_y2_px,2666,-0.22078565979443457,0.26086340268096014,0.320215818464942,0.9996216966671904,px,2.0,True,klt_kalman_apo
klt_kalman_apo_super_angle_deg,2666,0.03490403843530495,0.07243301739630376,0.09847447345417208,0.9639541700015115,deg,1.0,True,klt_kalman_apo
klt_kalman_apo_deep_angle_deg,2666,0.04968593249997492,0.05187828815050438,0.06443450258164553,0.9952144330070698,deg,1.0,True,klt_kalman_apo
