cluster_id,frame_coverage,n_candidates,cluster_score,mean_score,median_alpha_deg,alpha_std_deg,median_length_mm,length_std_mm,median_x_mid,x_mid_std,mean_mask_support,mean_hough_score,hough_peak_fraction
a17.50_x350_l75,11,33,1.1710928663640392,0.7333053482869338,17.5,0.028747978728803858,75.9887530723106,0.16375223483183932,353.00000108900196,3.3075233600929836e-06,0.5104595686971876,0.6600679501488153,0.0
a17.25_x350_l75,11,22,1.1697203580626325,0.7306801388740322,17.3,3.552713678800501e-15,76.76469266317365,0.09597808113997992,352.99999518127623,4.215266055596207e-06,0.5015630387213389,0.6600679501488153,0.0
a17.75_x350_l75,11,22,1.1671444388874819,0.7297514907299127,17.8,0.04979295977319763,74.926745687693,0.16111926469669258,352.99999515035387,4.433826076323898e-06,0.5096205642682125,0.6737288272505487,0.0
a18.00_x350_l75,11,33,1.1649565566379818,0.7258654768395781,17.9,3.552713678800501e-15,74.48567847023054,0.0908920201596295,352.9999938231031,1.867206863521003e-06,0.5047580582310538,0.6887657788267693,0.0
a17.00_x350_l80,11,31,1.1607120392930135,0.7244819779310003,17.1,0.06555547773570983,77.63324074154829,0.24588290832725088,352.9999990874273,7.657043777734528e-06,0.5080878636953847,0.625781011850746,0.0
a16.50_x350_l80,11,33,1.156131832127553,0.7171570975232131,16.6,3.552713678800501e-15,79.61775390811424,0.10252653956598372,352.9999995523648,3.473767483031403e-06,0.5323914447255726,0.7061559937921387,0.0
a16.75_x350_l80,11,22,1.1559589082551838,0.7193698995765142,16.7,0.04810456929208415,79.15691165170828,0.2448899935488759,352.9999969523589,4.228774198187171e-06,0.5237984608140672,0.6839182330208916,0.0
a18.25_x350_l75,11,22,1.1545545094967304,0.7154396338606576,18.2,3.552713678800501e-15,73.39913374721792,0.08851243639271215,352.9999972499831,1.527751637296008e-06,0.48533963157653126,0.6887657788267693,0.0
a16.25_x350_l80,11,22,1.1426571653894126,0.7037127603477558,16.3,3.552713678800501e-15,80.9102498527908,0.1055594958343036,352.99999662939547,3.5415515977523446e-06,0.5270862874083188,0.7061559937921387,0.0
a18.50_x350_l70,11,23,1.1419403972728066,0.7032310788117091,18.5,0.028747978728803858,72.41304843811649,0.07157219643263446,352.9999974383546,4.711731501993232e-06,0.4610227910586923,0.8792753385341613,0.0
a18.75_x350_l70,11,22,1.1252020533659512,0.6873304575021338,18.7,0.028747978728803858,71.66127325000163,0.15534445616065412,353.0000041184435,3.3451371050159257e-06,0.4400395107211344,0.8897361106387692,0.0
a16.00_x350_l80,11,23,1.1230680352372684,0.6841446719528327,16.1,3.552713678800501e-15,81.79674400900983,0.10766367155642641,352.99999945252546,1.7011496079885226e-06,0.5174084430884249,0.6344525186646662,0.0
a19.00_x350_l70,11,33,1.1151027131475884,0.6759361274274928,18.9,3.552713678800501e-15,70.99044768664783,0.08334142799045065,353.0000016168883,3.275034507771712e-06,0.4197042482494746,1.0,0.0
a18.50_x350_l75,10,10,1.1088763870157607,0.7095176600699118,18.4,0.0,72.72720948869882,0.06412730541512596,352.99999350188295,2.7737319633967386e-06,0.46904979722719975,0.8808392360239411,0.0
a19.25_x350_l70,11,22,1.0972685541666989,0.6580813100796142,19.2,3.552713678800501e-15,70.00901162685271,0.08127559129154435,353.00000466694473,3.299810987432191e-06,0.4129011532279168,1.0,0.0
a15.75_x350_l85,11,22,1.089065552397698,0.6501750588955452,15.8,3.552713678800501e-15,83.16544543180633,0.11095064978471728,352.99999164118685,5.862952908800422e-06,0.5060642116007101,0.6344525186646662,0.0
a19.50_x350_l70,11,33,1.0828690501268992,0.6436684979610439,19.4,3.552713678800501e-15,69.37070442616545,0.07994478341446311,353.00000391165577,4.510704720821387e-06,0.41437077135287886,0.8841857983907752,0.0
a19.75_x350_l70,11,22,1.0741227439826146,0.6349028922877008,19.7,3.552713678800501e-15,68.43631803080257,0.07801483050862162,353.00000238094754,3.225901394070148e-06,0.4441611566741375,0.8841857983907752,0.0
a15.50_x350_l85,11,33,1.0674429210526146,0.628575258906156,15.6,0.0,84.10494512385753,0.11323378535413148,352.9999987307432,2.9114846018629643e-06,0.5075332790605225,0.6812838116711338,0.0
a20.00_x350_l70,11,20,1.0623301939414633,0.6230978990045991,19.9,3.552713678800501e-15,67.82827577888182,0.07677050631358609,352.99999711914955,3.23093501942363e-06,0.4613469362968361,0.7683704239709699,0.0
a16.00_x350_l85,10,10,1.059241851961467,0.6600531909230084,15.9,0.0,82.74607776515126,0.08113389615413338,352.99999613300093,1.751250748326983e-06,0.5018703007518796,0.6350635459322024,0.0
a20.00_x350_l65,11,13,1.0553858512071492,0.6167578683206079,20.1,0.038569460791994054,67.29122372532714,0.06006278976186113,353.0000000417572,1.862170326665462e-06,0.48254545454545456,0.7683704239709699,0.18181818181818182
a20.25_x350_l65,11,22,1.0506102596607192,0.6128201635962274,20.2,0.038569460791994054,66.93771609391254,0.14385147196681794,353.00000534656016,4.21096543301785e-06,0.49054545454545445,0.7846762347873143,0.0
a20.50_x350_l65,11,33,1.0481098303834349,0.6088478220676685,20.4,3.552713678800501e-15,66.35788924546898,0.07379916842336004,352.99999449224833,4.213534806784267e-06,0.4967272727272727,0.8634070916656177,0.0
a20.75_x350_l65,11,22,1.0406850716525486,0.6029311521922843,20.7,0.038569460791994054,65.50822159064904,0.14746913238959017,352.9999938587938,5.233043414592887e-06,0.5194545454545456,0.8695618189250257,0.0
a21.00_x350_l65,11,33,1.0360062260418306,0.5967163603056481,20.9,3.552713678800501e-15,64.95474195188112,0.07101342638176733,352.99999843411626,2.6856068528468577e-06,0.5220000000000001,0.9140070910722468,0.0
a15.25_x350_l85,11,22,1.028198275720995,0.5893663228364147,15.3,3.552713678800501e-15,85.55666515041071,0.11680471154195726,352.9999990086825,2.977984409020805e-06,0.4859546953282234,0.6812838116711336,0.0
a21.25_x350_l65,11,22,1.026922427044618,0.5876166725259091,21.2,3.552713678800501e-15,64.14328850661687,0.06942454812911505,352.99999948292293,2.880275265735656e-06,0.5341818181818181,0.9140070910722468,0.0
a21.50_x350_l65,11,33,1.014751312449302,0.5754352901922161,21.4,3.552713678800501e-15,63.61444957552863,0.06839777429141075,352.9999996478347,2.0294245894303653e-06,0.5334545454545455,0.8395917798896622,0.0
a15.00_x350_l85,11,24,1.0071903433995462,0.568383225234435,15.1,0.0,86.55398086002783,0.11928818348888441,352.9999991753216,5.338171342321153e-06,0.4853112559494656,0.6317240794351144,0.0
a21.75_x350_l65,11,20,1.006865647824012,0.567534689693672,21.7,3.552713678800501e-15,62.83876183598652,0.06690418696601719,353.0000053870974,3.676852030814732e-06,0.5516363636363637,0.8395917798896622,0.0
a22.00_x350_l60,11,33,0.9977486100260827,0.5584079931227858,21.9,3.552713678800501e-15,62.333001743918715,0.06593830967029943,352.99999999696615,2.5590834178262176e-06,0.552,0.7378657329421433,0.0
a22.25_x350_l60,11,22,0.986558062545116,0.5472033860508988,22.2,3.552713678800501e-15,61.59083654880514,0.0645323505782678,352.9999958163853,2.7091139460799498e-06,0.5372727272727272,0.7378657329421435,0.0
a22.50_x350_l60,11,33,0.9813254177747094,0.5443587982042534,22.5,0.06165754530113968,60.918155579750305,0.18002295235212407,352.99999803878046,1.8212693837303976e-06,0.5450909090909092,0.6900285112209178,0.0
a22.75_x350_l60,11,22,0.980599094034151,0.5412220672144613,22.7,3.552713678800501e-15,60.3960214334242,0.06229731803101926,352.9999934950754,5.398155899171499e-06,0.5381818181818182,0.6900285112209178,0.0
a14.75_x350_l90,11,22,0.9783052483886502,0.5395370239029089,14.8,3.552713678800501e-15,88.09637045395846,0.1231775514258527,352.99999738928693,3.858731449892775e-06,0.4655338926388803,0.6317240794351143,0.0
a23.00_x350_l60,11,33,0.9735034265006703,0.5363578352749735,22.9,0.06428243465332341,59.9104161253651,0.15687600812367522,353.0000008022574,2.2153151754166672e-06,0.5312727272727272,0.6880492977295956,0.0
a23.25_x350_l60,11,22,0.971483263533883,0.5320851486402646,23.2,3.552713678800501e-15,59.2511074857927,0.060188510638144996,352.99999885959653,1.8538443110664536e-06,0.5285454545454545,0.6880492977295956,0.0
a23.50_x350_l60,11,33,0.9649843949916082,0.5255781765315818,23.4,0.0,58.806444400856854,0.059378153997370745,353.0000024906043,1.967958834403869e-06,0.5156363636363636,0.6813139953077869,0.0
a14.50_x350_l90,11,33,0.9592836782514301,0.520959465160211,14.6,0.028747978728803344,89.25281838389088,0.11008273342047135,353.00000245502366,4.382636733328947e-06,0.43977548251023973,0.6945329444473692,0.0
a23.75_x350_l60,11,22,0.9570604761375896,0.517642439667327,23.7,0.0,58.15313992706963,0.05819635297374403,352.99999884945504,2.2049300308990354e-06,0.5014545454545455,0.6813139953077869,0.0
a24.00_x350_l60,11,18,0.9531891499118357,0.5147471496457438,23.9,0.03856946079199405,57.70638653893778,0.07866105180682864,352.99999903414744,2.6737187850230967e-06,0.49945454545454526,0.6674575360580627,0.0
