frame_idx,time_s,theta_deg,theta_sigma_deg,PEN_deg,FL_mm,FL_sigma_mm,combined_confidence,R_scale,median_zncc,valid_fraction,out_of_plane_score,median_dx_px,median_dy_px,epsilon_f_median,epsilon_perp_median,gamma_fperp_median,epsilon_f_sigma_median,strain_rate_f_median_s,fit_residual_median_px
0,0.0,17.499999999999943,0.25,19.328384403941925,75.83031382339634,0.25,1.0,1.0,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,0.02999310158663507,17.50000606513882,0.25,19.32908541649232,75.82804579597638,0.25,1.0,1.0,0.999529242515564,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.05998620317327014,17.499418580712188,0.25,19.329325633141963,75.8275828647501,0.25,1.0,1.0,0.999578595161438,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.08997930475990522,17.495753119262247,0.25,19.327614790614547,75.83520597594253,0.25,1.0,1.0,0.9993507266044617,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.11997240634654029,17.492056039533793,0.25,19.325188585935024,75.84501747047715,0.25,1.0,1.0,0.9993607401847839,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.14996550793317537,17.486781660750495,0.25,19.32094181714905,75.85982997401956,0.25,1.0,1.0,0.9989348649978638,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.17995860951981044,17.48167878305884,0.25,19.31678890926071,75.87446526840954,0.25,1.0,1.0,0.9989217519760132,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.2099517111064455,17.476298658798072,0.25,19.31684691566332,75.86732788073707,0.25,1.0,1.0,0.997763991355896,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.23994481269308057,17.472353763190966,0.25,19.317004692750032,75.86148951511464,0.25,1.0,1.0,0.9977235794067383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.26993791427971564,17.471028338288505,0.25,19.315535849488498,75.8631055099381,0.25,1.0,1.0,0.9990249872207642,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.29993101586635074,17.469500718801356,0.25,19.31400144961941,75.86686457834578,0.25,1.0,1.0,0.9990935325622559,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
