name,group,note,block_size,stride,search_radius,zncc_low,zncc_high,confidence_floor,r_min_scale,r_max_scale,r_gamma,motion_spread_scale_px,forward_backward_scale_px,base_grid_points,median_band_points,median_valid_points,confidence_min,confidence_q10,confidence_median,confidence_q90,confidence_no_fb_median,median_fb_penalty_drop,median_zncc,valid_fraction_median,fb_error_median_px,fb_error_q90_px,R_scale_min,R_scale_median,R_scale_q90,R_scale_max,frames_R_gt_5,frames_R_gt_10,frames_at_R_min,theta_delta_rmse_deg,pen_delta_rmse_deg,length_delta_rmse_mm,cache_path,loaded_cache
base,base,current rule-of-thumb,21,24,8,0.45,0.9,0.05,0.5,20.0,1.5,3.0,2.0,216,216.0,215.0,0.1416984498500824,0.4261316478252411,0.7165313363075256,1.0,0.7165313363075256,0.0,0.9394334554672241,0.9953703880310059,0.0,0.0,0.5,3.443013104807928,8.977214380448999,16.00580995169901,150,34,211,0.08321847144779324,0.08321847144779324,0.13406880437301844,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/base_18a4a1c0c4_first_500_frames.npz,False
block_size_15,block_size,"smaller patches: more local, noisier",15,24,8,0.45,0.9,0.05,0.5,20.0,1.5,3.0,2.0,216,216.0,212.0,0.10218670964241028,0.3451761156320572,0.7165313363075256,1.0,0.7165313363075256,0.0,0.9343743324279785,0.9814814925193787,0.0,1.0,0.5,3.443013104807928,10.832896930761288,17.088749777032866,177,71,211,0.07527968403202227,0.07527968403202227,0.12202231231101103,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/block_size_15_77d9fcc5a5_first_500_frames.npz,False
block_size_31,block_size,"larger patches: smoother, less local",31,24,8,0.45,0.9,0.05,0.5,20.0,1.5,3.0,2.0,189,189.0,189.0,0.22960542142391205,0.5131386280059814,0.7808785438537598,1.0,0.9414829611778259,0.0,0.9414416551589966,1.0,0.0,0.0,0.5,2.51339178323491,7.124346919285718,13.685737882887295,90,10,231,0.16067194872461452,0.16067194872461452,0.26681816977707384,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/block_size_31_b7a4fc4dbb_first_500_frames.npz,False
block_size_41,block_size,very large patches,41,24,8,0.45,0.9,0.05,0.5,20.0,1.5,3.0,2.0,182,182.0,182.0,0.24544711410999298,0.5567815780639649,0.955062747001648,1.0,0.9930373132228851,0.0,0.9417307376861572,1.0,0.0,0.0,0.5,0.6861204431329126,6.253889880799468,13.281126641274312,76,4,239,0.18638442687853235,0.18638442687853235,0.3120384900434785,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/block_size_41_18ba29b65c_first_500_frames.npz,False
stride_12,stride,denser grid,21,12,8,0.45,0.9,0.05,0.5,20.0,1.5,3.0,2.0,795,795.0,792.0,0.16236969828605652,0.4345982074737549,0.7165313363075256,1.0,0.7165313363075256,0.0,0.9373470544815063,0.99622642993927,0.0,0.0,0.5,3.443013104807928,8.790302601991549,15.449035768950015,148,31,213,0.07914536801549986,0.07914536801549986,0.1275560473231187,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/stride_12_59317a4b43_first_500_frames.npz,False
stride_36,stride,sparser grid,21,36,8,0.45,0.9,0.05,0.5,20.0,1.5,3.0,2.0,90,90.0,90.0,0.18853218853473663,0.433195036649704,0.7165313363075256,1.0,0.7424237728118896,0.0,0.9381848573684692,1.0,0.0,0.0,0.5,3.443013104807928,8.82118355771194,14.754157636612579,137,32,226,0.12976940918748212,0.12976940918748212,0.20815417193347735,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/stride_36_7ae3efa2e4_first_500_frames.npz,False
stride_48,stride,very sparse grid,21,48,8,0.45,0.9,0.05,0.5,20.0,1.5,3.0,2.0,56,56.0,56.0,0.1562252640724182,0.4189985185861588,0.7165313363075256,1.0,0.8874860405921936,0.0,0.940235435962677,1.0,0.0,0.0,0.5,3.443013104807928,9.135758148076595,15.61382495241676,138,33,226,0.1121183871592135,0.1121183871592135,0.17791999381344112,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/stride_48_6fe3e86624_first_500_frames.npz,False
search_radius_4,search_radius,smaller motion search,21,24,4,0.45,0.9,0.05,0.5,20.0,1.5,3.0,2.0,216,216.0,215.0,0.210580974817276,0.47424741089344025,0.7165313363075256,1.0,0.7165313363075256,0.0,0.9390921592712402,0.9953703880310059,0.0,0.0,0.5,3.443013104807928,7.933738454468282,14.177162112060046,145,11,215,0.0994094452275796,0.0994094452275796,0.15786594579595037,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/search_radius_4_4f0a477309_first_500_frames.npz,False
search_radius_12,search_radius,larger motion search,21,24,12,0.45,0.9,0.05,0.5,20.0,1.5,3.0,2.0,189,189.0,189.0,0.1787397265434265,0.4345982074737549,0.7165313363075256,1.0,0.7165313363075256,0.0,0.9399061799049377,1.0,0.0,0.0,0.5,3.443013104807928,8.790302601991549,15.012954523489654,142,29,216,0.10856751470734835,0.10856751470734835,0.1732288342177211,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/search_radius_12_4cb11a94e3_first_500_frames.npz,False
search_radius_16,search_radius,very large motion search,21,24,16,0.45,0.9,0.05,0.5,20.0,1.5,3.0,2.0,182,182.0,182.0,0.13309478759765625,0.4335098892450333,0.7165313363075256,1.0,0.7165313363075256,0.0,0.9377696514129639,1.0,0.0,0.0,0.5,3.443013104807928,8.814353905308595,16.239539893933852,147,30,216,0.09579208595533394,0.09579208595533394,0.15151617830058287,/Users/grosbedou/PycharmProjects/NDORMS/results/notebook63_speckle_adaptive_R_parameter_sweep/confidence_cache/search_radius_16_00ff740b92_first_500_frames.npz,False
