matlab_row,python_frame,time_s,python_time_s,matlab_FL_mm,matlab_ANG_deg,matlab_PEN_deg,python_normal_FL_mm,python_normal_ANG_deg,python_normal_PEN_deg,python_adaptive_FL_mm,python_adaptive_ANG_deg,python_adaptive_PEN_deg,combined_confidence,r_scale,r_scale_theta,r_scale_length,delta_normal_FL_mm,delta_normal_ANG_deg,delta_normal_PEN_deg,delta_adaptive_FL_mm,delta_adaptive_ANG_deg,delta_adaptive_PEN_deg,delta_adaptive_minus_normal_FL_mm,delta_adaptive_minus_normal_ANG_deg,delta_adaptive_minus_normal_PEN_deg
0,1,0.029993091648583443,0.02999310158663507,72.30705044734124,18.520488637203375,20.387454154337288,75.82804581326762,17.50000606513882,19.32908541649232,75.82804585177702,17.50000606513882,19.32908541649232,0.9715340066196786,0.5936535248033044,0.653800577966982,0.5000001992334036,3.5209953659263817,-1.0204825720645552,-1.0583687378449689,3.52099540443578,-1.0204825720645552,-1.0583687378449689,3.850939833682787e-08,0.0,0.0
1,2,0.05998618329716689,0.05998620317327014,72.3041431985567,18.520433447527072,20.388171753751934,75.82758288889309,17.499418580712188,19.329325633141963,75.82758294266135,17.499418580712188,19.329325633141963,0.9680664714675562,0.6112768888726873,0.7266941528159214,0.5045007150742328,3.5234396903363887,-1.021014866814884,-1.0588461206099709,3.5234397441046497,-1.021014866814884,-1.0588461206099709,5.376826095471188e-08,0.0,0.0
2,3,0.08997927494575034,0.08997930475990522,72.30361344229226,18.519919797703597,20.388370525815716,75.83520607298924,17.495753119262247,19.327614790614547,75.83520628910381,17.495753119262247,19.327614790614547,0.969612106494683,0.603296475842029,0.6906298158897102,0.5017457802553019,3.531592630696977,-1.0241666784413503,-1.0607557352011696,3.5315928468115487,-1.0241666784413503,-1.0607557352011696,2.1611457157177938e-07,0.0,0.0
3,4,0.11997236659433377,0.11997240634654029,72.30634400456518,18.51758253797967,20.387862677467417,75.84501763969979,17.492056039533793,19.325188585935024,75.84501801652887,17.492056039533793,19.325188585935024,0.9720219699389792,0.5912557649806659,0.6497366281263448,0.5000254506606919,3.5386736351346144,-1.0255264984458776,-1.0626740915323936,3.5386740119636926,-1.0255264984458776,-1.0626740915323936,3.7682907816360967e-07,0.0,0.0
4,5,0.1499654582429172,0.14996550793317537,72.31269435103422,18.514816747320342,20.386083588973428,75.85979666921156,17.486790559763648,19.3209507161622,75.85976965223541,17.486797891398083,19.320958047796637,0.9697100735666037,0.6027973547328748,0.6898345454802256,0.5017005699625232,3.5471023181773376,-1.0280261875566943,-1.0651328728112262,3.5470753012011897,-1.0280188559222587,-1.0651255411767906,-2.701697614782006e-05,7.3316344355589536e-06,7.3316344355589536e-06
5,6,0.17995854989150065,0.17995860951981044,72.32170149472275,18.511249455710093,20.38317870909861,75.87440062136822,17.481696004531358,19.316806130733227,75.87434831409178,17.481710094267214,19.316820220469083,0.9717046004961514,0.5928129029631732,0.6524169216411452,0.500000936151546,3.5526991266454786,-1.0295534511787352,-1.0663725783653817,3.5526468193690306,-1.029539361442879,-1.0663584886295254,-5.2307276448004814e-05,1.4089735856259722e-05,1.4089735856259722e-05
6,7,0.2099516415400841,0.2099517111064455,72.3316822289853,18.507505032136702,20.379934502384987,75.867228339809,17.476325142469108,19.316873399334355,75.86714831378518,17.476346623212834,19.31689488007808,0.9697022592667824,0.6028371373232563,0.6899014439504847,0.5017008993535291,3.5355461108237023,-1.0311798896675946,-1.0630611030506323,3.5354660847998787,-1.0311584089238686,-1.0630396223069063,-8.002602382362056e-05,2.148074372598785e-05,2.148074372598785e-05
7,8,0.23994473318866755,0.23994481269308057,72.31229981154782,18.50318897195092,20.3854945035856,75.86139002706048,17.47238024686203,19.317031176421096,75.86131010623703,17.472401727605757,19.317052657164822,0.9725721786663756,0.5885771247986771,0.6453081424875935,0.5000401897942942,3.5490902155126633,-1.0308087250888889,-1.0684633271645048,3.549010294689211,-1.030787244345163,-1.0684418464207788,-7.992082345253948e-05,2.148074372598785e-05,2.148074372598785e-05
8,9,0.269937824837251,0.26993791427971564,72.29563333136117,18.499978791062166,20.390273936583608,75.86300601601016,17.47105482195957,19.315562333159562,75.8629260967519,17.471076302703295,19.315583813903288,0.9725072452283666,0.5888918610641354,0.6457985920446154,0.5000471885712142,3.567372684648987,-1.0289239691025962,-1.0747116034240456,3.5672927653907323,-1.0289024883588702,-1.0746901226803196,-7.991925825479029e-05,2.148074372598785e-05,2.148074372598785e-05
9,10,0.2999309164858344,0.29993101586635074,72.28822717813655,18.4992046034117,20.392666249831723,75.86676507994511,17.46952720247242,19.314027933290475,75.86668516988394,17.469548683216146,19.3140494140342,0.9723023332262017,0.5898875183486586,0.6475709893063618,0.5000105321461207,3.5785379018085592,-1.0296774009392813,-1.078638316541248,3.578457991747385,-1.0296559201955553,-1.078616835797522,-7.991006117435973e-05,2.148074372598785e-05,2.148074372598785e-05
