rung_index,rung,variable,unit,diagnostic_tolerance,reference_source,python_source,n,bias,mae,rmse,max_abs,corr,within_tolerance
0,MATLAB variable alias check,FL vs fas_length,mm,1e-10,Fdat.Region.FL,Fdat.Region.fas_length,2666,0.0,0.0,0.0,0.0,1.0,True
0,MATLAB variable alias check,PEN vs fas_pen,deg,1e-10,Fdat.Region.PEN,Fdat.Region.fas_pen,2666,0.0,0.0,0.0,0.0,1.0,True
0,MATLAB variable alias check,ANG vs fas_ang,deg,1e-10,Fdat.Region.ANG,Fdat.Region.fas_ang,2666,0.0,0.0,0.0,0.0,1.0,True
1,Frame/time alignment,time,s,5e-05,Fdat.Region.Time,Python time_s,2666,1.3252391844373097e-05,1.3252391844373097e-05,1.5301109495801137e-05,2.6494845641877873e-05,0.9999999999999999,True
2,TimTrack geofeature measurement,fascicle alpha raw,deg,0.25,Fdat.geofeatures.alpha,Python raw_timtrack_alpha_deg,2666,1.40847711927982,1.6189047261815455,2.8993493333227645,14.5,0.8848513086938369,False
2,TimTrack geofeature measurement,fascicle alpha selected,deg,0.25,Fdat.geofeatures.alpha,Python timtrack_alpha_deg,2666,1.4533008252063015,1.6284696174043511,2.920087837419375,14.5,0.8849613630759807,False
2,TimTrack geofeature measurement,super_y1,px,0.5,Fdat.geofeatures.super_y1,"Python apo_measurement_states[:, 0]",2666,1.420847761775969,1.9516642786654392,2.7812707970448285,14.509857483463481,0.6922688898110632,False
2,TimTrack geofeature measurement,super_y2,px,0.5,Fdat.geofeatures.super_y2,"Python apo_measurement_states[:, 1]",2666,1.014233305788211,1.2953187712182244,1.7318875663889477,8.33891896178735,0.7975562630661763,False
2,TimTrack geofeature measurement,deep_y1,px,0.5,Fdat.geofeatures.deep_y1,"Python apo_measurement_states[:, 2]",2666,0.7997285863250143,1.1843417194019927,1.8044960131733463,6.89267208131281,0.9572278923723669,False
2,TimTrack geofeature measurement,deep_y2,px,0.5,Fdat.geofeatures.deep_y2,"Python apo_measurement_states[:, 3]",2666,-0.1990504376724465,0.6189194214293915,0.9115666266117335,4.248019323775679,0.9945301167838039,False
2,TimTrack geofeature measurement,super angle betha,deg,0.25,Fdat.geofeatures.betha,angle(Python apo_measurement_states super),2666,0.03301402903377216,0.17999901766868573,0.29809791962607096,1.486434639229767,0.7342188089362784,False
2,TimTrack geofeature measurement,deep angle gamma,deg,0.25,Fdat.geofeatures.gamma,angle(Python apo_measurement_states deep),2666,0.08113490641782568,0.12610636899862185,0.1964609342622196,0.7902972296436508,0.9228139524390445,True
2,TimTrack geofeature measurement,muscle thickness,px,1.0,Fdat.geofeatures.thickness,Python measurement-line thickness,2666,-0.8521980122724058,1.9150131885443011,2.6071453239878486,13.420311301184142,0.9092118592777094,False
3,Aponeurosis state/filter output,super filtered y1,px,0.5,Fdat.Region.sup_y1,Python filtered apo lines,2666,1.5623863216011058,1.5832989254645569,1.845592584430089,4.564721806831336,0.9055266109391615,False
3,Aponeurosis state/filter output,super filtered y2,px,0.5,Fdat.Region.sup_y2,Python filtered apo lines,2666,0.9819307029538294,0.9988252773474557,1.1387475284351132,3.7507656444638258,0.965986739886769,False
3,Aponeurosis state/filter output,deep filtered y1,px,0.5,Fdat.Region.deep_y1,Python filtered apo lines,2666,0.8207901483543706,1.0279623335193726,1.6174008234876767,6.732463683010394,0.971565145503881,False
3,Aponeurosis state/filter output,deep filtered y2,px,0.5,Fdat.Region.deep_y2,Python filtered apo lines,2666,-0.19729594386660856,0.4511963561464147,0.6821524658650852,3.4284917072844223,0.9971014926528778,False
3,Aponeurosis state/filter output,super filtered angle,deg,0.25,angle(Fdat.Region.sup_y),angle(Python sup_apo_lines),2666,0.04714204949693088,0.10213681765978366,0.1308552067526725,0.41930590427422665,0.9400949375418168,True
3,Aponeurosis state/filter output,deep filtered angle,deg,0.25,angle(Fdat.Region.deep_y),angle(Python deep_apo_lines),2666,0.08270401311441873,0.10327632106784723,0.1626558923834624,0.7705536400794417,0.9544030420382281,True
4,KLT / fascicle prior,KLT prior x_sup,px,1.0,MATLAB Fascicle.fas_x/y_original,Python klt_prior_segments,2666,2.1882551625866715,13.661133108831992,15.361333179932034,32.87961424027321,0.8315022110793853,False
4,KLT / fascicle prior,KLT prior y_sup,px,1.0,MATLAB Fascicle.fas_x/y_original,Python klt_prior_segments,2666,-0.5323541747904713,2.306995795501903,2.6763803972050706,5.899302655854775,0.9282782825439648,False
4,KLT / fascicle prior,KLT prior x_deep,px,1.0,MATLAB Fascicle.fas_x/y_original,Python klt_prior_segments,2666,18.219029934397298,26.1140790346063,32.10060558343294,68.22227519806688,0.9749221955642544,False
4,KLT / fascicle prior,KLT prior y_deep,px,1.0,MATLAB Fascicle.fas_x/y_original,Python klt_prior_segments,2666,-4.267076635885011,4.267076635885011,4.456846921508559,7.915427780326127,0.9656221389566862,False
4,KLT / fascicle prior,KLT prior length,px,2.0,length(MATLAB fas_original),length(Python klt_prior_segments),2666,-15.033735035681609,31.70736231580228,38.4949623049278,81.53930374643272,0.9583875212395085,False
4,KLT / fascicle prior,KLT prior angle,deg,0.25,angle(MATLAB fas_original),angle(Python klt_prior_segments),2666,0.6764626073188084,1.82792975039038,2.4127796961384576,7.5884873247839835,0.9434705481012517,False
5,Fascicle Kalman state/output geometry,X_plus x_sup,px,1.0,"MATLAB Fascicle.X_plus[:,1]",Python fixed_fascicle_segments x_sup,2666,22.149315235883787,22.149315235883787,22.8283639464823,35.3370643482873,0.8989525442388889,False
5,Fascicle Kalman state/output geometry,X_plus alpha,deg,0.25,"MATLAB Fascicle.X_plus[:,2]",Python fixed_ANG_deg,2666,1.1344179478155005,1.2596862987650932,1.5184712281726287,4.593174178067777,0.9825755264334012,False
5,Fascicle Kalman state/output geometry,final x_sup,px,1.0,MATLAB Fascicle.fas_x/fas_y,Python fixed_fascicle_segments,2666,20.705215423008408,20.705215423008408,21.385710986055873,32.09551191817479,0.9265698920241878,False
5,Fascicle Kalman state/output geometry,final y_sup,px,1.0,MATLAB Fascicle.fas_x/fas_y,Python fixed_fascicle_segments,2666,1.5071920655664073,1.5071920655664073,1.5071920655664073,1.5071920655664073,1.0,False
5,Fascicle Kalman state/output geometry,final x_deep,px,1.0,MATLAB Fascicle.fas_x/fas_y,Python fixed_fascicle_segments,2666,46.895214268193826,47.5543360764685,52.44992730426524,97.73540585885385,0.9779886965642555,False
5,Fascicle Kalman state/output geometry,final y_deep,px,1.0,MATLAB Fascicle.fas_x/fas_y,Python fixed_fascicle_segments,2666,1.5857497979433675,1.6113631899809095,1.8586430978310382,4.863343689895487,0.9529890151891418,False
5,Fascicle Kalman state/output geometry,final-end x_sup,px,1.0,MATLAB Fascicle.fas_x_end/fas_y_end,Python fixed_fascicle_end_segments,2666,20.797653521543115,20.797653521543115,21.62835118488514,33.83417107346736,0.8179726840421393,False
5,Fascicle Kalman state/output geometry,final-end y_sup,px,1.0,MATLAB Fascicle.fas_x_end/fas_y_end,Python fixed_fascicle_end_segments,2666,1.381189394126845,1.3844439379125448,1.4916193388642998,4.063311708028323,0.9680390591458055,False
5,Fascicle Kalman state/output geometry,final-end x_deep,px,1.0,MATLAB Fascicle.fas_x_end/fas_y_end,Python fixed_fascicle_end_segments,2666,46.895214268193826,47.5543360764685,52.44992730426524,97.73540585885385,0.9779886965642555,False
5,Fascicle Kalman state/output geometry,final-end y_deep,px,1.0,MATLAB Fascicle.fas_x_end/fas_y_end,Python fixed_fascicle_end_segments,2666,1.5857497979433675,1.6113631899809095,1.8586430978310382,4.863343689895487,0.9529890151891418,False
5,Fascicle Kalman state/output geometry,final-end length,px,2.0,length(MATLAB fas_end),length(Python fixed_end_segments),2666,-23.220621385442413,26.744862418746997,31.780532918992986,69.63913158481864,0.9782908708806604,False
6,Final output variables,FL,mm,0.5,Fdat.Region.FL/fas_length,Python fixed_FL_mm,2666,-2.0948140644874202,2.4127482644670337,2.8670338416244565,6.282391408096636,0.9782908708806607,False
6,Final output variables,PEN,deg,0.5,Fdat.Region.PEN/fas_pen,Python fixed_PEN_deg,2666,1.1094370745220472,1.2610887163630429,1.5244742585482798,4.450124136393747,0.9775796506062322,False
6,Final output variables,ANG,deg,0.5,Fdat.Region.ANG/fas_ang,Python fixed_ANG_deg,2666,1.1921410876364664,1.3211708846781467,1.5992462684182553,4.69778531908856,0.9801716577177724,False
