stage,kind,unit,frames,mean_bias,mean_mae,mean_rmse,worst_mae,worst_rmse,worst_max_abs,mean_dice,worst_dice
control_B_rebuilt_get_fasMask_Emask,binary,fraction/pixels,15,0.0002002829500737639,0.0002002829500737619,0.014077744683076935,0.0003024406964201103,0.017390822189307504,120.0,0.9996959237636307,0.9995469920270597
control_B_rebuilt_get_fasMask_fascicle_masked,binary,fraction/pixels,15,2.520339136834332e-05,2.520339136834252e-05,0.004937384590512798,5.040678273668505e-05,0.007099773428545805,20.0,0.9998001272191157,0.999604992889872
control_A_same_matlab_mask_X,numeric,px,15,7.326666666666666,74.19333333333334,115.26914012928297,115.5,160.47273911789503,390.0,,
control_A_same_matlab_mask_Y,numeric,px,15,1.96,18.026666666666664,28.21345660386852,32.1,44.73477394600312,108.0,,
control_A_same_matlab_mask_alphas,numeric,deg,15,1.3766666666666667,4.630000000000001,7.082601854400363,9.6,14.159802258506296,24.5,,
control_A_same_matlab_mask_weights,numeric,votes,15,3.78,3.78,5.589339735924016,7.2,10.963576058932597,29.0,,
control_A_same_matlab_mask_alpha,numeric,deg,15,1.0,1.2,1.2,6.5,6.5,6.5,,
control_B_rebuilt_get_fasMask_alpha,numeric,deg,15,1.0,1.2,1.2,6.5,6.5,6.5,,
control_C_full_python_alpha,numeric,deg,15,-0.23333333333333334,0.9666666666666667,0.9666666666666667,5.5,5.5,5.5,,
control_A_same_matlab_mask_h_by_angle,numeric,votes,15,0.0,0.0,0.0,0.0,0.0,0.0,,
