rank,matlab_alpha,matlab_weight,same_mask_py_alpha,same_mask_py_weight,rebuilt_mask_py_alpha,rebuilt_mask_py_weight,full_py_alpha,full_py_weight
1,19.0,367.0,19.0,367.0,19.0,367.0,19.0,367.0
2,21.0,349.0,21.0,349.0,21.0,349.0,21.0,339.0
3,19.0,293.0,19.0,293.0,19.0,293.0,11.0,280.0
4,25.5,291.0,25.5,291.0,25.5,291.0,8.5,277.0
5,21.0,281.0,20.0,287.0,20.0,287.0,20.0,276.0
6,22.0,275.0,20.0,287.0,20.0,287.0,20.0,275.0
7,10.5,270.0,21.0,281.0,21.0,281.0,25.5,272.0
8,20.5,267.0,22.0,278.0,22.0,278.0,10.5,269.0
9,19.5,267.0,22.0,275.0,22.0,275.0,19.0,268.0
10,18.5,267.0,23.0,272.0,23.0,272.0,5.5,268.0
