frame0,mode,matlab_export_alpha,python_alpha,diff
0,source_uint8_exact,19.5,18.5,-1.0
0,debug_double255_emulation,19.5,20.5,1.0
1,source_uint8_exact,19.5,18.5,-1.0
1,debug_double255_emulation,19.5,20.5,1.0
2,source_uint8_exact,19.5,16.5,-3.0
2,debug_double255_emulation,19.5,21.0,1.5
100,source_uint8_exact,30.5,19.0,-11.5
100,debug_double255_emulation,30.5,29.0,-1.5
250,source_uint8_exact,20.5,20.5,0.0
250,debug_double255_emulation,20.5,20.5,0.0
500,source_uint8_exact,20.0,19.0,-1.0
500,debug_double255_emulation,20.0,20.0,0.0
750,source_uint8_exact,23.5,23.5,0.0
750,debug_double255_emulation,23.5,23.5,0.0
1000,source_uint8_exact,26.5,26.5,0.0
1000,debug_double255_emulation,26.5,26.5,0.0
1250,source_uint8_exact,28.5,24.0,-4.5
1250,debug_double255_emulation,28.5,28.5,0.0
1500,source_uint8_exact,32.0,30.5,-1.5
1500,debug_double255_emulation,32.0,32.0,0.0
1750,source_uint8_exact,25.0,24.5,-0.5
1750,debug_double255_emulation,25.0,24.5,-0.5
2000,source_uint8_exact,33.5,33.5,0.0
2000,debug_double255_emulation,33.5,33.5,0.0
2250,source_uint8_exact,30.5,25.5,-5.0
2250,debug_double255_emulation,30.5,30.5,0.0
2500,source_uint8_exact,32.0,32.0,0.0
2500,debug_double255_emulation,32.0,32.0,0.0
2665,source_uint8_exact,21.0,20.0,-1.0
2665,debug_double255_emulation,21.0,20.5,-0.5
