stage,frame0,kind,matlab_density,python_density,density_diff_py_minus_mat,diff_fraction,different_pixels,dice,jaccard,unit,n,bias_py_minus_mat,mae,rmse,max_abs
source_uint8_exact:apo_thres,0,binary,0.9316181585394131,0.3010041031121148,-0.6306140554272983,0.6306140554272983,250210.0,0.4883963440816243,0.3230981495509144,,,,,,
source_uint8_exact:apo_super,0,binary,0.11390924762836087,0.036030768300182474,-0.0778784793281784,0.0778784793281784,30900.0,0.4806024339406979,0.31631117798035224,,,,,,
source_uint8_exact:apo_deep,0,binary,0.12595898904156544,0.039975099049328076,-0.08598388999223736,0.08598388999223736,34116.0,0.48181901029800417,0.31736598835464314,,,,,,
source_uint8_exact:fas_thres_raw,0,binary,0.22793191051787928,0.22705231215912414,-0.0008795983587551459,0.004166120593187019,1653.0,0.9908433734939759,0.9818529130850048,,,,,,
source_uint8_exact:fas_thres,0,binary,0.22793191051787928,0.22705231215912414,-0.0008795983587551459,0.004166120593187019,1653.0,0.9908433734939759,0.9818529130850048,,,,,,
source_uint8_exact:Emask,0,binary,0.3239341485790328,0.38560684725736694,0.06167269867833414,0.06173318681761818,24494.0,0.9129956025375987,0.8399189595451277,,,,,,
source_uint8_exact:fascicle_masked,0,binary,0.06328823606504491,0.07279495528918371,0.009506719224138802,0.01139193289849082,4520.0,0.9162869948512797,0.8455070581399323,,,,,,
source_uint8_exact:super_vec,0,numeric,,,,,,,,px,10.0,-18.0,26.4,27.27636339397171,42.0
source_uint8_exact:deep_vec,0,numeric,,,,,,,,px,10.0,25.9,25.9,27.54450943473127,42.0
source_uint8_exact:alpha,0,numeric,,,,,,,,deg,1.0,-1.0,1.0,1.0,1.0
debug_double255_emulation:apo_thres,0,binary,0.9316181585394131,0.88765840331475,-0.04395975522466311,0.04395975522466303,17442.0,0.9758366835772015,0.9528135483172817,,,,,,
debug_double255_emulation:apo_super,0,binary,0.11390924762836087,0.10545350982428195,-0.00845573780407892,0.008455737804078918,3355.0,0.9614531750864574,0.9257677670590317,,,,,,
debug_double255_emulation:apo_deep,0,binary,0.12595898904156544,0.11969594628653231,-0.00626304275503313,0.0062630427550331175,2485.0,0.9745047143194246,0.9502771274786401,,,,,,
debug_double255_emulation:fas_thres_raw,0,binary,0.22793191051787928,0.22705231215912414,-0.0008795983587551459,0.004166120593187019,1653.0,0.9908433734939759,0.9818529130850048,,,,,,
debug_double255_emulation:fas_thres,0,binary,0.22793191051787928,0.22705231215912414,-0.0008795983587551459,0.004166120593187019,1653.0,0.9908433734939759,0.9818529130850048,,,,,,
debug_double255_emulation:Emask,0,binary,0.3239341485790328,0.33396509834363314,0.010030949764600339,0.026655106711159053,10576.0,0.9594845155457484,0.9221242065888106,,,,,,
debug_double255_emulation:fascicle_masked,0,binary,0.06328823606504491,0.06633784642061435,0.003049610355569443,0.006386539372737996,2534.0,0.9507310623736195,0.9060890190119705,,,,,,
debug_double255_emulation:super_vec,0,numeric,,,,,,,,px,10.0,4.0,9.2,20.11964214393487,58.0
debug_double255_emulation:deep_vec,0,numeric,,,,,,,,px,10.0,11.5,11.5,15.116216457830975,26.0
debug_double255_emulation:alpha,0,numeric,,,,,,,,deg,1.0,1.0,1.0,1.0,1.0
source_uint8_exact:apo_thres,1,binary,0.9334025586482917,0.3011553234603248,-0.6322472351879669,0.6322472351879669,250858.0,0.48787558335612996,0.3226424876062514,,,,,,
source_uint8_exact:apo_super,1,binary,0.11404030526347625,0.03604841067414031,-0.07799189458933595,0.07799189458933595,30945.0,0.4803613709257611,0.31610236916548795,,,,,,
source_uint8_exact:apo_deep,1,binary,0.12615305515510167,0.03999778210155958,-0.08615527305354209,0.08615527305354208,34184.0,0.48146350342819005,0.3170575778159588,,,,,,
source_uint8_exact:fas_thres_raw,1,binary,0.22809321222263668,0.22743288336878612,-0.0006603288538505614,0.004319861280533909,1714.0,0.9905167644129689,0.981211702675743,,,,,,
source_uint8_exact:fas_thres,1,binary,0.22809321222263668,0.22743288336878612,-0.0006603288538505614,0.004319861280533909,1714.0,0.9905167644129689,0.981211702675743,,,,,,
source_uint8_exact:Emask,1,binary,0.3239341485790328,0.38560684725736694,0.06167269867833414,0.06173318681761818,24494.0,0.9129956025375987,0.8399189595451277,,,,,,
source_uint8_exact:fascicle_masked,1,binary,0.06335628522173943,0.07296885868962527,0.00961257346788584,0.011381851541943483,4516.0,0.916509521168423,0.8458860867487971,,,,,,
source_uint8_exact:super_vec,1,numeric,,,,,,,,px,10.0,-17.9,26.3,27.171676429694212,42.0
source_uint8_exact:deep_vec,1,numeric,,,,,,,,px,10.0,25.9,25.9,27.54450943473127,42.0
source_uint8_exact:alpha,1,numeric,,,,,,,,deg,1.0,-1.0,1.0,1.0,1.0
debug_double255_emulation:apo_thres,1,binary,0.9334025586482917,0.8902190678777736,-0.043183490770518085,0.04318349077051808,17134.0,0.9763199283544465,0.9537354056184993,,,,,,
debug_double255_emulation:apo_super,1,binary,0.11404030526347625,0.10559464881594467,-0.008445656447531577,0.00844565644753158,3351.0,0.9615468472086752,0.925941478076379,,,,,,
debug_double255_emulation:apo_deep,1,binary,0.12615305515510167,0.12003619207000495,-0.0061168630850967215,0.006116863085096731,2427.0,0.9751538170166153,0.9515123666440245,,,,,,
debug_double255_emulation:fas_thres_raw,1,binary,0.22809321222263668,0.22743288336878612,-0.0006603288538505614,0.004319861280533909,1714.0,0.9905167644129689,0.981211702675743,,,,,,
debug_double255_emulation:fas_thres,1,binary,0.22809321222263668,0.22743288336878612,-0.0006603288538505614,0.004319861280533909,1714.0,0.9905167644129689,0.981211702675743,,,,,,
debug_double255_emulation:Emask,1,binary,0.3239341485790328,0.33396509834363314,0.010030949764600339,0.026655106711159053,10576.0,0.9594845155457484,0.9221242065888106,,,,,,
debug_double255_emulation:fascicle_masked,1,binary,0.06335628522173943,0.06652687185587693,0.0031705866341374955,0.006396620729285332,2538.0,0.9507509605309117,0.9061251664447404,,,,,,
debug_double255_emulation:super_vec,1,numeric,,,,,,,,px,10.0,3.9,9.1,19.83179265724609,57.0
debug_double255_emulation:deep_vec,1,numeric,,,,,,,,px,10.0,11.5,11.5,15.116216457830975,26.0
debug_double255_emulation:alpha,1,numeric,,,,,,,,deg,1.0,1.0,1.0,1.0,1.0
source_uint8_exact:apo_thres,2,binary,0.9320340144969907,0.30135695059127154,-0.6306770639057192,0.6306770639057192,250235.0,0.4886641123882503,0.3233325671637755,,,,,,
source_uint8_exact:apo_super,2,binary,0.11398233746332906,0.03607361406550866,-0.0779087233978204,0.07790872339782041,30912.0,0.4808021767610602,0.31648424543946935,,,,,,
source_uint8_exact:apo_deep,2,binary,0.12593882632847075,0.03998266006673858,-0.08595616626173216,0.08595616626173218,34105.0,0.481946744034147,0.31747683563809564,,,,,,
source_uint8_exact:fas_thres_raw,2,binary,0.22879890718095028,0.2280050003528475,-0.0007939068281027917,0.004135876523545008,1641.0,0.9909460570381855,0.9820545907878045,,,,,,
source_uint8_exact:fas_thres,2,binary,0.22879890718095028,0.2280050003528475,-0.0007939068281027917,0.004135876523545008,1641.0,0.9909460570381855,0.9820545907878045,,,,,,
source_uint8_exact:Emask,2,binary,0.3239341485790328,0.38560684725736694,0.06167269867833414,0.06173318681761818,24494.0,0.9129956025375987,0.8399189595451277,,,,,,
source_uint8_exact:fascicle_masked,2,binary,0.06345205810893914,0.07296633835048844,0.009514280241549294,0.011323883741796296,4493.0,0.9169915199438358,0.8467076083248039,,,,,,
source_uint8_exact:super_vec,2,numeric,,,,,,,,px,10.0,-17.9,26.3,27.171676429694212,42.0
source_uint8_exact:deep_vec,2,numeric,,,,,,,,px,10.0,25.9,25.9,27.54450943473127,42.0
source_uint8_exact:alpha,2,numeric,,,,,,,,deg,1.0,-3.0,3.0,3.0,3.0
debug_double255_emulation:apo_thres,2,binary,0.9320340144969907,0.8881196253767907,-0.04391438912020007,0.043914389120200015,17424.0,0.9758732514892285,0.9528832763213044,,,,,,
debug_double255_emulation:apo_super,2,binary,0.11398233746332906,0.10553164033752381,-0.008450697125805248,0.008450697125805248,3353.0,0.9615026924004271,0.9258595909342178,,,,,,
debug_double255_emulation:apo_deep,2,binary,0.12593882632847075,0.11969342594739549,-0.006245400381075267,0.006245400381075277,2478.0,0.9745741842807305,0.9504092537373171,,,,,,
debug_double255_emulation:fas_thres_raw,2,binary,0.22879890718095028,0.2280050003528475,-0.0007939068281027917,0.004135876523545008,1641.0,0.9909460570381855,0.9820545907878045,,,,,,
debug_double255_emulation:fas_thres,2,binary,0.22879890718095028,0.2280050003528475,-0.0007939068281027917,0.004135876523545008,1641.0,0.9909460570381855,0.9820545907878045,,,,,,
debug_double255_emulation:Emask,2,binary,0.3239341485790328,0.319916727994919,-0.004017420584113807,0.008886715796477575,3526.0,0.9861975558008628,0.972770939194094,,,,,,
debug_double255_emulation:fascicle_masked,2,binary,0.06345205810893914,0.06322018690835039,-0.00023187120058874855,0.002646356093675965,1050.0,0.979108635097493,0.9590723055934516,,,,,,
debug_double255_emulation:super_vec,2,numeric,,,,,,,,px,10.0,3.9,9.1,19.83179265724609,57.0
debug_double255_emulation:deep_vec,2,numeric,,,,,,,,px,10.0,1.2,1.2,2.569046515733026,7.0
debug_double255_emulation:alpha,2,numeric,,,,,,,,deg,1.0,1.5,1.5,1.5,1.5
source_uint8_exact:apo_thres,100,binary,0.8928250985452603,0.2863206073009184,-0.6065044912443418,0.6065044912443418,240644.0,0.48564075818848695,0.3206905896434136,,,,,,
source_uint8_exact:apo_super,100,binary,0.1098641033137419,0.035103283497827466,-0.07476081981591443,0.07476081981591443,29663.0,0.48429214694274936,0.3195154963180473,,,,,,
source_uint8_exact:apo_deep,100,binary,0.11836772756142067,0.04238706360327846,-0.07598066395814221,0.07598066395814221,30147.0,0.5273505479516486,0.358096454806771,,,,,,
source_uint8_exact:fas_thres_raw,100,binary,0.19862288669563377,0.19777605274565746,-0.0008468339499763111,0.0048743358906374445,1934.0,0.9877034587995931,0.9757056540253998,,,,,,
source_uint8_exact:fas_thres,100,binary,0.19862288669563377,0.19777605274565746,-0.0008468339499763111,0.0048743358906374445,1934.0,0.9877034587995931,0.9757056540253998,,,,,,
source_uint8_exact:Emask,100,binary,0.339257810530985,0.3716290464044842,0.03237123587349916,0.03427661226094583,13600.0,0.9517833085159186,0.9080024352296557,,,,,,
source_uint8_exact:fascicle_masked,100,binary,0.06237587329751091,0.06465173953807224,0.002275866240561329,0.004493764680975472,1783.0,0.9646237177833773,0.9316648781235628,,,,,,
source_uint8_exact:super_vec,100,numeric,,,,,,,,px,10.0,-19.0,21.2,21.82658928921328,28.0
source_uint8_exact:deep_vec,100,numeric,,,,,,,,px,10.0,4.0,6.8,7.758865896508329,14.0
source_uint8_exact:alpha,100,numeric,,,,,,,,deg,1.0,-11.5,11.5,11.5,11.5
debug_double255_emulation:apo_thres,100,binary,0.8928250985452603,0.8287681590434809,-0.06405693950177938,0.06405693950177936,25416.0,0.9627920594952275,0.9282536528082022,,,,,,
debug_double255_emulation:apo_super,100,binary,0.1098641033137419,0.10246690794713337,-0.0073971953666085305,0.0073971953666085305,2935.0,0.9651619642242454,0.932669587758941,,,,,,
debug_double255_emulation:apo_deep,100,binary,0.11836772756142067,0.11141411188289496,-0.006953615678525704,0.0069536156785257024,2759.0,0.9697381842910575,0.9412541254125413,,,,,,
debug_double255_emulation:fas_thres_raw,100,binary,0.19862288669563377,0.19777605274565746,-0.0008468339499763111,0.0048743358906374445,1934.0,0.9877034587995931,0.9757056540253998,,,,,,
debug_double255_emulation:fas_thres,100,binary,0.19862288669563377,0.19777605274565746,-0.0008468339499763111,0.0048743358906374445,1934.0,0.9877034587995931,0.9757056540253998,,,,,,
debug_double255_emulation:Emask,100,binary,0.339257810530985,0.361870293266662,0.022612482735676953,0.028434466141764037,11282.0,0.9594446920787382,0.9220506442809272,,,,,,
