stage,frame0,kind,unit,n,bias_py_minus_mat,mae,rmse,max_abs
same_mask_alpha,0,numeric,deg,1,0.0,0.0,0.0,0.0
same_mask_alphas,0,numeric,deg,10,0.0,0.0,0.0,0.0
same_mask_weights,0,numeric,votes,10,0.0,0.0,0.0,0.0
same_mask_h_by_angle,0,numeric,votes,111,0.0,0.0,0.0,0.0
same_mask_X,0,numeric,px,20,0.0,0.0,0.0,0.0
same_mask_Y,0,numeric,px,20,0.0,0.0,0.0,0.0
same_mask_alpha,1,numeric,deg,1,0.0,0.0,0.0,0.0
same_mask_alphas,1,numeric,deg,10,0.0,0.0,0.0,0.0
same_mask_weights,1,numeric,votes,10,0.0,0.0,0.0,0.0
same_mask_h_by_angle,1,numeric,votes,111,0.0,0.0,0.0,0.0
same_mask_X,1,numeric,px,20,0.0,0.0,0.0,0.0
same_mask_Y,1,numeric,px,20,0.0,0.0,0.0,0.0
same_mask_alpha,2,numeric,deg,1,0.0,0.0,0.0,0.0
same_mask_alphas,2,numeric,deg,10,0.0,0.0,0.0,0.0
same_mask_weights,2,numeric,votes,10,0.0,0.0,0.0,0.0
same_mask_h_by_angle,2,numeric,votes,111,0.0,0.0,0.0,0.0
same_mask_X,2,numeric,px,20,0.0,0.0,0.0,0.0
same_mask_Y,2,numeric,px,20,0.0,0.0,0.0,0.0
same_mask_alpha,100,numeric,deg,1,0.0,0.0,0.0,0.0
same_mask_alphas,100,numeric,deg,10,0.0,0.0,0.0,0.0
same_mask_weights,100,numeric,votes,10,0.0,0.0,0.0,0.0
same_mask_h_by_angle,100,numeric,votes,111,0.0,0.0,0.0,0.0
same_mask_X,100,numeric,px,20,0.0,0.0,0.0,0.0
same_mask_Y,100,numeric,px,20,0.0,0.0,0.0,0.0
same_mask_alpha,250,numeric,deg,1,0.0,0.0,0.0,0.0
same_mask_alphas,250,numeric,deg,10,0.0,0.0,0.0,0.0
same_mask_weights,250,numeric,votes,10,0.0,0.0,0.0,0.0
same_mask_h_by_angle,250,numeric,votes,111,0.0,0.0,0.0,0.0
