frame0,rank,matlab_alpha,python_alpha,matlab_weight,python_weight,matlab_x1,python_x1,matlab_y1,python_y1
0,1,19.0,19.0,371.0,371.0,130.0,130.0,250.0,250.0
0,2,21.0,21.0,346.0,346.0,227.0,227.0,275.0,275.0
0,3,25.5,25.5,291.0,291.0,320.0,320.0,295.0,295.0
0,4,19.0,19.0,290.0,290.0,21.0,21.0,208.0,208.0
0,5,21.0,21.0,280.0,280.0,50.0,50.0,239.0,239.0
0,6,23.0,23.0,275.0,275.0,313.0,313.0,295.0,295.0
0,7,19.5,19.5,269.0,269.0,212.0,212.0,272.0,272.0
0,8,10.5,10.5,269.0,269.0,21.0,21.0,204.0,204.0
0,9,20.5,20.5,268.0,268.0,318.0,318.0,288.0,288.0
0,10,8.5,8.5,268.0,268.0,54.0,54.0,191.0,191.0
1,1,19.0,19.0,367.0,367.0,130.0,130.0,250.0,250.0
1,2,21.0,21.0,349.0,349.0,227.0,227.0,275.0,275.0
1,3,19.0,19.0,293.0,293.0,21.0,21.0,208.0,208.0
1,4,25.5,25.5,291.0,291.0,320.0,320.0,295.0,295.0
1,5,21.0,21.0,281.0,281.0,50.0,50.0,239.0,239.0
1,6,22.0,22.0,275.0,275.0,311.0,311.0,295.0,295.0
1,7,10.5,10.5,270.0,270.0,21.0,21.0,204.0,204.0
1,8,20.5,20.5,267.0,267.0,318.0,318.0,288.0,288.0
1,9,19.5,19.5,267.0,267.0,196.0,196.0,278.0,278.0
1,10,18.5,18.5,267.0,267.0,54.0,54.0,231.0,231.0
2,1,19.0,19.0,367.0,367.0,130.0,130.0,250.0,250.0
2,2,21.0,21.0,349.0,349.0,227.0,227.0,275.0,275.0
2,3,19.0,19.0,294.0,294.0,21.0,21.0,208.0,208.0
2,4,25.5,25.5,293.0,293.0,320.0,320.0,295.0,295.0
2,5,21.0,21.0,280.0,280.0,50.0,50.0,239.0,239.0
2,6,22.0,22.0,275.0,275.0,311.0,311.0,295.0,295.0
2,7,10.5,10.5,269.0,269.0,21.0,21.0,204.0,204.0
2,8,18.5,18.5,268.0,268.0,54.0,54.0,231.0,231.0
2,9,19.5,19.5,266.0,266.0,197.0,197.0,278.0,278.0
2,10,8.5,8.5,264.0,264.0,54.0,54.0,191.0,191.0
100,1,17.5,17.5,287.0,287.0,90.0,90.0,257.0,257.0
100,2,32.0,32.0,283.0,283.0,109.0,109.0,274.0,274.0
