stage,frame0,kind,matlab_density,python_density,density_diff_py_minus_mat,diff_fraction,different_pixels,dice,jaccard
apo_source_uint8_exact,0,binary,0.9316181585394131,0.3010041031121148,-0.6306140554272983,0.6306140554272983,250210,0.4883963440816243,0.3230981495509144
apo_debug_double255_exact,0,binary,0.9316181585394131,0.88765840331475,-0.04395975522466311,0.04395975522466303,17442,0.9758366835772015,0.9528135483172817
fas_float_exact,0,binary,0.22793191051787928,0.22702710876775578,-0.0009048017501235017,0.0016205780649844242,643,0.9964379691438384,0.9929012243455989
apo_source_uint8_exact,1,binary,0.9334025586482917,0.3011553234603248,-0.6322472351879669,0.6322472351879669,250858,0.48787558335612996,0.3226424876062514
apo_debug_double255_exact,1,binary,0.9334025586482917,0.8902190678777736,-0.043183490770518085,0.04318349077051808,17134,0.9763199283544465,0.9537354056184993
fas_float_exact,1,binary,0.22809321222263668,0.22715564606373434,-0.0009375661589023365,0.0017037492564999546,676,0.9962575430437912,0.9925429936130078
apo_source_uint8_exact,2,binary,0.9320340144969907,0.30135695059127154,-0.6306770639057192,0.6306770639057192,250235,0.4886641123882503,0.3233325671637755
apo_debug_double255_exact,2,binary,0.9320340144969907,0.8881196253767907,-0.04391438912020007,0.043914389120200015,17424,0.9758732514892285,0.9528832763213044
fas_float_exact,2,binary,0.22879890718095028,0.22783865796981642,-0.0009602492111338568,0.0017113102739104574,679,0.9962523664181123,0.9925327174749807
apo_source_uint8_exact,100,binary,0.8928250985452603,0.2863206073009184,-0.6065044912443418,0.6065044912443418,240644,0.48564075818848695,0.3206905896434136
apo_debug_double255_exact,100,binary,0.8928250985452603,0.8287681590434809,-0.06405693950177938,0.06405693950177936,25416,0.9627920594952275,0.9282536528082022
fas_float_exact,100,binary,0.19862288669563377,0.19742068492736384,-0.0012022017682699337,0.002049035718246247,813,0.9948262366439904,0.9897057333873582
apo_source_uint8_exact,250,binary,0.9260129242990937,0.30312622866532923,-0.6228866956337644,0.6228866956337645,247144,0.49323337871754075,0.32734557014392407
apo_debug_double255_exact,250,binary,0.9260129242990937,0.8835981369653101,-0.042414787333783566,0.042414787333783635,16829,0.9765613792700031,0.9541963333115596
fas_float_exact,250,binary,0.22818142409242587,0.22713296301150282,-0.0010484610809230466,0.0017944814654259878,712,0.9960588079000974,0.9921485598341494
apo_source_uint8_exact,500,binary,0.934083050215237,0.29849636567096466,-0.6355866845442724,0.6355866845442723,252183,0.48434423262918336,0.319560841621292
apo_debug_double255_exact,500,binary,0.934083050215237,0.8916052544030325,-0.042477795812204455,0.04247779581220449,16854,0.976733270567187,0.9545246048491979
fas_float_exact,500,binary,0.2195744659401369,0.2185864929984979,-0.0009879729416390204,0.0016029356910265845,636,0.9963416738567731,0.9927100168494893
apo_source_uint8_exact,750,binary,0.9154476626374844,0.29435040779087235,-0.621097254846612,0.6210972548466122,246434,0.48661080718479044,0.3215371230975927
apo_debug_double255_exact,750,binary,0.9154476626374844,0.8627146068775015,-0.052733055759982994,0.052733055759983063,20923,0.9703440700187803,0.9423964275488403
fas_float_exact,750,binary,0.20900416360025406,0.20803131269343603,-0.0009728509068180347,0.001915457743994032,760,0.9954069669059878,0.9908559328151695
apo_source_uint8_exact,1000,binary,0.8759942737894811,0.29343048400592786,-0.5825637897835533,0.5825637897835533,231145,0.5018373042812961,0.33496849555485225
apo_debug_double255_exact,1000,binary,0.8759942737894811,0.8178122448156624,-0.058182028973818745,0.05818202897381872,23085,0.9656501328016308,0.933581724544696
fas_float_exact,1000,binary,0.20912513987882209,0.20791033641486797,-0.0012148034639541117,0.002117084874940772,840,0.9949234897381971,0.9898982610577963
apo_source_uint8_exact,1250,binary,0.8629439577389534,0.2864592259534443,-0.5764847317855091,0.5764847317855091,228733,0.49844863841982584,0.33195576999462606
apo_debug_double255_exact,1250,binary,0.8629439577389534,0.7968556248928856,-0.06608833284606774,0.06608833284606777,26222,0.9601829440508259,0.923415266711839
fas_float_exact,1250,binary,0.2027310394886736,0.20132469025032007,-0.0014063492383535325,0.002434647606181888,966,0.9939744757294876,0.9880211304283127
apo_source_uint8_exact,1500,binary,0.8435549887592875,0.28273920538747693,-0.5608157833718106,0.5608157833718105,222516,0.5020698976463586,0.33517578480963495
apo_debug_double255_exact,1500,binary,0.8435549887592875,0.7715085741937435,-0.07204641456554395,0.07204641456554393,28586,0.9553909727033826,0.9145919169163935
fas_float_exact,1500,binary,0.19224894901857995,0.1908325184236791,-0.001416430594900847,0.002646356093675965,1050,0.9930919234716703,0.9862786351815794
apo_source_uint8_exact,1750,binary,0.849598762009416,0.27729527285191496,-0.572303489157501,0.5723034891575011,227074,0.4921408123098944,0.326383800508459
apo_debug_double255_exact,1750,binary,0.849598762009416,0.7670727773129152,-0.08252598469650074,0.08252598469650076,32744,0.9489531530127056,0.9028647540618873
fas_float_exact,1750,binary,0.18693607411813334,0.18545159436653796,-0.00148447975159538,0.0030420493381589425,1207,0.9918309611310768,0.9837943071965628
apo_source_uint8_exact,2000,binary,0.8479580212313369,0.27079531821801944,-0.5771627030133175,0.5771627030133175,229002,0.4841019171416342,0.3193499105354202
apo_debug_double255_exact,2000,binary,0.8479580212313369,0.7697266944240017,-0.07823132680733524,0.07823132680733519,31040,0.9516399419180746,0.9077415097816589
fas_float_exact,2000,binary,0.1808998618854153,0.17963717197786133,-0.00126268990755396,0.0025228594759710865,1001,0.9930024956134526,0.9861022408574681
apo_source_uint8_exact,2250,binary,0.8601136168882885,0.27591160666579295,-0.5842020102224955,0.5842020102224955,231795,0.48574908539899675,0.3207850698422652
apo_debug_double255_exact,2250,binary,0.8601136168882885,0.7813101730968919,-0.07880344379139659,0.07880344379139657,31267,0.9519907995289212,0.9083801927511729
fas_float_exact,2250,binary,0.1861749316988094,0.18478874517355054,-0.0013861865252588479,0.002737088302601998,1086,0.9926216811153084,0.9853514439483658
apo_source_uint8_exact,2500,binary,0.8681887834827055,0.2799769136935066,-0.5882118697891989,0.5882118697891988,233386,0.487694266397401,0.32248391020486367
apo_debug_double255_exact,2500,binary,0.8681887834827055,0.7931809704313812,-0.0750078130513242,0.07500781305132419,29761,0.9548518246015913,0.9136042592597968
fas_float_exact,2500,binary,0.18725363684937446,0.18556248928855867,-0.0016911475608157867,0.0030672527295272853,1217,0.9917727466316936,0.9836797639801529
apo_source_uint8_exact,2665,binary,0.9054393959251157,0.30349167784017017,-0.6019477180849455,0.6019477180849455,238836,0.5020826818437676,0.3351871800653022
apo_debug_double255_exact,2665,binary,0.9054393959251157,0.8558088776425756,-0.04963051828254006,0.0496305182825401,19692,0.9718208278597739,0.9451862614925971
fas_float_exact,2665,binary,0.22917443771233859,0.2279923986571633,-0.0011820390551752769,0.0019028560483098605,755,0.995837720724843,0.991709946965621
