comparison,unit,n,bias,mae,rmse,max_abs,pearson_r,lins_ccc
raw_klt_x_superficial,px,2666,15.968457995277268,15.968457995277268,16.103269672502627,21.808938822433902,0.985873329138136,0.5373695741772355
raw_klt_y_superficial,px,2666,2.191043597412589,2.191362373781074,2.603738302389727,5.729786849792291,0.8801774513906253,0.6288757062846874
raw_klt_x_deep,px,2666,-9.48493001713626,9.553325286286622,10.315669382473866,25.700190973871187,0.9993244609017224,0.9955474625241754
raw_klt_y_deep,px,2666,-3.863349395633786,3.8635660589677725,4.454967280830106,9.250336720533028,0.8938332928857021,0.6588383866416672
raw_klt_angle,deg,2666,-1.4887613658052181,1.4887613658052181,1.597109110543861,3.513461738764363,0.9978808456763492,0.9423747644835411
raw_klt_segment_length,px,2666,20.386411347856015,20.386970463943722,21.14650137536512,38.867866535943335,0.9988527437081308,0.9813130120419667
forward_state_x,px,2666,18.676629607698086,18.676629607698086,18.750014522766683,24.709144377014923,0.9830287939178071,0.27332988574314904
forward_state_alpha,deg,2666,1.0068736279021553,1.082945422584893,1.2179685734883832,2.6619055230267215,0.9944351327319704,0.968930532159115
smoothed_state_x,px,2666,18.477752409019388,18.477752409019388,18.522363731528074,23.105582038562602,0.9870374344771745,0.24719000895990284
smoothed_state_alpha,deg,2666,1.0340207411810562,1.0738468399503303,1.1661094152876408,2.241169388007428,0.997300331569567,0.9711518432061498
