stage,unit,n,bias,rmse,demeaned_rmse,first_frame_delta,median_delta,std_delta
seed_x_sup_vs_matlab_raw_frame0,px,1,18.600376227137986,18.600376227137986,0.0,18.600376227137986,18.600376227137986,0.0
seed_angle_vs_matlab_raw_frame0,deg,1,-0.9204886372033627,0.9204886372033627,0.0,-0.9204886372033627,-0.9204886372033627,0.0
raw_klt_x_sup_vs_matlab_raw,px,2666,15.968457995277268,16.103269672502627,2.0793372498006035,18.58172607421875,15.998030145660891,2.0793372498006035
raw_klt_angle_vs_matlab_raw,deg,2666,-1.4887613658052181,1.597109110543861,0.5782275561299243,-0.9210669493308501,-1.4483574764411316,0.5782275561299243
selected_timtrack_alpha_vs_matlab_forward_alpha,deg,2666,1.2044070886187375,1.811884802410933,1.3536358823895898,2.4795113627966288,1.1060355246252733,1.3536358823895898
raw_timtrack_alpha_vs_matlab_forward_alpha,deg,2666,1.1618339453329158,1.9061034056348196,1.5110830805898163,2.4795113627966288,1.1028143922960947,1.5110830805898163
predicted_segment_angle_vs_matlab_forward_alpha,deg,2666,1.006579741422815,1.2188093808610052,0.6872361537579099,-0.9210667122793694,1.0263152615636262,0.6872361537579099
forward_state_x_vs_matlab_forward_x,px,2666,18.676629607698086,18.750014522766683,1.657272186702196,18.58172607493259,18.938310694985717,1.657272186702196
forward_state_alpha_vs_matlab_forward_alpha,deg,2666,1.0068736279021553,1.2179685734883832,0.6853122962857727,-0.9210667122793694,1.022242751511122,0.6853122962857727
smoothed_state_alpha_vs_matlab_final_alpha,deg,2666,1.0340207411810562,1.1661094152876408,0.539084664250304,-0.9210667122793552,1.052802174835465,0.539084664250304
