run,method,variable,unit,python_offset,n,bias,mae,rmse,max_abs,pearson_r,lins_ccc
previous,normal,FL_mm,mm,1,2666,-1.793345385870895,1.9120032954237862,1.9953959084098687,3.2767624674683304,0.9958229356715492,0.9781586860058824
previous,normal,ANG_deg,deg,1,2666,1.0340207411810447,1.0738468399503196,1.1661094152876308,2.241169388007414,0.9973003315695673,0.9711518432061506
previous,normal,PEN_deg,deg,1,2666,0.965913574647629,1.0083600049219552,1.0945904788804743,2.1583151509598366,0.9965467572150188,0.9711182293948811
previous,adaptive,FL_mm,mm,1,2666,-1.884983269493204,1.9975893985745667,2.0802961517772154,3.3475725360661244,0.9957729574113564,0.9763043752732844
previous,adaptive,ANG_deg,deg,1,2666,1.0893324875927735,1.1267254287246486,1.2219686233418752,2.328188504894591,0.9972912373566988,0.9685211802727038
previous,adaptive,PEN_deg,deg,1,2666,1.0212253210593576,1.0612296615766692,1.1495272685958287,2.2453342678470136,0.9965365821444201,0.9683528097585049
updated,normal,FL_mm,mm,1,2666,-1.808791611010859,1.9281208748226457,2.0116571332303375,3.322294361109819,0.9957499403351492,0.977783373616695
updated,normal,ANG_deg,deg,1,2666,1.034019233377449,1.0738455265339377,1.1661089520096855,2.2411912373423704,0.9973002906714802,0.971151865386758
updated,normal,PEN_deg,deg,1,2666,0.9659120668440333,1.0083586559882662,1.094590007163528,2.158337000294793,0.9965467157165432,0.9711182540462999
updated,adaptive,FL_mm,mm,1,2666,-1.8995787539100222,2.013007791263576,2.0957119992140014,3.4125949417420642,0.9957041245271849,0.975935383987148
updated,adaptive,ANG_deg,deg,1,2666,1.0893326297589956,1.126725972302382,1.2219702780029094,2.3282050246357002,0.9972912077292491,0.968521113205793
updated,adaptive,PEN_deg,deg,1,2666,1.0212254632255802,1.0612302059966048,1.1495288085020579,2.245350787588123,0.9965365544515451,0.9683527447643264
