variant,variable,bias,mae,rmse
baseline_autonomous_seed,FL,-1.8087915923008904,1.9281209078385453,2.011657775257766
baseline_autonomous_seed,ANG,1.0340186865445895,1.0738449714041192,1.1661081870180685
baseline_autonomous_seed,PEN,0.9659115200111739,1.0083581000485766,1.09458941970611
matlab_angle_nearest_frame0_candidate,FL,-2.0137332070895577,2.013746635813166,2.089472572609998
matlab_angle_nearest_frame0_candidate,ANG,1.1279134631376053,1.1288844410562786,1.2215569402961897
matlab_angle_nearest_frame0_candidate,PEN,1.0598062966041895,1.0613058209878774,1.1480369005747009
oracle_matlab_raw_seed,FL,-2.019532703928461,2.019548658928027,2.0943323314162616
oracle_matlab_raw_seed,ANG,1.1299054901734564,1.1302771698735934,1.2233335818792646
oracle_matlab_raw_seed,PEN,1.0617983236400406,1.0627110515165745,1.1498135764030046
left_shift_match_matlab_xsup,FL,-1.824106252299413,1.9434619030478562,2.0272980336470177
left_shift_match_matlab_xsup,ANG,1.0340189974815452,1.073845180948605,1.1661084088976896
left_shift_match_matlab_xsup,PEN,0.9659118309481295,1.0083583373574945,1.094589267938697
right_shift_same_magnitude,FL,-1.793474255492622,1.9127893284316653,1.9963509166780644
right_shift_same_magnitude,ANG,1.0340197962065194,1.0738462857067492,1.1661093066930193
right_shift_same_magnitude,PEN,0.9659126296731034,1.0083594250005474,1.0945904283828003
right_shift_plus_60px,FL,-1.7593719064404372,1.8786862960075084,1.9635247272156382
right_shift_plus_60px,ANG,1.0340163801981233,1.0738439679426754,1.1661076045805676
right_shift_plus_60px,PEN,0.9659092136647076,1.0083571110305165,1.0945889032618985
