dx_seed_px,variable,bias,mae,rmse
-30,FL,-1.8334903561857865,1.9528687189704983,2.0370475886386985
-30,ANG,1.0340175737586583,1.073844437630235,1.1661078286828896
-30,PEN,0.9659104072252427,1.0083575594139604,1.0945889566022582
-20,FL,-1.8252598649131804,1.9446183729474071,2.02848872376236
-20,ANG,1.0340188623457653,1.0738451505753628,1.1661071999120436
-20,PEN,0.9659116958123497,1.008358317743465,1.094588129809082
-10,FL,-1.817023968863577,1.9363639241254322,2.020022645249747
-10,ANG,1.0340178306824876,1.0738440064801882,1.166106277540137
-10,PEN,0.9659106641490719,1.008357186741539,1.0945872372020111
0,FL,-1.8087915923008904,1.9281209078385453,2.011657775257766
0,ANG,1.0340186865445895,1.0738449714041192,1.1661081870180685
0,PEN,0.9659115200111739,1.0083581000485766,1.09458941970611
10,FL,-1.8005531787829707,1.91987531402353,2.003382736817669
10,ANG,1.03401801649956,1.0738446319783541,1.1661087923081246
10,PEN,0.9659108499661442,1.008357801459656,1.0945898661210194
20,FL,-1.7923209703461054,1.9116318090466555,1.995208565644163
20,ANG,1.0340190730920706,1.0738444156766402,1.166107685854961
20,PEN,0.9659119065586548,1.0083575830172065,1.0945886697514604
30,FL,-1.784083384822808,1.903392122975284,1.9871376906352631
30,ANG,1.0340178127577635,1.0738443530695803,1.166108052106065
30,PEN,0.9659106462243477,1.0083574969339089,1.0945892396995598
40,FL,-1.775851201771103,1.8951560241714422,1.9791643170300053
40,ANG,1.034019492754294,1.0738452425652143,1.1661081165876206
40,PEN,0.9659123262208783,1.0083584589705763,1.0945893717152777
50,FL,-1.7676118457058518,1.8869198641440799,1.9712920148007214
50,ANG,1.0340174590746716,1.0738439112442308,1.1661065239829045
50,PEN,0.9659102925412556,1.0083570794286638,1.0945875613303073
60,FL,-1.7593719064404372,1.8786862960075084,1.9635247272156382
60,ANG,1.0340163801981233,1.0738439679426754,1.1661076045805676
60,PEN,0.9659092136647076,1.0083571110305165,1.0945889032618985
70,FL,-1.7511384332887292,1.8704530691085792,1.9558615994360546
70,ANG,1.0340180116979265,1.0738445992874162,1.1661076592251467
70,PEN,0.965910845164511,1.0083577163016726,1.0945883240934233
80,FL,-1.7429009189278826,1.8622175241299896,1.948302903823098
80,ANG,1.0340184666006365,1.073844608497541,1.166108533976238
80,PEN,0.965911300067221,1.0083577409962698,1.0945894764674022
90,FL,-1.7346667113533218,1.8539984002810415,1.9408546794394785
90,ANG,1.0340188292920403,1.073844719283932,1.1661072978784803
90,PEN,0.9659116627586245,1.008357856804391,1.0945883603340862
100,FL,-1.7264308703381994,1.8457853875125434,1.9335134075207008
100,ANG,1.0340197204281492,1.0738461687998917,1.1661079030262023
100,PEN,0.9659125538947334,1.0083593153867605,1.0945888971632938
110,FL,-1.7181937715654627,1.8375940855095834,1.9262814376646864
110,ANG,1.034020320317216,1.0738465807550144,1.1661082469247956
110,PEN,0.9659131537838004,1.008359728508372,1.0945892001257698
120,FL,-1.7099532290724047,1.8294317988569866,1.919158190166375
120,ANG,1.034018761687017,1.073844824678839,1.1661070062309602
120,PEN,0.9659115951536011,1.0083579783368701,1.094588279698153
