aligned_frame,python_frame,matlab_alpha_deg,python_raw_alpha_deg,python_selected_alpha_deg,selected_minus_raw_deg,selected_minus_matlab_deg,raw_minus_matlab_deg,changed_from_raw
0,1,18.5,21.0,21.0,0.0,2.5,2.5,False
1,2,19.0,21.0,21.0,0.0,2.0,2.0,False
2,3,18.5,21.0,21.0,0.0,2.5,2.5,False
3,4,19.0,21.0,21.0,0.0,2.0,2.0,False
4,5,19.0,20.5,20.5,0.0,1.5,1.5,False
5,6,19.0,20.5,20.5,0.0,1.5,1.5,False
6,7,19.0,20.5,20.5,0.0,1.5,1.5,False
7,8,19.0,20.5,20.5,0.0,1.5,1.5,False
8,9,19.0,20.5,20.5,0.0,1.5,1.5,False
9,10,19.0,20.5,20.5,0.0,1.5,1.5,False
10,11,19.0,20.5,20.5,0.0,1.5,1.5,False
11,12,19.0,20.5,20.5,0.0,1.5,1.5,False
12,13,19.0,20.5,20.5,0.0,1.5,1.5,False
13,14,19.0,20.5,20.5,0.0,1.5,1.5,False
14,15,19.0,21.0,21.0,0.0,2.0,2.0,False
15,16,19.0,21.0,21.0,0.0,2.0,2.0,False
16,17,19.0,20.5,20.5,0.0,1.5,1.5,False
17,18,19.0,20.5,20.5,0.0,1.5,1.5,False
18,19,19.5,20.5,20.5,0.0,1.0,1.0,False
19,20,19.0,20.5,20.5,0.0,1.5,1.5,False
20,21,19.0,20.5,20.5,0.0,1.5,1.5,False
21,22,19.0,20.5,20.5,0.0,1.5,1.5,False
22,23,19.0,21.0,21.0,0.0,2.0,2.0,False
23,24,19.0,20.5,20.5,0.0,1.5,1.5,False
24,25,19.0,21.0,21.0,0.0,2.0,2.0,False
25,26,19.0,20.5,20.5,0.0,1.5,1.5,False
26,27,19.0,21.0,21.0,0.0,2.0,2.0,False
27,28,19.0,20.5,20.5,0.0,1.5,1.5,False
28,29,19.0,20.5,20.5,0.0,1.5,1.5,False
29,30,19.0,20.5,20.5,0.0,1.5,1.5,False
30,31,19.0,20.5,20.5,0.0,1.5,1.5,False
31,32,19.0,19.5,19.5,0.0,0.5,0.5,False
32,33,19.0,21.0,21.0,0.0,2.0,2.0,False
33,34,19.0,20.5,20.5,0.0,1.5,1.5,False
34,35,19.0,20.5,20.5,0.0,1.5,1.5,False
35,36,19.0,20.5,20.5,0.0,1.5,1.5,False
36,37,19.0,20.5,20.5,0.0,1.5,1.5,False
37,38,19.0,20.5,20.5,0.0,1.5,1.5,False
38,39,19.0,21.0,21.0,0.0,2.0,2.0,False
39,40,20.0,21.0,21.0,0.0,1.0,1.0,False
40,41,19.5,21.5,21.5,0.0,2.0,2.0,False
41,42,20.5,21.0,21.0,0.0,0.5,0.5,False
42,43,20.5,21.5,21.5,0.0,1.0,1.0,False
43,44,20.5,21.5,21.5,0.0,1.0,1.0,False
44,45,20.0,22.0,22.0,0.0,2.0,2.0,False
45,46,21.5,23.0,23.0,0.0,1.5,1.5,False
46,47,22.5,23.0,23.0,0.0,0.5,0.5,False
47,48,22.5,22.5,22.5,0.0,0.0,0.0,False
48,49,22.5,23.0,23.0,0.0,0.5,0.5,False
49,50,22.5,23.0,23.0,0.0,0.5,0.5,False
50,51,22.5,24.0,24.0,0.0,1.5,1.5,False
51,52,23.5,23.5,23.5,0.0,0.0,0.0,False
52,53,21.0,23.5,23.5,0.0,2.5,2.5,False
53,54,23.0,23.0,23.0,0.0,0.0,0.0,False
54,55,23.5,22.5,22.5,0.0,-1.0,-1.0,False
55,56,20.0,23.5,23.5,0.0,3.5,3.5,False
56,57,21.5,24.5,24.5,0.0,3.0,3.0,False
57,58,24.0,24.5,24.5,0.0,0.5,0.5,False
58,59,23.5,21.5,21.5,0.0,-2.0,-2.0,False
59,60,21.5,21.5,21.5,0.0,0.0,0.0,False
60,61,21.0,24.0,24.0,0.0,3.0,3.0,False
61,62,17.0,24.0,24.0,0.0,7.0,7.0,False
62,63,17.0,24.0,24.0,0.0,7.0,7.0,False
63,64,17.0,24.5,24.5,0.0,7.5,7.5,False
64,65,15.0,22.0,22.0,0.0,7.0,7.0,False
65,66,24.5,24.0,24.0,0.0,-0.5,-0.5,False
66,67,21.5,23.5,23.5,0.0,2.0,2.0,False
67,68,16.0,21.5,21.5,0.0,5.5,5.5,False
68,69,21.5,15.5,15.5,0.0,-6.0,-6.0,False
69,70,19.5,25.0,14.5,-10.5,-5.0,5.5,True
70,71,21.5,21.5,21.5,0.0,0.0,0.0,False
71,72,12.5,26.5,26.5,0.0,14.0,14.0,False
72,73,14.5,26.5,26.5,0.0,12.0,12.0,False
73,74,25.0,27.0,27.0,0.0,2.0,2.0,False
74,75,25.0,27.0,27.0,0.0,2.0,2.0,False
75,76,14.0,26.5,26.5,0.0,12.5,12.5,False
76,77,23.0,27.5,27.5,0.0,4.5,4.5,False
77,78,25.0,27.0,27.0,0.0,2.0,2.0,False
78,79,25.0,26.0,26.0,0.0,1.0,1.0,False
79,80,25.0,26.0,26.0,0.0,1.0,1.0,False
80,81,25.0,27.0,27.0,0.0,2.0,2.0,False
81,82,23.5,27.5,27.5,0.0,4.0,4.0,False
82,83,25.5,27.5,27.5,0.0,2.0,2.0,False
83,84,18.5,27.5,27.5,0.0,9.0,9.0,False
84,85,25.0,27.5,27.5,0.0,2.5,2.5,False
85,86,25.0,27.0,27.0,0.0,2.0,2.0,False
86,87,25.0,27.5,27.5,0.0,2.5,2.5,False
87,88,25.5,27.5,27.5,0.0,2.0,2.0,False
88,89,25.5,27.5,27.5,0.0,2.0,2.0,False
89,90,25.5,27.5,27.5,0.0,2.0,2.0,False
90,91,23.5,27.0,27.0,0.0,3.5,3.5,False
91,92,26.5,28.0,28.0,0.0,1.5,1.5,False
92,93,25.0,28.5,28.5,0.0,3.5,3.5,False
93,94,16.5,27.0,27.0,0.0,10.5,10.5,False
94,95,17.5,27.5,27.5,0.0,10.0,10.0,False
95,96,17.5,29.0,29.0,0.0,11.5,11.5,False
96,97,16.0,28.5,28.5,0.0,12.5,12.5,False
97,98,28.0,30.0,30.0,0.0,2.0,2.0,False
98,99,29.5,29.5,29.5,0.0,0.0,0.0,False
99,100,22.0,30.5,30.5,0.0,8.5,8.5,False
100,101,30.5,30.0,30.0,0.0,-0.5,-0.5,False
101,102,23.0,30.0,30.0,0.0,7.0,7.0,False
102,103,23.0,28.0,28.0,0.0,5.0,5.0,False
103,104,19.5,30.5,30.5,0.0,11.0,11.0,False
104,105,19.0,29.5,29.5,0.0,10.5,10.5,False
105,106,29.5,30.5,30.5,0.0,1.0,1.0,False
106,107,30.5,30.5,30.5,0.0,0.0,0.0,False
107,108,30.5,23.5,23.5,0.0,-7.0,-7.0,False
108,109,19.0,31.5,31.5,0.0,12.5,12.5,False
109,110,31.5,31.0,31.0,0.0,-0.5,-0.5,False
110,111,31.0,31.5,31.5,0.0,0.5,0.5,False
111,112,31.5,32.0,32.0,0.0,0.5,0.5,False
112,113,31.0,32.0,32.0,0.0,1.0,1.0,False
113,114,19.5,32.0,32.0,0.0,12.5,12.5,False
114,115,19.5,32.0,32.0,0.0,12.5,12.5,False
115,116,32.0,32.5,32.5,0.0,0.5,0.5,False
116,117,32.0,32.5,32.5,0.0,0.5,0.5,False
117,118,32.0,32.0,32.0,0.0,0.0,0.0,False
118,119,19.5,32.5,32.5,0.0,13.0,13.0,False
119,120,19.0,24.0,32.5,8.5,13.5,5.0,True
120,121,18.0,24.0,32.5,8.5,14.5,6.0,True
121,122,32.0,32.5,32.5,0.0,0.5,0.5,False
122,123,32.0,33.0,33.0,0.0,1.0,1.0,False
123,124,32.0,32.0,32.0,0.0,0.0,0.0,False
124,125,31.5,33.0,33.0,0.0,1.5,1.5,False
125,126,31.5,32.5,32.5,0.0,1.0,1.0,False
126,127,33.5,32.5,32.5,0.0,-1.0,-1.0,False
127,128,31.5,32.5,32.5,0.0,1.0,1.0,False
128,129,32.0,32.5,32.5,0.0,0.5,0.5,False
129,130,32.0,31.0,31.0,0.0,-1.0,-1.0,False
130,131,29.5,33.5,33.5,0.0,4.0,4.0,False
131,132,31.5,32.5,32.5,0.0,1.0,1.0,False
132,133,32.0,33.0,33.0,0.0,1.0,1.0,False
133,134,33.0,33.0,33.0,0.0,0.0,0.0,False
134,135,33.0,32.0,32.0,0.0,-1.0,-1.0,False
135,136,32.0,32.5,32.5,0.0,0.5,0.5,False
136,137,33.5,32.5,32.5,0.0,-1.0,-1.0,False
137,138,33.5,32.0,32.0,0.0,-1.5,-1.5,False
138,139,33.5,32.5,32.5,0.0,-1.0,-1.0,False
139,140,33.5,33.5,33.5,0.0,0.0,0.0,False
140,141,33.0,32.5,32.5,0.0,-0.5,-0.5,False
141,142,33.5,32.0,32.0,0.0,-1.5,-1.5,False
142,143,23.5,32.0,32.0,0.0,8.5,8.5,False
143,144,32.0,33.5,33.5,0.0,1.5,1.5,False
144,145,32.0,33.5,33.5,0.0,1.5,1.5,False
145,146,33.5,33.5,33.5,0.0,0.0,0.0,False
146,147,33.5,33.5,33.5,0.0,0.0,0.0,False
147,148,33.0,33.0,33.0,0.0,0.0,0.0,False
148,149,33.0,33.0,33.0,0.0,0.0,0.0,False
149,150,33.0,33.5,33.5,0.0,0.5,0.5,False
150,151,33.0,33.5,33.5,0.0,0.5,0.5,False
151,152,24.5,33.5,33.5,0.0,9.0,9.0,False
152,153,32.5,33.5,33.5,0.0,1.0,1.0,False
153,154,24.5,33.5,33.5,0.0,9.0,9.0,False
154,155,33.5,33.0,33.0,0.0,-0.5,-0.5,False
155,156,32.5,33.0,33.0,0.0,0.5,0.5,False
156,157,24.5,32.0,32.0,0.0,7.5,7.5,False
157,158,32.5,32.5,32.5,0.0,0.0,0.0,False
158,159,32.5,32.0,32.0,0.0,-0.5,-0.5,False
159,160,32.0,31.5,31.5,0.0,-0.5,-0.5,False
160,161,31.5,32.0,32.0,0.0,0.5,0.5,False
161,162,31.5,31.5,31.5,0.0,0.0,0.0,False
162,163,31.5,31.5,31.5,0.0,0.0,0.0,False
163,164,31.0,32.0,32.0,0.0,1.0,1.0,False
164,165,31.0,30.5,30.5,0.0,-0.5,-0.5,False
165,166,21.0,30.5,30.5,0.0,9.5,9.5,False
166,167,30.5,30.5,30.5,0.0,0.0,0.0,False
167,168,30.5,30.5,30.5,0.0,0.0,0.0,False
168,169,30.5,30.0,30.0,0.0,-0.5,-0.5,False
169,170,30.0,32.0,32.0,0.0,2.0,2.0,False
170,171,24.5,31.5,31.5,0.0,7.0,7.0,False
171,172,30.5,26.5,26.5,0.0,-4.0,-4.0,False
172,173,26.5,30.0,30.0,0.0,3.5,3.5,False
173,174,26.5,30.5,30.5,0.0,4.0,4.0,False
174,175,30.0,31.0,31.0,0.0,1.0,1.0,False
175,176,29.0,31.5,31.5,0.0,2.5,2.5,False
176,177,31.0,31.0,31.0,0.0,0.0,0.0,False
177,178,31.0,31.0,31.0,0.0,0.0,0.0,False
178,179,31.0,30.5,30.5,0.0,-0.5,-0.5,False
179,180,30.5,29.5,29.5,0.0,-1.0,-1.0,False
180,181,29.5,29.5,29.5,0.0,0.0,0.0,False
181,182,20.0,16.0,28.5,12.5,8.5,-4.0,True
182,183,18.5,26.5,26.5,0.0,8.0,8.0,False
183,184,30.0,27.0,27.0,0.0,-3.0,-3.0,False
184,185,28.5,28.5,28.5,0.0,0.0,0.0,False
185,186,29.5,27.0,27.0,0.0,-2.5,-2.5,False
186,187,22.0,28.0,28.0,0.0,6.0,6.0,False
187,188,27.0,29.0,29.0,0.0,2.0,2.0,False
188,189,27.5,28.5,28.5,0.0,1.0,1.0,False
189,190,26.0,28.5,28.5,0.0,2.5,2.5,False
190,191,27.5,28.0,28.0,0.0,0.5,0.5,False
191,192,27.5,27.0,27.0,0.0,-0.5,-0.5,False
192,193,26.5,28.0,28.0,0.0,1.5,1.5,False
193,194,26.5,27.5,27.5,0.0,1.0,1.0,False
194,195,26.5,26.5,26.5,0.0,0.0,0.0,False
195,196,26.5,27.0,27.0,0.0,0.5,0.5,False
196,197,26.5,27.5,27.5,0.0,1.0,1.0,False
197,198,27.0,27.5,27.5,0.0,0.5,0.5,False
198,199,26.5,26.5,26.5,0.0,0.0,0.0,False
199,200,26.0,26.0,26.0,0.0,0.0,0.0,False
200,201,25.5,26.5,26.5,0.0,1.0,1.0,False
201,202,25.5,26.0,26.0,0.0,0.5,0.5,False
202,203,23.0,25.5,25.5,0.0,2.5,2.5,False
203,204,25.0,26.0,26.0,0.0,1.0,1.0,False
204,205,25.5,25.5,25.5,0.0,0.0,0.0,False
205,206,25.0,25.0,25.0,0.0,0.0,0.0,False
206,207,24.0,24.5,24.5,0.0,0.5,0.5,False
207,208,24.0,25.0,25.0,0.0,1.0,1.0,False
208,209,23.5,25.0,25.0,0.0,1.5,1.5,False
209,210,23.5,23.0,23.0,0.0,-0.5,-0.5,False
210,211,23.0,23.0,23.0,0.0,0.0,0.0,False
211,212,22.5,24.0,24.0,0.0,1.5,1.5,False
212,213,22.5,23.5,23.5,0.0,1.0,1.0,False
213,214,22.5,23.0,23.0,0.0,0.5,0.5,False
214,215,22.0,23.0,23.0,0.0,1.0,1.0,False
215,216,22.0,22.5,22.5,0.0,0.5,0.5,False
216,217,22.0,22.0,22.0,0.0,0.0,0.0,False
217,218,22.0,22.0,22.0,0.0,0.0,0.0,False
218,219,22.0,22.0,22.0,0.0,0.0,0.0,False
219,220,21.5,22.5,22.5,0.0,1.0,1.0,False
220,221,22.0,22.5,22.5,0.0,0.5,0.5,False
221,222,21.5,21.5,21.5,0.0,0.0,0.0,False
222,223,20.0,21.5,21.5,0.0,1.5,1.5,False
223,224,21.0,21.5,21.5,0.0,0.5,0.5,False
224,225,16.0,23.5,23.5,0.0,7.5,7.5,False
225,226,20.0,20.5,20.5,0.0,0.5,0.5,False
226,227,19.0,21.5,21.5,0.0,2.5,2.5,False
227,228,15.5,21.0,21.0,0.0,5.5,5.5,False
228,229,19.0,20.5,20.5,0.0,1.5,1.5,False
229,230,15.5,21.0,21.0,0.0,5.5,5.5,False
230,231,19.0,20.0,20.0,0.0,1.0,1.0,False
231,232,20.0,20.0,20.0,0.0,0.0,0.0,False
232,233,20.0,20.5,20.5,0.0,0.5,0.5,False
233,234,20.0,20.5,20.5,0.0,0.5,0.5,False
234,235,19.0,20.5,20.5,0.0,1.5,1.5,False
235,236,19.5,20.5,20.5,0.0,1.0,1.0,False
236,237,19.5,20.5,20.5,0.0,1.0,1.0,False
237,238,19.5,20.5,20.5,0.0,1.0,1.0,False
238,239,20.0,20.5,20.5,0.0,0.5,0.5,False
239,240,20.5,21.5,21.5,0.0,1.0,1.0,False
240,241,20.5,21.0,21.0,0.0,0.5,0.5,False
241,242,20.5,21.0,21.0,0.0,0.5,0.5,False
242,243,20.5,21.5,21.5,0.0,1.0,1.0,False
243,244,20.5,21.5,21.5,0.0,1.0,1.0,False
244,245,20.5,21.0,21.0,0.0,0.5,0.5,False
245,246,20.5,21.5,21.5,0.0,1.0,1.0,False
246,247,20.5,21.0,21.0,0.0,0.5,0.5,False
247,248,20.5,21.5,21.5,0.0,1.0,1.0,False
248,249,20.5,21.5,21.5,0.0,1.0,1.0,False
249,250,20.5,21.0,21.0,0.0,0.5,0.5,False
250,251,20.5,21.0,21.0,0.0,0.5,0.5,False
251,252,20.5,21.0,21.0,0.0,0.5,0.5,False
252,253,20.5,21.0,21.0,0.0,0.5,0.5,False
253,254,20.0,21.0,21.0,0.0,1.0,1.0,False
254,255,20.0,21.5,21.5,0.0,1.5,1.5,False
255,256,20.0,21.5,21.5,0.0,1.5,1.5,False
256,257,19.5,21.0,21.0,0.0,1.5,1.5,False
257,258,20.0,21.0,21.0,0.0,1.0,1.0,False
258,259,20.0,21.5,21.5,0.0,1.5,1.5,False
259,260,19.5,21.5,21.5,0.0,2.0,2.0,False
260,261,20.0,21.5,21.5,0.0,1.5,1.5,False
261,262,20.0,21.5,21.5,0.0,1.5,1.5,False
262,263,20.0,21.5,21.5,0.0,1.5,1.5,False
263,264,20.0,21.5,21.5,0.0,1.5,1.5,False
264,265,20.0,21.5,21.5,0.0,1.5,1.5,False
265,266,20.0,21.5,21.5,0.0,1.5,1.5,False
266,267,20.0,21.5,21.5,0.0,1.5,1.5,False
267,268,20.5,21.5,21.5,0.0,1.0,1.0,False
268,269,20.5,21.5,21.5,0.0,1.0,1.0,False
269,270,20.5,21.5,21.5,0.0,1.0,1.0,False
270,271,20.5,21.5,21.5,0.0,1.0,1.0,False
271,272,20.0,21.5,21.5,0.0,1.5,1.5,False
272,273,14.5,21.5,21.5,0.0,7.0,7.0,False
273,274,20.5,21.5,21.5,0.0,1.0,1.0,False
274,275,20.0,21.5,21.5,0.0,1.5,1.5,False
275,276,13.5,21.5,21.5,0.0,8.0,8.0,False
276,277,13.5,21.5,21.5,0.0,8.0,8.0,False
277,278,20.5,21.5,21.5,0.0,1.0,1.0,False
278,279,20.5,21.0,21.0,0.0,0.5,0.5,False
279,280,20.0,21.5,21.5,0.0,1.5,1.5,False
280,281,20.0,21.0,21.0,0.0,1.0,1.0,False
281,282,20.0,21.0,21.0,0.0,1.0,1.0,False
282,283,20.5,21.0,21.0,0.0,0.5,0.5,False
283,284,20.0,21.0,21.0,0.0,1.0,1.0,False
284,285,20.0,21.0,21.0,0.0,1.0,1.0,False
285,286,20.0,21.0,21.0,0.0,1.0,1.0,False
286,287,20.0,21.0,21.0,0.0,1.0,1.0,False
287,288,21.0,21.0,21.0,0.0,0.0,0.0,False
288,289,21.0,21.0,21.0,0.0,0.0,0.0,False
289,290,21.0,21.5,21.5,0.0,0.5,0.5,False
290,291,21.0,21.5,21.5,0.0,0.5,0.5,False
291,292,20.0,21.5,21.5,0.0,1.5,1.5,False
292,293,21.0,21.5,21.5,0.0,0.5,0.5,False
293,294,21.5,21.5,21.5,0.0,0.0,0.0,False
294,295,21.0,21.5,21.5,0.0,0.5,0.5,False
295,296,21.0,21.5,21.5,0.0,0.5,0.5,False
296,297,21.0,22.0,22.0,0.0,1.0,1.0,False
297,298,21.0,21.0,21.0,0.0,0.0,0.0,False
298,299,21.0,21.5,21.5,0.0,0.5,0.5,False
299,300,20.5,21.5,21.5,0.0,1.0,1.0,False
300,301,20.5,21.5,21.5,0.0,1.0,1.0,False
301,302,20.5,21.5,21.5,0.0,1.0,1.0,False
302,303,21.0,21.5,21.5,0.0,0.5,0.5,False
303,304,21.0,21.5,21.5,0.0,0.5,0.5,False
304,305,21.5,22.0,22.0,0.0,0.5,0.5,False
305,306,21.5,22.5,22.5,0.0,1.0,1.0,False
306,307,22.0,22.5,22.5,0.0,0.5,0.5,False
307,308,22.0,22.5,22.5,0.0,0.5,0.5,False
308,309,22.5,22.5,22.5,0.0,0.0,0.0,False
309,310,22.0,22.5,22.5,0.0,0.5,0.5,False
310,311,21.5,22.5,22.5,0.0,1.0,1.0,False
311,312,21.5,22.5,22.5,0.0,1.0,1.0,False
312,313,22.5,23.0,23.0,0.0,0.5,0.5,False
313,314,23.0,23.5,23.5,0.0,0.5,0.5,False
314,315,23.0,23.5,23.5,0.0,0.5,0.5,False
315,316,23.0,24.0,24.0,0.0,1.0,1.0,False
316,317,24.0,24.0,24.0,0.0,0.0,0.0,False
317,318,24.0,25.0,25.0,0.0,1.0,1.0,False
318,319,24.0,24.5,24.5,0.0,0.5,0.5,False
319,320,23.5,25.0,25.0,0.0,1.5,1.5,False
320,321,23.5,25.0,25.0,0.0,1.5,1.5,False
321,322,23.5,25.5,25.5,0.0,2.0,2.0,False
322,323,25.5,24.5,24.5,0.0,-1.0,-1.0,False
323,324,24.5,24.5,24.5,0.0,0.0,0.0,False
324,325,24.5,26.0,26.0,0.0,1.5,1.5,False
325,326,24.5,26.5,26.5,0.0,2.0,2.0,False
326,327,25.0,26.5,26.5,0.0,1.5,1.5,False
327,328,25.0,24.5,24.5,0.0,-0.5,-0.5,False
328,329,24.5,25.0,25.0,0.0,0.5,0.5,False
329,330,15.5,26.5,26.5,0.0,11.0,11.0,False
330,331,25.5,26.5,26.5,0.0,1.0,1.0,False
331,332,25.5,27.0,27.0,0.0,1.5,1.5,False
332,333,27.0,27.5,27.5,0.0,0.5,0.5,False
333,334,25.0,27.5,27.5,0.0,2.5,2.5,False
334,335,19.0,27.0,27.0,0.0,8.0,8.0,False
335,336,27.0,27.5,27.5,0.0,0.5,0.5,False
336,337,26.0,28.0,28.0,0.0,2.0,2.0,False
337,338,26.0,28.5,28.5,0.0,2.5,2.5,False
338,339,26.0,28.0,28.0,0.0,2.0,2.0,False
339,340,26.5,29.0,29.0,0.0,2.5,2.5,False
340,341,28.0,28.0,28.0,0.0,0.0,0.0,False
341,342,28.5,28.5,28.5,0.0,0.0,0.0,False
342,343,28.0,28.5,28.5,0.0,0.5,0.5,False
343,344,24.0,28.5,28.5,0.0,4.5,4.5,False
344,345,26.0,27.5,27.5,0.0,1.5,1.5,False
345,346,27.5,28.5,28.5,0.0,1.0,1.0,False
346,347,21.5,28.5,28.5,0.0,7.0,7.0,False
347,348,21.5,30.0,30.0,0.0,8.5,8.5,False
348,349,29.0,29.0,29.0,0.0,0.0,0.0,False
349,350,29.0,29.0,29.0,0.0,0.0,0.0,False
350,351,29.5,30.5,30.5,0.0,1.0,1.0,False
351,352,30.5,30.5,30.5,0.0,0.0,0.0,False
352,353,30.0,31.0,31.0,0.0,1.0,1.0,False
353,354,31.0,30.5,30.5,0.0,-0.5,-0.5,False
354,355,30.5,30.5,30.5,0.0,0.0,0.0,False
355,356,31.0,30.5,30.5,0.0,-0.5,-0.5,False
356,357,31.5,30.5,30.5,0.0,-1.0,-1.0,False
357,358,31.0,31.5,31.5,0.0,0.5,0.5,False
358,359,30.5,32.0,32.0,0.0,1.5,1.5,False
359,360,20.5,32.0,32.0,0.0,11.5,11.5,False
360,361,20.5,31.0,31.0,0.0,10.5,10.5,False
361,362,20.5,32.0,32.0,0.0,11.5,11.5,False
362,363,20.5,31.0,31.0,0.0,10.5,10.5,False
363,364,20.5,30.5,30.5,0.0,10.0,10.0,False
364,365,30.5,31.0,31.0,0.0,0.5,0.5,False
365,366,31.0,32.0,32.0,0.0,1.0,1.0,False
366,367,32.0,32.5,32.5,0.0,0.5,0.5,False
367,368,31.0,33.0,33.0,0.0,2.0,2.0,False
368,369,32.5,33.0,33.0,0.0,0.5,0.5,False
369,370,33.0,31.0,31.0,0.0,-2.0,-2.0,False
370,371,33.0,32.0,32.0,0.0,-1.0,-1.0,False
371,372,32.0,33.5,33.5,0.0,1.5,1.5,False
372,373,33.5,34.0,34.0,0.0,0.5,0.5,False
373,374,34.0,33.5,33.5,0.0,-0.5,-0.5,False
374,375,33.5,32.5,32.5,0.0,-1.0,-1.0,False
375,376,33.5,30.0,30.0,0.0,-3.5,-3.5,False
376,377,32.0,34.0,34.0,0.0,2.0,2.0,False
377,378,34.0,33.5,33.5,0.0,-0.5,-0.5,False
378,379,32.5,33.5,33.5,0.0,1.0,1.0,False
379,380,31.5,31.5,31.5,0.0,0.0,0.0,False
380,381,30.0,32.0,32.0,0.0,2.0,2.0,False
381,382,32.0,32.0,32.0,0.0,0.0,0.0,False
382,383,30.0,32.0,32.0,0.0,2.0,2.0,False
383,384,30.5,33.5,33.5,0.0,3.0,3.0,False
384,385,33.5,32.0,32.0,0.0,-1.5,-1.5,False
385,386,30.5,33.5,33.5,0.0,3.0,3.0,False
386,387,32.0,33.0,33.0,0.0,1.0,1.0,False
387,388,32.0,33.0,33.0,0.0,1.0,1.0,False
388,389,32.5,32.5,32.5,0.0,0.0,0.0,False
389,390,32.5,33.0,33.0,0.0,0.5,0.5,False
390,391,30.5,32.5,32.5,0.0,2.0,2.0,False
391,392,32.0,33.0,33.0,0.0,1.0,1.0,False
392,393,32.0,30.5,30.5,0.0,-1.5,-1.5,False
393,394,34.5,33.0,33.0,0.0,-1.5,-1.5,False
394,395,32.5,34.5,34.5,0.0,2.0,2.0,False
395,396,34.5,33.0,33.0,0.0,-1.5,-1.5,False
396,397,31.0,31.0,31.0,0.0,0.0,0.0,False
397,398,31.0,32.5,32.5,0.0,1.5,1.5,False
398,399,32.5,33.5,33.5,0.0,1.0,1.0,False
399,400,32.5,33.5,33.5,0.0,1.0,1.0,False
400,401,33.0,34.0,34.0,0.0,1.0,1.0,False
401,402,25.5,34.0,34.0,0.0,8.5,8.5,False
