variant,aligned_frame,python_frame,sample_kind,matlab_alpha_deg,saved_python_raw_alpha_deg,raw_alpha_deg,alpha_error_deg,abs_alpha_error_deg,nearest_peak_alpha_deg,nearest_peak_error_deg,top_peak_alpha_deg,top_peak_error_deg,n_candidates,candidate_hit_1deg,candidate_hit_2deg,candidate_present_but_weighted_median_wrong,emask_source,emask_density,fas_thres_density,fascicle_masked_density
matlab_literal__matlab,0,1,worst,18.5,21.0,21.0,2.5,2.5,19.0,0.5,19.0,0.5,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.22743288336878612,0.06024618672688597
matlab_literal__dynamic,0,1,worst,18.5,21.0,18.5,0.0,0.0,18.5,0.0,19.0,0.5,10,True,True,False,dynamic,0.38426098615829746,0.22743288336878612,0.0725656044277318
line_mask__matlab,0,1,worst,18.5,21.0,21.0,2.5,2.5,19.0,0.5,19.0,0.5,10,True,True,False,parms.fas.Emask,0.29289365176978216,0.21999032189771456,0.06024618672688597
line_mask__dynamic,0,1,worst,18.5,21.0,18.5,0.0,0.0,18.5,0.0,19.0,0.5,10,True,True,False,dynamic,0.38426098615829746,0.21999032189771456,0.07216487050497515
matlab_literal__matlab,71,72,worst,12.5,26.5,26.5,14.0,14.0,14.5,2.0,26.5,14.0,10,False,True,False,parms.fas.Emask,0.29289365176978216,0.2168499793332191,0.058308045930660427
matlab_literal__dynamic,71,72,worst,12.5,26.5,14.5,2.0,2.0,12.5,0.0,26.5,14.0,10,True,True,False,dynamic,0.37578760598026073,0.2168499793332191,0.06936225338481546
line_mask__matlab,71,72,worst,12.5,26.5,26.5,14.0,14.0,14.5,2.0,26.5,14.0,10,False,True,False,parms.fas.Emask,0.29289365176978216,0.20968213482806247,0.058308045930660427
line_mask__dynamic,71,72,worst,12.5,26.5,14.5,2.0,2.0,12.5,0.0,26.5,14.0,10,True,True,False,dynamic,0.37578760598026073,0.20968213482806247,0.06891363301845896
matlab_literal__matlab,72,73,worst,14.5,26.5,26.5,12.0,12.0,14.5,0.0,26.5,12.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.21279475366205278,0.057796417085883074
matlab_literal__dynamic,72,73,worst,14.5,26.5,20.0,5.5,5.5,14.5,0.0,14.5,0.0,10,True,True,True,dynamic,0.37578760598026073,0.21279475366205278,0.06803151432056698
line_mask__matlab,72,73,worst,14.5,26.5,26.5,12.0,12.0,14.5,0.0,26.5,12.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.20552105491314912,0.057796417085883074
line_mask__dynamic,72,73,worst,14.5,26.5,20.0,5.5,5.5,14.5,0.0,14.5,0.0,10,True,True,True,dynamic,0.37578760598026073,0.20552105491314912,0.06771143125018902
matlab_literal__matlab,75,76,worst,14.0,26.5,26.5,12.5,12.5,13.5,0.5,28.0,14.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.2157183470607805,0.05833829000030244
matlab_literal__dynamic,75,76,worst,14.0,26.5,15.5,1.5,1.5,14.0,0.0,27.0,13.0,10,True,True,False,dynamic,0.37446694827255955,0.2157183470607805,0.06918330930610023
line_mask__matlab,75,76,worst,14.0,26.5,26.5,12.5,12.5,13.5,0.5,28.0,14.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.20838920085086649,0.05833829000030244
line_mask__dynamic,75,76,worst,14.0,26.5,15.5,1.5,1.5,14.0,0.0,27.0,13.0,10,True,True,False,dynamic,0.37446694827255955,0.20838920085086649,0.06886322623572227
matlab_literal__matlab,95,96,worst,17.5,29.0,29.0,11.5,11.5,15.0,2.5,29.5,12.0,10,False,False,False,parms.fas.Emask,0.29289365176978216,0.20076265462280604,0.05692942042281209
matlab_literal__dynamic,95,96,worst,17.5,29.0,16.0,-1.5,1.5,16.0,1.5,10.0,-7.5,10,False,True,False,dynamic,0.37446694827255955,0.20076265462280604,0.0660832921677941
