variant,aligned_frame,python_frame,sample_kind,matlab_alpha_deg,saved_python_raw_alpha_deg,raw_alpha_deg,alpha_error_deg,abs_alpha_error_deg,nearest_peak_alpha_deg,nearest_peak_error_deg,top_peak_alpha_deg,top_peak_error_deg,n_candidates,candidate_hit_1deg,candidate_hit_2deg,candidate_present_but_weighted_median_wrong,emask_source,emask_density,fas_thres_density,fascicle_masked_density
matlab_literal__matlab,1171,1172,worst,18.0,32.0,32.0,14.0,14.0,13.5,4.5,32.0,14.0,10,False,False,False,parms.fas.Emask,0.29289365176978216,0.19314618975129294,0.057438528928452616
matlab_literal__matlab,71,72,worst,12.5,26.5,26.5,14.0,14.0,14.5,2.0,26.5,14.0,10,False,True,False,parms.fas.Emask,0.29289365176978216,0.2168499793332191,0.058308045930660427
matlab_literal__matlab,910,911,worst,18.5,32.5,32.5,14.0,14.0,23.0,4.5,32.0,13.5,10,False,False,False,parms.fas.Emask,0.29289365176978216,0.18876331999233817,0.05687145262266491
matlab_literal__matlab,882,883,worst,14.5,28.0,28.0,13.5,13.5,14.0,0.5,28.0,13.5,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.1997066325244725,0.056243888177593175
matlab_literal__matlab,2553,2554,control,20.5,34.0,34.0,13.5,13.5,20.5,0.0,34.0,13.5,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.18613964695089372,0.055835593237426026
matlab_literal__matlab,1141,1142,worst,14.5,27.5,27.5,13.0,13.0,14.0,0.5,27.5,13.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.20770366860564757,0.057569586563568
matlab_literal__matlab,980,981,worst,17.5,30.5,30.5,13.0,13.0,17.5,0.0,31.0,13.5,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.19463066950288832,0.057670400129041365
matlab_literal__matlab,730,731,worst,14.0,27.0,27.0,13.0,13.0,12.5,1.5,27.0,13.0,10,False,True,False,parms.fas.Emask,0.29289365176978216,0.1945197745808676,0.055152581331343944
matlab_literal__matlab,1414,1415,control,17.5,30.5,30.5,13.0,13.0,13.5,4.0,13.5,-4.0,10,False,False,False,parms.fas.Emask,0.29289365176978216,0.19529351869587572,0.056468198360771424
matlab_literal__matlab,2552,2553,control,20.5,33.5,33.5,13.0,13.0,20.5,0.0,36.5,16.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.18470809432117186,0.055455022027764055
matlab_literal__matlab,118,119,worst,19.5,32.5,32.5,13.0,13.0,19.5,0.0,34.5,15.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.1804814855887008,0.052496143881120644
matlab_literal__matlab,75,76,worst,14.0,26.5,26.5,12.5,12.5,13.5,0.5,28.0,14.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.2157183470607805,0.05833829000030244
matlab_literal__matlab,437,438,worst,19.0,31.5,31.5,12.5,12.5,19.5,0.5,42.0,23.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.18909348441926346,0.055717137297994816
matlab_literal__matlab,613,614,worst,17.5,30.0,30.0,12.5,12.5,17.5,0.0,30.5,13.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.19749377476233201,0.05646315768249776
matlab_literal__matlab,114,115,worst,19.5,32.0,32.0,12.5,12.5,18.5,1.0,32.0,12.5,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.18001522284838647,0.052647364229330695
matlab_literal__matlab,113,114,worst,19.5,32.0,32.0,12.5,12.5,19.5,0.0,33.5,14.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.18424435191999436,0.05464599316484026
matlab_literal__matlab,1234,1235,worst,19.5,32.0,32.0,12.5,12.5,18.0,1.5,32.0,12.5,10,False,True,False,parms.fas.Emask,0.29289365176978216,0.19431814744992087,0.0574082848588106
matlab_literal__matlab,1425,1426,control,19.0,31.5,31.5,12.5,12.5,18.5,0.5,31.5,12.5,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.19121308963334105,0.05670258990049701
matlab_literal__matlab,2215,2216,control,17.5,30.0,30.0,12.5,12.5,17.5,0.0,30.0,12.5,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.1978541832588993,0.05774601030314639
matlab_literal__matlab,108,109,worst,19.0,31.5,31.5,12.5,12.5,19.0,0.0,32.0,13.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.18657566562156605,0.05399574566753702
matlab_literal__matlab,96,97,worst,16.0,28.5,28.5,12.5,12.5,15.5,0.5,30.0,14.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.19534896615688607,0.05541721694071154
matlab_literal__matlab,2581,2582,control,29.5,17.5,17.5,-12.0,12.0,31.0,1.5,31.0,1.5,10,False,True,False,parms.fas.Emask,0.29289365176978216,0.19434587118042604,0.054691359269303276
matlab_literal__matlab,2520,2521,control,25.0,37.0,37.0,12.0,12.0,24.5,0.5,38.0,13.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.17750496506809957,0.05274817779480407
matlab_literal__matlab,72,73,worst,14.5,26.5,26.5,12.0,12.0,14.5,0.0,26.5,12.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.21279475366205278,0.057796417085883074
matlab_literal__matlab,909,910,worst,20.5,32.5,32.5,12.0,12.0,18.5,2.0,32.5,12.0,10,False,True,False,parms.fas.Emask,0.29289365176978216,0.18846844031332857,0.05715877128426401
matlab_literal__matlab,728,729,worst,17.0,29.0,29.0,12.0,12.0,13.5,3.5,27.5,10.5,10,False,False,False,parms.fas.Emask,0.29289365176978216,0.19464831187684614,0.05569949492403698
matlab_literal__matlab,1271,1272,control,14.0,26.0,26.0,12.0,12.0,13.5,0.5,26.0,12.0,10,True,True,True,parms.fas.Emask,0.29289365176978216,0.2092360348008428,0.057433488250178945
matlab_literal__matlab,95,96,worst,17.5,29.0,29.0,11.5,11.5,15.0,2.5,29.5,12.0,10,False,False,False,parms.fas.Emask,0.29289365176978216,0.20076265462280604,0.05692942042281209
matlab_literal__matlab,1509,1510,control,20.5,32.0,32.0,11.5,11.5,23.5,3.0,32.0,11.5,10,False,False,False,parms.fas.Emask,0.29289365176978216,0.19459538475497262,0.05808877642575585
matlab_literal__matlab,1239,1240,worst,19.5,31.0,31.0,11.5,11.5,18.0,1.5,40.5,21.0,10,False,True,False,parms.fas.Emask,0.29289365176978216,0.2002585867954392,0.05796275946891414
