aligned_frame,python_frame,abs_raw_error_deg,matlab_alpha_deg,matlab_alpha_reconstructed_deg,python_alpha_deg,python_alpha_reconstructed_deg,nearest_python_peak_to_matlab_deg,python_peak_hit_1deg,python_peak_hit_2deg,matlab_peak_count,python_peak_count,matlab_top_peak_alpha_deg,matlab_top_peak_weight,python_top_peak_alpha_deg,python_top_peak_weight,python_cum_weight_at_matlab_alpha,python_mass_within_1deg_of_matlab,python_mass_within_2deg_of_matlab,python_profile_at_matlab_alpha,python_profile_max,bias_mode
71,72,14.0,12.5,12.5,26.5,26.5,2.0,False,True,10,10,26.5,309.0,26.5,357.0,0.20300751879699247,0.0,0.09261790840738209,266.0,357.0,higher-angle overweight before matlab
910,911,14.0,18.5,18.5,32.5,32.5,4.5,False,False,10,10,33.0,283.0,32.0,289.0,0.104787033546928,0.0,0.0,247.0,289.0,matlab candidate absent in python peaks
1171,1172,14.0,18.0,18.0,32.0,32.0,4.5,False,False,10,10,32.5,284.0,32.0,288.0,0.09882620219613783,0.0,0.0,231.0,288.0,matlab candidate absent in python peaks
882,883,13.5,14.5,14.5,28.0,28.0,0.5,True,True,10,10,14.0,312.0,28.0,301.0,0.1089001447178003,0.1089001447178003,0.1089001447178003,277.0,301.0,higher-angle overweight before matlab
2553,2554,13.5,20.5,20.5,34.0,34.0,0.0,True,True,10,10,18.0,265.0,34.0,278.0,0.2930900621118012,0.09549689440993789,0.09549689440993789,246.0,278.0,higher-angle overweight before matlab
118,119,13.0,19.5,19.5,32.5,32.5,0.0,True,True,10,10,32.0,278.0,34.5,275.0,0.39416932907348246,0.09904153354632587,0.19289137380191693,248.0,275.0,higher-angle overweight before matlab
730,731,13.0,14.0,14.0,27.0,27.0,1.5,False,True,10,10,28.5,299.0,27.0,304.0,0.19498709915223,0.0,0.09915223000368596,235.0,304.0,higher-angle overweight before matlab
980,981,13.0,17.5,17.5,30.5,30.5,0.0,True,True,10,10,14.0,285.0,31.0,295.0,0.0991672975018925,0.0991672975018925,0.19530658591975775,262.0,295.0,higher-angle overweight before matlab
1141,1142,13.0,14.5,14.5,27.5,27.5,0.5,True,True,10,10,13.5,324.0,27.5,313.0,0.19653587840226228,0.1025097207493814,0.19653587840226228,230.0,313.0,higher-angle overweight before matlab
1414,1415,13.0,17.5,17.5,30.5,30.5,4.0,False,False,10,10,13.5,286.0,13.5,300.0,0.10849909584086799,0.0,0.0,250.0,300.0,matlab candidate absent in python peaks
96,97,12.5,16.0,16.0,28.5,28.5,0.5,True,True,10,10,29.0,287.0,30.0,306.0,0.1958762886597938,0.09425625920471281,0.09425625920471281,223.0,306.0,higher-angle overweight before matlab
437,438,12.5,19.0,19.0,31.5,31.5,0.5,True,True,10,10,13.5,266.0,42.0,288.0,0.2938026013771997,0.1063504208110176,0.1063504208110176,247.0,288.0,higher-angle overweight before matlab
613,614,12.5,17.5,17.5,30.0,30.0,0.0,True,True,10,10,17.5,284.0,30.5,290.0,0.2907538061641292,0.09580393613070924,0.19977720014853323,258.0,290.0,higher-angle overweight before matlab
1234,1235,12.5,19.5,19.5,32.0,32.0,1.5,False,True,10,10,18.0,292.0,32.0,308.0,0.20515653775322285,0.0,0.10460405156537753,243.0,308.0,higher-angle overweight before matlab
2215,2216,12.5,17.5,17.5,30.0,30.0,0.0,True,True,10,10,30.5,294.0,30.0,312.0,0.29396802325581395,0.09702034883720931,0.09702034883720931,267.0,312.0,higher-angle overweight before matlab
2520,2521,12.0,25.0,25.0,37.0,37.0,0.5,True,True,10,10,25.0,261.0,38.0,276.0,0.09865824782951854,0.09865824782951854,0.19376479873717442,249.0,276.0,higher-angle overweight before matlab
