variant,note,aligned_frame,python_frame,matlab_alpha_deg,matlab_alpha_reconstructed_deg,python_alpha_deg,abs_raw_error_deg,nearest_python_peak_to_matlab_deg,python_peak_hit_1deg,python_peak_hit_2deg,python_cum_weight_at_matlab_alpha,python_mass_within_2deg_of_matlab,python_peak_count,python_profile_max,python_profile_at_matlab_alpha,matlab_alpha_nearest_gamma_grid_deg,bias_mode
baseline_current,current Python Hough path,71,72,12.5,12.5,26.5,14.0,2.0,False,True,0.20300751879699247,0.09261790840738209,10,357.0,212.0,0.0,higher-angle overweight before matlab
no_diagonal_replacement,disable 45 deg diagonal replacement,71,72,12.5,12.5,26.5,14.0,2.0,False,True,0.20300751879699247,0.09261790840738209,10,357.0,212.0,0.0,higher-angle overweight before matlab
no_radius_correction,disable ellipse/radius correction,71,72,12.5,12.5,9.0,3.5,0.0,True,True,0.7156647652479157,0.37735849056603776,10,279.0,205.0,0.0,lower-angle overweight before matlab
no_diag_no_radius,disable both diagonal replacement and radius correction,71,72,12.5,12.5,9.0,3.5,0.0,True,True,0.7156647652479157,0.37735849056603776,10,279.0,205.0,0.0,lower-angle overweight before matlab
angle_profile_localmax,replace 2D houghpeaks with 1D angle-profile local maxima,71,72,12.5,12.5,22.0,9.5,0.0,True,True,0.30164854437039634,0.18835496317081724,10,357.0,212.0,0.0,higher-angle overweight before matlab
angle_profile_localmax_no_radius,1D angle-profile local maxima without radius correction,71,72,12.5,12.5,14.0,1.5,0.0,True,True,0.4520985401459854,0.3001824817518248,10,279.0,205.0,0.0,near parity
baseline_current,current Python Hough path,910,911,18.5,18.5,32.5,14.0,4.5,False,False,0.104787033546928,0.0,10,289.0,194.0,0.0,matlab candidate absent in python peaks
no_diagonal_replacement,disable 45 deg diagonal replacement,910,911,18.5,18.5,32.5,14.0,4.5,False,False,0.10307749351130886,0.0,10,291.0,194.0,0.0,matlab candidate absent in python peaks
no_radius_correction,disable ellipse/radius correction,910,911,18.5,18.5,7.5,11.0,5.0,False,False,1.0,0.0,10,229.0,188.0,0.0,matlab candidate absent in python peaks
no_diag_no_radius,disable both diagonal replacement and radius correction,910,911,18.5,18.5,7.5,11.0,5.0,False,False,1.0,0.0,10,229.0,188.0,0.0,matlab candidate absent in python peaks
angle_profile_localmax,replace 2D houghpeaks with 1D angle-profile local maxima,910,911,18.5,18.5,32.0,13.5,4.0,False,False,0.29750836742283376,0.0,10,289.0,194.0,0.0,matlab candidate absent in python peaks
angle_profile_localmax_no_radius,1D angle-profile local maxima without radius correction,910,911,18.5,18.5,12.5,6.0,0.0,True,True,1.0,0.17783251231527092,10,229.0,188.0,0.0,lower-angle overweight before matlab
baseline_current,current Python Hough path,1171,1172,18.0,18.0,32.0,14.0,4.5,False,False,0.09882620219613783,0.0,10,288.0,176.0,0.0,matlab candidate absent in python peaks
no_diagonal_replacement,disable 45 deg diagonal replacement,1171,1172,18.0,18.0,32.0,14.0,4.5,False,False,0.09477124183006536,0.0,10,303.0,176.0,0.0,matlab candidate absent in python peaks
no_radius_correction,disable ellipse/radius correction,1171,1172,18.0,18.0,10.0,8.0,4.5,False,False,1.0,0.0,10,215.0,170.0,0.0,matlab candidate absent in python peaks
no_diag_no_radius,disable both diagonal replacement and radius correction,1171,1172,18.0,18.0,10.0,8.0,4.5,False,False,1.0,0.0,10,215.0,170.0,0.0,matlab candidate absent in python peaks
angle_profile_localmax,replace 2D houghpeaks with 1D angle-profile local maxima,1171,1172,18.0,18.0,28.5,10.5,0.5,True,True,0.29178136059771925,0.09555642941407787,10,288.0,176.0,0.0,higher-angle overweight before matlab
angle_profile_localmax_no_radius,1D angle-profile local maxima without radius correction,1171,1172,18.0,18.0,11.5,6.5,0.5,True,True,0.8285714285714285,0.2642857142857143,10,215.0,170.0,0.0,lower-angle overweight before matlab
baseline_current,current Python Hough path,882,883,14.5,14.5,28.0,13.5,0.5,True,True,0.1089001447178003,0.1089001447178003,10,301.0,194.0,0.0,higher-angle overweight before matlab
no_diagonal_replacement,disable 45 deg diagonal replacement,882,883,14.5,14.5,28.5,14.0,0.5,True,True,0.1080789946140036,0.1080789946140036,10,301.0,194.0,0.0,higher-angle overweight before matlab
no_radius_correction,disable ellipse/radius correction,882,883,14.5,14.5,10.5,4.0,0.0,True,True,0.9087038789025543,0.3926206244087039,10,245.0,188.0,0.0,lower-angle overweight before matlab
no_diag_no_radius,disable both diagonal replacement and radius correction,882,883,14.5,14.5,10.5,4.0,0.0,True,True,0.9087038789025543,0.3926206244087039,10,245.0,188.0,0.0,lower-angle overweight before matlab
angle_profile_localmax,replace 2D houghpeaks with 1D angle-profile local maxima,882,883,14.5,14.5,26.0,11.5,0.5,True,True,0.1096938775510204,0.1096938775510204,10,301.0,194.0,0.0,higher-angle overweight before matlab
angle_profile_localmax_no_radius,1D angle-profile local maxima without radius correction,882,883,14.5,14.5,13.0,1.5,0.5,True,True,0.6450989859971029,0.22018348623853212,10,245.0,188.0,0.0,near parity
baseline_current,current Python Hough path,2553,2554,20.5,20.5,34.0,13.5,0.0,True,True,0.2930900621118012,0.09549689440993789,10,278.0,208.0,0.0,higher-angle overweight before matlab
no_diagonal_replacement,disable 45 deg diagonal replacement,2553,2554,20.5,20.5,36.5,16.0,3.0,False,False,0.18879821958456974,0.0,10,303.0,208.0,0.0,matlab candidate absent in python peaks
no_radius_correction,disable ellipse/radius correction,2553,2554,20.5,20.5,11.5,9.0,4.5,False,False,1.0,0.0,10,218.0,201.0,0.0,matlab candidate absent in python peaks
no_diag_no_radius,disable both diagonal replacement and radius correction,2553,2554,20.5,20.5,11.5,9.0,4.5,False,False,1.0,0.0,10,218.0,201.0,0.0,matlab candidate absent in python peaks
angle_profile_localmax,replace 2D houghpeaks with 1D angle-profile local maxima,2553,2554,20.5,20.5,27.0,6.5,0.0,True,True,0.49055861526357203,0.0967741935483871,10,278.0,208.0,0.0,higher-angle overweight before matlab
angle_profile_localmax_no_radius,1D angle-profile local maxima without radius correction,2553,2554,20.5,20.5,11.5,9.0,3.0,False,False,1.0,0.0,10,218.0,201.0,0.0,matlab candidate absent in python peaks
baseline_current,current Python Hough path,118,119,19.5,19.5,32.5,13.0,0.0,True,True,0.39416932907348246,0.19289137380191693,10,275.0,194.0,0.0,higher-angle overweight before matlab
no_diagonal_replacement,disable 45 deg diagonal replacement,118,119,19.5,19.5,34.5,15.0,0.0,True,True,0.1985208252238225,0.09653561697158428,10,275.0,194.0,0.0,higher-angle overweight before matlab
no_radius_correction,disable ellipse/radius correction,118,119,19.5,19.5,10.0,9.5,4.0,False,False,1.0,0.0,10,218.0,188.0,0.0,matlab candidate absent in python peaks
no_diag_no_radius,disable both diagonal replacement and radius correction,118,119,19.5,19.5,10.0,9.5,4.0,False,False,1.0,0.0,10,218.0,188.0,0.0,matlab candidate absent in python peaks
angle_profile_localmax,replace 2D houghpeaks with 1D angle-profile local maxima,118,119,19.5,19.5,18.0,1.5,0.0,True,True,0.6805668016194331,0.19554655870445342,10,275.0,194.0,0.0,near parity
angle_profile_localmax_no_radius,1D angle-profile local maxima without radius correction,118,119,19.5,19.5,11.5,8.0,0.0,True,True,1.0,0.18348144276006273,10,218.0,188.0,0.0,lower-angle overweight before matlab
baseline_current,current Python Hough path,730,731,14.0,14.0,27.0,13.0,1.5,False,True,0.19498709915223,0.09915223000368596,10,304.0,246.0,0.0,higher-angle overweight before matlab
no_diagonal_replacement,disable 45 deg diagonal replacement,730,731,14.0,14.0,28.0,14.0,1.5,False,True,0.19229371137768086,0.09778262450018176,10,304.0,246.0,0.0,higher-angle overweight before matlab
no_radius_correction,disable ellipse/radius correction,730,731,14.0,14.0,7.0,7.0,1.0,True,True,0.9999999999999999,0.2871842843779233,10,238.0,238.0,0.0,lower-angle overweight before matlab
no_diag_no_radius,disable both diagonal replacement and radius correction,730,731,14.0,14.0,7.0,7.0,1.0,True,True,0.9999999999999999,0.2871842843779233,10,238.0,238.0,0.0,lower-angle overweight before matlab
angle_profile_localmax,replace 2D houghpeaks with 1D angle-profile local maxima,730,731,14.0,14.0,27.0,13.0,1.5,False,True,0.29158878504672897,0.1005607476635514,10,304.0,246.0,0.0,higher-angle overweight before matlab
angle_profile_localmax_no_radius,1D angle-profile local maxima without radius correction,730,731,14.0,14.0,11.0,3.0,0.0,True,True,0.7366892545982575,0.20232333010648595,10,238.0,238.0,0.0,lower-angle overweight before matlab
baseline_current,current Python Hough path,980,981,17.5,17.5,30.5,13.0,0.0,True,True,0.0991672975018925,0.19530658591975775,10,295.0,195.0,0.0,higher-angle overweight before matlab
no_diagonal_replacement,disable 45 deg diagonal replacement,980,981,17.5,17.5,32.0,14.5,0.0,True,True,0.09707298999629492,0.09707298999629492,10,295.0,195.0,0.0,higher-angle overweight before matlab
no_radius_correction,disable ellipse/radius correction,980,981,17.5,17.5,9.5,8.0,0.0,True,True,1.0,0.09640924741760945,10,223.0,189.0,0.0,lower-angle overweight before matlab
no_diag_no_radius,disable both diagonal replacement and radius correction,980,981,17.5,17.5,9.5,8.0,0.0,True,True,1.0,0.09640924741760945,10,223.0,189.0,0.0,lower-angle overweight before matlab
angle_profile_localmax,replace 2D houghpeaks with 1D angle-profile local maxima,980,981,17.5,17.5,29.0,11.5,0.0,True,True,0.2928134556574924,0.19724770642201833,10,295.0,195.0,0.0,higher-angle overweight before matlab
angle_profile_localmax_no_radius,1D angle-profile local maxima without radius correction,980,981,17.5,17.5,11.5,6.0,0.0,True,True,0.9110565110565111,0.18525798525798526,10,223.0,189.0,0.0,lower-angle overweight before matlab
baseline_current,current Python Hough path,1141,1142,14.5,14.5,27.5,13.0,0.5,True,True,0.19653587840226228,0.19653587840226228,10,313.0,197.0,0.0,higher-angle overweight before matlab
no_diagonal_replacement,disable 45 deg diagonal replacement,1141,1142,14.5,14.5,27.5,13.0,0.5,True,True,0.19508771929824562,0.19508771929824562,10,313.0,197.0,0.0,higher-angle overweight before matlab
no_radius_correction,disable ellipse/radius correction,1141,1142,14.5,14.5,11.5,3.0,0.5,True,True,0.8938700823421775,0.30603842634949685,10,236.0,191.0,0.0,lower-angle overweight before matlab
no_diag_no_radius,disable both diagonal replacement and radius correction,1141,1142,14.5,14.5,11.5,3.0,0.5,True,True,0.8938700823421775,0.30603842634949685,10,236.0,191.0,0.0,lower-angle overweight before matlab
angle_profile_localmax,replace 2D houghpeaks with 1D angle-profile local maxima,1141,1142,14.5,14.5,26.0,11.5,0.5,True,True,0.28991747398636525,0.1994976677430929,10,313.0,197.0,0.0,higher-angle overweight before matlab
angle_profile_localmax_no_radius,1D angle-profile local maxima without radius correction,1141,1142,14.5,14.5,13.0,1.5,0.5,True,True,0.6324705882352941,0.3063529411764706,10,236.0,191.0,0.0,near parity
baseline_current,current Python Hough path,1414,1415,17.5,17.5,30.5,13.0,4.0,False,False,0.10849909584086799,0.0,10,300.0,220.0,0.0,matlab candidate absent in python peaks
no_diagonal_replacement,disable 45 deg diagonal replacement,1414,1415,17.5,17.5,31.0,13.5,4.0,False,False,0.10748835542816194,0.0,10,300.0,220.0,0.0,matlab candidate absent in python peaks
no_radius_correction,disable ellipse/radius correction,1414,1415,17.5,17.5,9.0,8.5,1.5,False,True,1.0,0.09227053140096618,10,247.0,213.0,0.0,lower-angle overweight before matlab
