frame,baseline_alpha_deg,matlab_alpha_deg,baseline_raw_error_deg,localmax_alpha_deg,delta_localmax_deg,mass_below_8deg,mass_below_10deg,gap_to_lower_deg,oracle_high_angle_overweight
0,21.0,18.5,2.5,17.5,3.5,0.18353994490358128,0.18353994490358128,1.5,False
1,21.0,19.0,2.0,19.0,2.0,0.18297725706409373,0.18297725706409373,2.0,False
2,21.0,18.5,2.5,19.0,2.0,0.18272884283246976,0.18272884283246976,1.5,False
3,21.0,19.0,2.0,19.0,2.0,0.2721322769548743,0.2721322769548743,2.0,False
4,20.5,19.0,1.5,19.0,1.5,0.18322447576486767,0.18322447576486767,1.0,False
5,20.5,19.0,1.5,17.5,3.0,0.18349880178021225,0.18349880178021225,1.0,False
6,20.5,19.0,1.5,19.0,1.5,0.09243986254295533,0.09243986254295533,1.0,False
7,20.5,19.0,1.5,19.0,1.5,0.09072235535775419,0.09072235535775419,1.0,False
8,20.5,19.0,1.5,19.0,1.5,0.0,0.0,1.0,False
9,20.5,19.0,1.5,19.0,1.5,0.0914444059577416,0.0914444059577416,1.0,False
10,20.5,19.0,1.5,21.0,-0.5,0.0912863070539419,0.0912863070539419,1.0,False
11,20.5,19.0,1.5,21.0,-0.5,0.0912863070539419,0.0912863070539419,1.0,False
12,20.5,19.0,1.5,21.0,-0.5,0.0,0.0,1.0,False
13,20.5,19.0,1.5,21.0,-0.5,0.0,0.0,1.0,False
14,21.0,19.0,2.0,19.5,1.5,0.0,0.0,0.5,False
15,21.0,19.0,2.0,21.0,0.0,0.0,0.0,0.5,False
16,20.5,19.0,1.5,19.0,1.5,0.0,0.0,1.0,False
17,20.5,19.0,1.5,19.0,1.5,0.0,0.0,1.0,False
18,20.5,19.5,1.0,15.5,5.0,0.0,0.0,1.0,False
19,20.5,19.0,1.5,19.0,1.5,0.09275163174166953,0.09275163174166953,1.0,False
20,20.5,19.0,1.5,21.0,-0.5,0.0,0.0,1.0,False
21,20.5,19.0,1.5,21.0,-0.5,0.09237085186452275,0.09237085186452275,1.0,False
22,21.0,19.0,2.0,19.0,2.0,0.0,0.0,0.5,False
23,20.5,19.0,1.5,19.0,1.5,0.09437819420783645,0.09437819420783645,1.0,False
24,21.0,19.0,2.0,21.0,0.0,0.0,0.0,0.5,False
25,20.5,19.0,1.5,19.0,1.5,0.09286445885967907,0.09286445885967907,1.0,False
26,21.0,19.0,2.0,15.5,5.5,0.09247163973874184,0.09247163973874184,0.5,False
27,20.5,19.0,1.5,19.0,1.5,0.1862611073137389,0.1862611073137389,1.0,False
28,20.5,19.0,1.5,19.0,1.5,0.18865979381443299,0.18865979381443299,1.0,False
29,20.5,19.0,1.5,17.5,3.0,0.18829168093118795,0.18829168093118795,1.0,False
30,20.5,19.0,1.5,17.5,3.0,0.1885498800137127,0.1885498800137127,1.5,False
31,19.5,19.0,0.5,15.5,4.0,0.19295244611700307,0.09476565172767705,0.5,False
32,21.0,19.0,2.0,19.0,2.0,0.19104579630895419,0.19104579630895419,0.5,False
33,20.5,19.0,1.5,17.5,3.0,0.19150370869858396,0.19150370869858396,1.5,False
34,20.5,19.0,1.5,19.0,1.5,0.19178547182620503,0.19178547182620503,1.5,False
35,20.5,19.0,1.5,19.0,1.5,0.1904923599320883,0.1904923599320883,1.5,False
36,20.5,19.0,1.5,19.0,1.5,0.1903137789904502,0.1903137789904502,1.5,False
37,20.5,19.0,1.5,21.0,-0.5,0.18788291354663034,0.18788291354663034,1.5,False
38,21.0,19.0,2.0,17.5,3.5,0.0,0.0,0.5,False
39,21.0,20.0,1.0,19.5,1.5,0.0932145305003427,0.0,0.5,False
40,21.5,19.5,2.0,20.5,1.0,0.09265734265734266,0.09265734265734266,1.0,False
41,21.0,20.5,0.5,20.5,0.5,0.0,0.0,0.5,False
42,21.5,20.5,1.0,21.5,0.0,0.19029593943565037,0.09635237439779766,1.0,False
43,21.5,20.5,1.0,18.5,3.0,0.0,0.0,1.0,False
44,22.0,20.0,2.0,20.5,1.5,0.09266276265931794,0.0,0.5,False
45,23.0,21.5,1.5,19.0,4.0,0.0,0.0,0.5,False
46,23.0,22.5,0.5,21.0,2.0,0.0,0.0,0.5,False
47,22.5,22.5,0.0,20.5,2.0,0.0,0.0,0.5,False
48,23.0,22.5,0.5,19.5,3.5,0.09230769230769231,0.0,1.0,False
49,23.0,22.5,0.5,17.5,5.5,0.0,0.0,0.5,False
50,24.0,22.5,1.5,21.0,3.0,0.09278350515463918,0.09278350515463918,0.5,False
51,23.5,23.5,0.0,21.0,2.5,0.09417199715707178,0.09417199715707178,1.5,False
52,23.5,21.0,2.5,19.5,4.0,0.2954388389771942,0.18901174844505875,0.5,False
53,23.0,23.0,0.0,16.0,7.0,0.28879753340184994,0.09695101062007537,2.5,False
54,22.5,23.5,-1.0,20.0,2.5,0.2877723120168658,0.09241040056219255,1.5,False
55,23.5,20.0,3.5,21.0,2.5,0.19743233865371268,0.10235947258848022,1.0,False
56,24.5,21.5,3.0,21.0,3.5,0.19050917907862835,0.19050917907862835,1.0,False
57,24.5,24.0,0.5,19.5,5.0,0.1871713985278654,0.1871713985278654,1.0,False
58,21.5,23.5,-2.0,17.0,4.5,0.2854188210961738,0.09720785935884178,1.5,False
59,21.5,21.5,0.0,18.0,3.5,0.1979889042995839,0.10332871012482663,0.5,False
60,24.0,21.0,3.0,18.0,6.0,0.3773059519665854,0.3773059519665854,3.0,False
61,24.0,17.0,7.0,17.0,7.0,0.2996216030271758,0.20192638458892329,2.5,True
62,24.0,17.0,7.0,21.0,3.0,0.4071550255536627,0.317206132879046,3.0,True
63,24.5,17.0,7.5,21.5,3.0,0.3879128601546029,0.3879128601546029,11.0,False
64,22.0,15.0,7.0,22.0,0.0,0.28828522920203736,0.19083191850594228,0.5,True
65,24.0,24.5,-0.5,21.5,2.5,0.3011756569847856,0.20401106500691563,2.5,False
66,23.5,21.5,2.0,21.5,2.0,0.3810375670840787,0.2855098389982111,2.0,False
67,21.5,16.0,5.5,20.5,1.0,0.39314166955316937,0.2978870800138552,7.5,True
68,15.5,21.5,-6.0,15.5,0.0,0.09527145359019265,0.0,1.5,False
69,25.0,19.5,5.5,21.5,3.5,0.38331609789727683,0.38331609789727683,3.5,True
70,21.5,21.5,0.0,26.0,-4.5,0.4042704626334519,0.3053380782918149,9.0,False
71,26.5,12.5,14.0,22.0,4.5,0.29562542720437457,0.29562542720437457,2.5,True
72,26.5,14.5,12.0,25.0,1.5,0.2976027397260274,0.2976027397260274,1.5,True
73,27.0,25.0,2.0,21.0,6.0,0.2988826815642458,0.2988826815642458,2.0,False
74,27.0,25.0,2.0,14.5,12.5,0.28517110266159695,0.28517110266159695,0.5,False
75,26.5,14.0,12.5,27.0,-0.5,0.48249299719887956,0.48249299719887956,11.5,True
76,27.5,23.0,4.5,27.5,0.0,0.19494841693347564,0.0999644254713625,0.5,False
77,27.0,25.0,2.0,27.0,0.0,0.29512893982808025,0.29512893982808025,2.0,False
78,26.0,25.0,1.0,25.0,1.0,0.29499467518636846,0.29499467518636846,1.0,False
79,26.0,25.0,1.0,26.0,0.0,0.2966804979253112,0.2966804979253112,0.5,False
80,27.0,25.0,2.0,27.0,0.0,0.29953254225098885,0.29953254225098885,1.5,False
81,27.5,23.5,4.0,25.5,2.0,0.1925925925925926,0.1925925925925926,0.5,False
82,27.5,25.5,2.0,23.0,4.5,0.2895114942528736,0.2895114942528736,2.0,False
83,27.5,18.5,9.0,23.0,4.5,0.28576449912126534,0.28576449912126534,1.0,False
84,27.5,25.0,2.5,23.5,4.0,0.28296507483962935,0.28296507483962935,1.0,False
85,27.0,25.0,2.0,25.5,1.5,0.1918250268913589,0.1918250268913589,0.5,False
86,27.5,25.0,2.5,25.0,2.5,0.09606356085229324,0.09606356085229324,0.5,False
87,27.5,25.5,2.0,24.0,3.5,0.19225302061122956,0.19225302061122956,2.0,False
88,27.5,25.5,2.0,20.5,7.0,0.2846455290345564,0.2846455290345564,2.0,False
89,27.5,25.5,2.0,16.5,11.0,0.1987156617909383,0.1987156617909383,1.5,False
90,27.0,23.5,3.5,20.5,6.5,0.2913185615691972,0.2913185615691972,0.5,False
91,28.0,26.5,1.5,26.5,1.5,0.1960059171597633,0.1960059171597633,1.0,False
92,28.5,25.0,3.5,23.5,5.0,0.3905563689604685,0.3905563689604685,0.5,False
93,27.0,16.5,10.5,21.0,6.0,0.3959352653368461,0.3018441851712458,6.0,True
94,27.5,17.5,10.0,19.0,8.5,0.4964512514008218,0.4964512514008218,11.5,True
95,29.0,17.5,11.5,16.5,12.5,0.30271858927259365,0.30271858927259365,1.5,False
96,28.5,16.0,12.5,21.5,7.0,0.28829160530191456,0.1958762886597938,2.5,True
97,30.0,28.0,2.0,30.0,0.0,0.289010989010989,0.19304029304029302,1.5,False
98,29.5,29.5,0.0,20.0,9.5,0.29316207026822816,0.29316207026822816,0.5,False
99,30.5,22.0,8.5,22.5,8.0,0.2999622213826974,0.2999622213826974,1.5,False
100,30.0,30.5,-0.5,22.0,8.0,0.29920664903664523,0.29920664903664523,2.5,False
101,30.0,23.0,7.0,20.0,10.0,0.30086893555394645,0.30086893555394645,0.5,True
102,28.0,23.0,5.0,19.5,8.5,0.30780614132445433,0.2045874953755087,5.0,False
103,30.5,19.5,11.0,18.5,12.0,0.3032694475760992,0.3032694475760992,1.0,True
104,29.5,19.0,10.5,23.0,6.5,0.2946395563770795,0.2946395563770795,1.5,True
105,30.5,29.5,1.0,27.5,3.0,0.2036149022500922,0.2036149022500922,2.5,False
106,30.5,30.5,0.0,20.5,10.0,0.296969696969697,0.296969696969697,0.5,False
107,23.5,30.5,-7.0,17.5,6.0,0.2958955223880597,0.2958955223880597,4.5,False
108,31.5,19.0,12.5,22.5,9.0,0.29253030895580756,0.29253030895580756,1.5,True
109,31.0,31.5,-0.5,14.5,16.5,0.38223938223938225,0.38223938223938225,0.5,False
110,31.5,31.0,0.5,28.0,3.5,0.2911392405063291,0.2911392405063291,1.0,False
111,32.0,31.5,0.5,19.5,12.5,0.3948756593820648,0.3948756593820648,0.5,False
112,32.0,31.0,1.0,19.5,12.5,0.49904470768055026,0.49904470768055026,12.5,False
113,32.0,19.5,12.5,19.5,12.5,0.39922928709055877,0.39922928709055877,0.5,True
114,32.0,19.5,12.5,30.5,1.5,0.39534883720930236,0.39534883720930236,1.5,True
