rule_text,rule_json,flagged_frames,oracle_tp,oracle_fp,oracle_fn,oracle_precision,oracle_recall
mass_below_10deg >= 0.3 and best_upper_share <= 0.1,"[[""mass_below_10deg"", "">="", 0.3], [""best_upper_share"", ""<="", 0.1]]",9,7,2,121,0.7777777777777778,0.0546875
mass_below_10deg >= 0.22 and best_lower_gap >= 5 and best_upper_share <= 0.1,"[[""mass_below_10deg"", "">="", 0.22], [""best_lower_gap"", "">="", 5.0], [""best_upper_share"", ""<="", 0.1]]",8,6,2,122,0.75,0.046875
mass_below_10deg >= 0.22 and best_upper_share <= 0.1 and delta_localmax_deg >= 6,"[[""mass_below_10deg"", "">="", 0.22], [""best_upper_share"", ""<="", 0.1], [""delta_localmax_deg"", "">="", 6.0]]",5,3,2,125,0.6,0.0234375
mass_below_10deg >= 0.22 and best_upper_share <= 0.1,"[[""mass_below_10deg"", "">="", 0.22], [""best_upper_share"", ""<="", 0.1]]",13,7,6,121,0.5384615384615384,0.0546875
best_lower_gap >= 9 and best_upper_share <= 0.1 and delta_localmax_deg >= 6,"[[""best_lower_gap"", "">="", 9.0], [""best_upper_share"", ""<="", 0.1], [""delta_localmax_deg"", "">="", 6.0]]",6,3,3,125,0.5,0.0234375
mass_below_10deg >= 0.18 and best_lower_gap >= 5 and best_upper_share <= 0.1,"[[""mass_below_10deg"", "">="", 0.18], [""best_lower_gap"", "">="", 5.0], [""best_upper_share"", ""<="", 0.1]]",13,6,7,122,0.46153846153846156,0.046875
best_lower_gap >= 5 and best_upper_share <= 0.1 and delta_localmax_deg >= 6,"[[""best_lower_gap"", "">="", 5.0], [""best_upper_share"", ""<="", 0.1], [""delta_localmax_deg"", "">="", 6.0]]",7,3,4,125,0.42857142857142855,0.0234375
mass_below_10deg >= 0.3 and gap_to_lower_deg >= 8 and top_family_angle_offset <= -6,"[[""mass_below_10deg"", "">="", 0.3], [""gap_to_lower_deg"", "">="", 8.0], [""top_family_angle_offset"", ""<="", -6.0]]",12,5,7,123,0.4166666666666667,0.0390625
mass_below_10deg >= 0.22 and best_upper_share <= 0.1 and cum_before_selected >= 0.46,"[[""mass_below_10deg"", "">="", 0.22], [""best_upper_share"", ""<="", 0.1], [""cum_before_selected"", "">="", 0.46]]",5,2,3,126,0.4,0.015625
mass_below_10deg >= 0.3 and gap_to_lower_deg >= 6 and top_family_angle_offset <= -6,"[[""mass_below_10deg"", "">="", 0.3], [""gap_to_lower_deg"", "">="", 6.0], [""top_family_angle_offset"", ""<="", -6.0]]",13,5,8,123,0.38461538461538464,0.0390625
gap_to_lower_deg >= 8 and best_lower_gap >= 9 and top_family_angle_offset <= -6,"[[""gap_to_lower_deg"", "">="", 8.0], [""best_lower_gap"", "">="", 9.0], [""top_family_angle_offset"", ""<="", -6.0]]",13,5,8,123,0.38461538461538464,0.0390625
mass_below_10deg >= 0.18 and gap_to_lower_deg >= 6 and top_family_angle_offset <= -6,"[[""mass_below_10deg"", "">="", 0.18], [""gap_to_lower_deg"", "">="", 6.0], [""top_family_angle_offset"", ""<="", -6.0]]",22,8,14,120,0.36363636363636365,0.0625
gap_to_lower_deg >= 6 and best_upper_share <= 0.12 and top_family_angle_offset <= -6,"[[""gap_to_lower_deg"", "">="", 6.0], [""best_upper_share"", ""<="", 0.12], [""top_family_angle_offset"", ""<="", -6.0]]",22,8,14,120,0.36363636363636365,0.0625
gap_to_lower_deg >= 8 and top_family_angle_offset <= -6,"[[""gap_to_lower_deg"", "">="", 8.0], [""top_family_angle_offset"", ""<="", -6.0]]",14,5,9,123,0.35714285714285715,0.0390625
mass_below_10deg >= 0.3 and gap_to_lower_deg >= 4 and top_family_angle_offset <= -6,"[[""mass_below_10deg"", "">="", 0.3], [""gap_to_lower_deg"", "">="", 4.0], [""top_family_angle_offset"", ""<="", -6.0]]",14,5,9,123,0.35714285714285715,0.0390625
mass_below_10deg >= 0.22 and gap_to_lower_deg >= 6 and top_family_angle_offset <= -6,"[[""mass_below_10deg"", "">="", 0.22], [""gap_to_lower_deg"", "">="", 6.0], [""top_family_angle_offset"", ""<="", -6.0]]",17,6,11,122,0.35294117647058826,0.046875
gap_to_lower_deg >= 8 and best_upper_share <= 0.12 and selected_is_top_family <= 0,"[[""gap_to_lower_deg"", "">="", 8.0], [""best_upper_share"", ""<="", 0.12], [""selected_is_top_family"", ""<="", 0.0]]",20,7,13,121,0.35,0.0546875
gap_to_lower_deg >= 6 and top_family_angle_offset <= -6,"[[""gap_to_lower_deg"", "">="", 6.0], [""top_family_angle_offset"", ""<="", -6.0]]",23,8,15,120,0.34782608695652173,0.0625
gap_to_lower_deg >= 8 and selected_is_top_family <= 0 and selected_family_share <= 0.18,"[[""gap_to_lower_deg"", "">="", 8.0], [""selected_is_top_family"", ""<="", 0.0], [""selected_family_share"", ""<="", 0.18]]",42,14,28,114,0.3333333333333333,0.109375
top_family_angle_offset <= -6 and delta_localmax_deg >= 8 and cum_before_selected >= 0.46,"[[""top_family_angle_offset"", ""<="", -6.0], [""delta_localmax_deg"", "">="", 8.0], [""cum_before_selected"", "">="", 0.46]]",12,4,8,124,0.3333333333333333,0.03125
gap_to_lower_deg >= 8 and best_lower_gap >= 9 and selected_family_share <= 0.18,"[[""gap_to_lower_deg"", "">="", 8.0], [""best_lower_gap"", "">="", 9.0], [""selected_family_share"", ""<="", 0.18]]",44,14,30,114,0.3181818181818182,0.109375
mass_below_10deg >= 0.3 and gap_to_lower_deg >= 8 and selected_family_share <= 0.18,"[[""mass_below_10deg"", "">="", 0.3], [""gap_to_lower_deg"", "">="", 8.0], [""selected_family_share"", ""<="", 0.18]]",41,13,28,115,0.3170731707317073,0.1015625
mass_below_10deg >= 0.22 and gap_to_lower_deg >= 4 and top_family_angle_offset <= -6,"[[""mass_below_10deg"", "">="", 0.22], [""gap_to_lower_deg"", "">="", 4.0], [""top_family_angle_offset"", ""<="", -6.0]]",19,6,13,122,0.3157894736842105,0.046875
gap_to_lower_deg >= 6 and best_lower_gap >= 9 and top_family_angle_offset <= -6,"[[""gap_to_lower_deg"", "">="", 6.0], [""best_lower_gap"", "">="", 9.0], [""top_family_angle_offset"", ""<="", -6.0]]",19,6,13,122,0.3157894736842105,0.046875
gap_to_lower_deg >= 8 and selected_family_share <= 0.18,"[[""gap_to_lower_deg"", "">="", 8.0], [""selected_family_share"", ""<="", 0.18]]",48,15,33,113,0.3125,0.1171875
mass_below_10deg >= 0.3 and gap_to_lower_deg >= 6 and selected_family_share <= 0.18,"[[""mass_below_10deg"", "">="", 0.3], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.18]]",48,15,33,113,0.3125,0.1171875
gap_to_lower_deg >= 8 and best_upper_share <= 0.12 and selected_family_share <= 0.18,"[[""gap_to_lower_deg"", "">="", 8.0], [""best_upper_share"", ""<="", 0.12], [""selected_family_share"", ""<="", 0.18]]",26,8,18,120,0.3076923076923077,0.0625
mass_below_10deg >= 0.18 and best_upper_share <= 0.1 and delta_localmax_deg >= 8,"[[""mass_below_10deg"", "">="", 0.18], [""best_upper_share"", ""<="", 0.1], [""delta_localmax_deg"", "">="", 8.0]]",13,4,9,124,0.3076923076923077,0.03125
gap_to_lower_deg >= 8 and best_lower_gap >= 9 and selected_is_top_family <= 0,"[[""gap_to_lower_deg"", "">="", 8.0], [""best_lower_gap"", "">="", 9.0], [""selected_is_top_family"", ""<="", 0.0]]",60,18,42,110,0.3,0.140625
best_lower_gap >= 9 and best_upper_share <= 0.1,"[[""best_lower_gap"", "">="", 9.0], [""best_upper_share"", ""<="", 0.1]]",20,6,14,122,0.3,0.046875
mass_below_10deg >= 0.22 and gap_to_lower_deg >= 8 and selected_family_share <= 0.18,"[[""mass_below_10deg"", "">="", 0.22], [""gap_to_lower_deg"", "">="", 8.0], [""selected_family_share"", ""<="", 0.18]]",47,14,33,114,0.2978723404255319,0.109375
mass_below_10deg >= 0.18 and gap_to_lower_deg >= 4 and top_family_angle_offset <= -6,"[[""mass_below_10deg"", "">="", 0.18], [""gap_to_lower_deg"", "">="", 4.0], [""top_family_angle_offset"", ""<="", -6.0]]",27,8,19,120,0.2962962962962963,0.0625
gap_to_lower_deg >= 8 and selected_is_top_family <= 0,"[[""gap_to_lower_deg"", "">="", 8.0], [""selected_is_top_family"", ""<="", 0.0]]",65,19,46,109,0.2923076923076923,0.1484375
mass_below_10deg >= 0.22 and gap_to_lower_deg >= 8 and selected_is_top_family <= 0,"[[""mass_below_10deg"", "">="", 0.22], [""gap_to_lower_deg"", "">="", 8.0], [""selected_is_top_family"", ""<="", 0.0]]",63,18,45,110,0.2857142857142857,0.140625
mass_below_10deg >= 0.3 and gap_to_lower_deg >= 6 and selected_is_top_family <= 0,"[[""mass_below_10deg"", "">="", 0.3], [""gap_to_lower_deg"", "">="", 6.0], [""selected_is_top_family"", ""<="", 0.0]]",56,16,40,112,0.2857142857142857,0.125
mass_below_10deg >= 0.3 and gap_to_lower_deg >= 8 and selected_is_top_family <= 0,"[[""mass_below_10deg"", "">="", 0.3], [""gap_to_lower_deg"", "">="", 8.0], [""selected_is_top_family"", ""<="", 0.0]]",49,14,35,114,0.2857142857142857,0.109375
mass_below_10deg >= 0.18 and gap_to_lower_deg >= 4 and top_family_angle_offset <= -4,"[[""mass_below_10deg"", "">="", 0.18], [""gap_to_lower_deg"", "">="", 4.0], [""top_family_angle_offset"", ""<="", -4.0]]",28,8,20,120,0.2857142857142857,0.0625
mass_below_10deg >= 0.3 and best_lower_gap >= 9 and top_family_angle_offset <= -6,"[[""mass_below_10deg"", "">="", 0.3], [""best_lower_gap"", "">="", 9.0], [""top_family_angle_offset"", ""<="", -6.0]]",28,8,20,120,0.2857142857142857,0.0625
mass_below_10deg >= 0.3 and top_family_angle_offset <= -6 and selected_family_share <= 0.18,"[[""mass_below_10deg"", "">="", 0.3], [""top_family_angle_offset"", ""<="", -6.0], [""selected_family_share"", ""<="", 0.18]]",28,8,20,120,0.2857142857142857,0.0625
top_family_angle_offset <= -2 and delta_localmax_deg >= 8 and cum_before_selected >= 0.46,"[[""top_family_angle_offset"", ""<="", -2.0], [""delta_localmax_deg"", "">="", 8.0], [""cum_before_selected"", "">="", 0.46]]",14,4,10,124,0.2857142857142857,0.03125
mass_below_10deg >= 0.3 and top_family_angle_offset <= -6,"[[""mass_below_10deg"", "">="", 0.3], [""top_family_angle_offset"", ""<="", -6.0]]",29,8,21,120,0.27586206896551724,0.0625
best_lower_gap >= 5 and best_upper_share <= 0.1,"[[""best_lower_gap"", "">="", 5.0], [""best_upper_share"", ""<="", 0.1]]",22,6,16,122,0.2727272727272727,0.046875
gap_to_lower_deg >= 8 and selected_family_share <= 0.18 and cum_before_selected >= 0.46,"[[""gap_to_lower_deg"", "">="", 8.0], [""selected_family_share"", ""<="", 0.18], [""cum_before_selected"", "">="", 0.46]]",22,6,16,122,0.2727272727272727,0.046875
gap_to_lower_deg >= 4 and best_upper_share <= 0.12 and top_family_angle_offset <= -6,"[[""gap_to_lower_deg"", "">="", 4.0], [""best_upper_share"", ""<="", 0.12], [""top_family_angle_offset"", ""<="", -6.0]]",30,8,22,120,0.26666666666666666,0.0625
best_upper_share <= 0.1 and delta_localmax_deg >= 8,"[[""best_upper_share"", ""<="", 0.1], [""delta_localmax_deg"", "">="", 8.0]]",15,4,11,124,0.26666666666666666,0.03125
best_lower_gap >= 9 and top_family_angle_offset <= -6 and delta_localmax_deg >= 8,"[[""best_lower_gap"", "">="", 9.0], [""top_family_angle_offset"", ""<="", -6.0], [""delta_localmax_deg"", "">="", 8.0]]",15,4,11,124,0.26666666666666666,0.03125
top_family_angle_offset <= -6 and delta_localmax_deg >= 6 and cum_before_selected >= 0.46,"[[""top_family_angle_offset"", ""<="", -6.0], [""delta_localmax_deg"", "">="", 6.0], [""cum_before_selected"", "">="", 0.46]]",15,4,11,124,0.26666666666666666,0.03125
mass_below_10deg >= 0.22 and best_lower_gap >= 9 and top_family_angle_offset <= -6,"[[""mass_below_10deg"", "">="", 0.22], [""best_lower_gap"", "">="", 9.0], [""top_family_angle_offset"", ""<="", -6.0]]",42,11,31,117,0.2619047619047619,0.0859375
mass_below_10deg >= 0.22 and top_family_angle_offset <= -6 and selected_family_share <= 0.18,"[[""mass_below_10deg"", "">="", 0.22], [""top_family_angle_offset"", ""<="", -6.0], [""selected_family_share"", ""<="", 0.18]]",42,11,31,117,0.2619047619047619,0.0859375
gap_to_lower_deg >= 6 and selected_is_top_family <= 0 and selected_family_share <= 0.18,"[[""gap_to_lower_deg"", "">="", 6.0], [""selected_is_top_family"", ""<="", 0.0], [""selected_family_share"", ""<="", 0.18]]",77,20,57,108,0.2597402597402597,0.15625
mass_below_10deg >= 0.22 and gap_to_lower_deg >= 6 and selected_is_top_family <= 0,"[[""mass_below_10deg"", "">="", 0.22], [""gap_to_lower_deg"", "">="", 6.0], [""selected_is_top_family"", ""<="", 0.0]]",81,21,60,107,0.25925925925925924,0.1640625
gap_to_lower_deg >= 4 and top_family_angle_offset <= -6,"[[""gap_to_lower_deg"", "">="", 4.0], [""top_family_angle_offset"", ""<="", -6.0]]",31,8,23,120,0.25806451612903225,0.0625
mass_below_10deg >= 0.18 and gap_to_lower_deg >= 6 and selected_family_share <= 0.18,"[[""mass_below_10deg"", "">="", 0.18], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.18]]",82,21,61,107,0.25609756097560976,0.1640625
mass_below_10deg >= 0.22 and top_family_angle_offset <= -6,"[[""mass_below_10deg"", "">="", 0.22], [""top_family_angle_offset"", ""<="", -6.0]]",43,11,32,117,0.2558139534883721,0.0859375
