frame,baseline_alpha_deg,matlab_alpha_deg,baseline_raw_error_deg,localmax_alpha_deg,delta_localmax_deg,mass_below_8deg,mass_below_10deg,gap_to_lower_deg,oracle_high_angle_overweight,n_peaks,n_unique_angles,selected_family_share,selected_family_count,cum_before_selected,cum_after_selected,crossing_margin_under,crossing_margin_over,nearest_lower_share,nearest_lower_gap,best_lower_share,best_lower_gap,best_lower_count,nearest_upper_share,nearest_upper_gap,best_upper_share,best_upper_gap,top_family_share,top_family_angle_offset,selected_is_top_family,duplicate_fraction
0,21.0,18.5,2.5,17.5,3.5,0.18353994490358128,0.18353994490358128,1.5,False,10.0,8.0,0.21522038567493113,2.0,0.4948347107438017,0.28994490358126723,0.005165289256198302,0.21005509641873288,0.09090909090909091,1.5,0.22038567493112948,2.0,2.0,0.09607438016528926,1.0,0.10227272727272728,4.5,0.22038567493112948,-2.0,0.0,0.19999999999999996
1,21.0,19.0,2.0,19.0,2.0,0.18297725706409373,0.18297725706409373,2.0,False,10.0,8.0,0.2136457615437629,2.0,0.4042039972432805,0.3821502412129566,0.09579600275671951,0.1178497587870434,0.22122674017918675,2.0,0.22122674017918675,2.0,2.0,0.0954514128187457,1.0,0.10303239145416954,4.5,0.22122674017918675,-2.0,0.0,0.19999999999999996
2,21.0,18.5,2.5,19.0,2.0,0.18272884283246976,0.18272884283246976,1.5,False,10.0,8.0,0.21450777202072538,2.0,0.49430051813471504,0.2911917098445596,0.005699481865284961,0.20880829015544045,0.08981001727115717,1.5,0.22176165803108808,2.0,2.0,0.09568221070811744,1.0,0.10328151986183075,4.5,0.22176165803108808,-2.0,0.0,0.19999999999999996
3,21.0,19.0,2.0,19.0,2.0,0.2721322769548743,0.2721322769548743,2.0,False,10.0,8.0,0.2115053393041681,2.0,0.4943162245952463,0.2941784361005856,0.005683775404753677,0.20582156389941442,0.22218394764037203,2.0,0.22218394764037203,2.0,2.0,0.09645194626248708,1.0,0.10575266965208405,4.5,0.22218394764037203,-2.0,0.0,0.19999999999999996
4,20.5,19.0,1.5,19.0,1.5,0.18322447576486767,0.18322447576486767,1.0,False,10.0,9.0,0.09522172567892746,1.0,0.49570299071845997,0.4090752836026126,0.004297009281540032,0.09092471639738742,0.09109659676864902,1.0,0.2213819181849433,1.5,2.0,0.11790993468545892,0.5,0.11790993468545892,0.5,0.2213819181849433,-1.5,0.0,0.09999999999999998
5,20.5,19.0,1.5,17.5,3.0,0.18349880178021225,0.18349880178021225,1.0,False,10.0,9.0,0.09448818897637795,1.0,0.4967476891475522,0.4087641218760698,0.003252310852447815,0.09123587812393019,0.0920917494008901,1.0,0.22115713796644984,1.5,2.0,0.11811023622047244,0.5,0.11811023622047244,0.5,0.22115713796644984,-1.5,0.0,0.09999999999999998
6,20.5,19.0,1.5,19.0,1.5,0.09243986254295533,0.09243986254295533,1.0,False,10.0,8.0,0.18316151202749142,2.0,0.4054982817869416,0.41134020618556705,0.09450171821305842,0.08865979381443301,0.19003436426116838,1.0,0.19003436426116838,1.0,2.0,0.11958762886597939,0.5,0.11958762886597939,0.5,0.19003436426116838,-1.0,0.0,0.19999999999999996
7,20.5,19.0,1.5,19.0,1.5,0.09072235535775419,0.09072235535775419,1.0,False,10.0,8.0,0.18794933242040396,2.0,0.40499828825744605,0.40705237932214994,0.09500171174255395,0.09294762067785,0.0920917494008901,1.0,0.22218418349880178,1.5,2.0,0.11708319068812051,0.5,0.11708319068812051,0.5,0.22218418349880178,-1.5,0.0,0.19999999999999996
8,20.5,19.0,1.5,19.0,1.5,0.0,0.0,1.0,False,10.0,8.0,0.18868575370817525,2.0,0.31148671955846846,0.49982752673335634,0.18851328044153154,0.00017247326664371343,0.18868575370817525,1.0,0.18868575370817525,1.0,2.0,0.11659192825112108,0.5,0.11659192825112108,0.5,0.18868575370817525,-1.0,0.0,0.19999999999999996
9,20.5,19.0,1.5,19.0,1.5,0.0914444059577416,0.0914444059577416,1.0,False,10.0,8.0,0.18981641842743333,2.0,0.4014547973675095,0.40872878420505715,0.0985452026324905,0.0912712157949428,0.18739175614825077,1.0,0.18739175614825077,1.0,2.0,0.11638378940076204,0.5,0.11638378940076204,0.5,0.18981641842743333,0.0,1.0,0.19999999999999996
