rule_text,rule_json,flagged_frames,oracle_tp,oracle_fp,oracle_fn,oracle_precision,oracle_recall
selected_is_top_family <= 0 and mass_below_10deg >= 0.18 and gap_to_lower_deg >= 6 and selected_family_share <= 0.12,"[[""selected_is_top_family"", ""<="", 0.0], [""mass_below_10deg"", "">="", 0.18], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12]]",73,19,54,102,0.2602739726027397,0.15702479338842976
selected_is_top_family <= 0 and mass_below_10deg >= 0.18 and gap_to_lower_deg >= 6 and selected_family_share <= 0.16,"[[""selected_is_top_family"", ""<="", 0.0], [""mass_below_10deg"", "">="", 0.18], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.16]]",73,19,54,102,0.2602739726027397,0.15702479338842976
selected_is_top_family <= 0 and mass_below_10deg >= 0.22 and gap_to_lower_deg >= 6 and selected_family_share <= 0.12,"[[""selected_is_top_family"", ""<="", 0.0], [""mass_below_10deg"", "">="", 0.22], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12]]",58,15,43,106,0.25862068965517243,0.12396694214876033
selected_is_top_family <= 0 and mass_below_10deg >= 0.22 and gap_to_lower_deg >= 6 and selected_family_share <= 0.16,"[[""selected_is_top_family"", ""<="", 0.0], [""mass_below_10deg"", "">="", 0.22], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.16]]",58,15,43,106,0.25862068965517243,0.12396694214876033
selected_is_top_family <= 0 and mass_below_10deg >= 0.26 and gap_to_lower_deg >= 6 and selected_family_share <= 0.12,"[[""selected_is_top_family"", ""<="", 0.0], [""mass_below_10deg"", "">="", 0.26], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.12]]",58,15,43,106,0.25862068965517243,0.12396694214876033
selected_is_top_family <= 0 and mass_below_10deg >= 0.26 and gap_to_lower_deg >= 6 and selected_family_share <= 0.16,"[[""selected_is_top_family"", ""<="", 0.0], [""mass_below_10deg"", "">="", 0.26], [""gap_to_lower_deg"", "">="", 6.0], [""selected_family_share"", ""<="", 0.16]]",58,15,43,106,0.25862068965517243,0.12396694214876033
selected_is_top_family <= 0 and best_upper_share <= 0.16 and mass_below_10deg >= 0.18 and gap_to_lower_deg >= 6,"[[""selected_is_top_family"", ""<="", 0.0], [""best_upper_share"", ""<="", 0.16], [""mass_below_10deg"", "">="", 0.18], [""gap_to_lower_deg"", "">="", 6.0]]",39,10,29,111,0.2564102564102564,0.08264462809917356
selected_is_top_family <= 0 and best_upper_share <= 0.18 and mass_below_10deg >= 0.18 and gap_to_lower_deg >= 6,"[[""selected_is_top_family"", ""<="", 0.0], [""best_upper_share"", ""<="", 0.18], [""mass_below_10deg"", "">="", 0.18], [""gap_to_lower_deg"", "">="", 6.0]]",39,10,29,111,0.2564102564102564,0.08264462809917356
selected_is_top_family <= 0 and best_upper_share >= 0.12 and gap_to_lower_deg >= 6 and delta_localmax_deg >= 4,"[[""selected_is_top_family"", ""<="", 0.0], [""best_upper_share"", "">="", 0.12], [""gap_to_lower_deg"", "">="", 6.0], [""delta_localmax_deg"", "">="", 4.0]]",43,11,32,110,0.2558139534883721,0.09090909090909091
selected_is_top_family <= 0 and mass_below_10deg >= 0.22 and gap_to_lower_deg >= 6,"[[""selected_is_top_family"", ""<="", 0.0], [""mass_below_10deg"", "">="", 0.22], [""gap_to_lower_deg"", "">="", 6.0]]",80,20,60,101,0.25,0.1652892561983471
