variable,method,unit,python_offset_frames,selected_final_alignment,offset_definition,selection_basis,n,mae,rmse,pearson_r
ANG,fixed-R,deg,-3,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2663,0.7858210998631552,0.9092037177022664,0.9952039383100652
ANG,fixed-R,deg,-2,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2664,0.7623559360650537,0.8628984424131362,0.99707201450257
ANG,fixed-R,deg,-1,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2665,0.7517362468234916,0.832321639288007,0.9982557618412187
ANG,fixed-R,deg,0,True,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2666,0.7512537092131106,0.8217797592205515,0.9986614837896617
ANG,fixed-R,deg,1,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2666,0.7557755773382453,0.8345057934816221,0.9982005727540063
ANG,fixed-R,deg,2,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2665,0.7679557182855432,0.8670473010064793,0.9969685067082115
ANG,fixed-R,deg,3,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2664,0.7909691273099776,0.9149632005357342,0.9950568990166555
ANG,adaptive anisotropic-R,deg,-3,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2663,0.9721897219159517,1.10101194948922,0.9953047425367607
ANG,adaptive anisotropic-R,deg,-2,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2664,0.9585627160309743,1.0620479834782248,0.9971949806663598
ANG,adaptive anisotropic-R,deg,-1,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2665,0.9541782464214051,1.0365116110607773,0.9984008920035323
ANG,adaptive anisotropic-R,deg,0,True,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2666,0.9546224218260495,1.0274705279143304,0.9988288156926001
ANG,adaptive anisotropic-R,deg,1,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2666,0.9565143102746304,1.0374394922169232,0.998390620100148
ANG,adaptive anisotropic-R,deg,2,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2665,0.964709734347539,1.0638562058402772,0.9971814143449564
ANG,adaptive anisotropic-R,deg,3,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2664,0.9784120761224439,1.1035325076549245,0.9952925777784276
PEN,fixed-R,deg,-3,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2663,0.8398778475205729,1.0356286669384256,0.9908237270561376
PEN,fixed-R,deg,-2,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2664,0.7982081042226321,0.9879970046147039,0.9931118985206948
PEN,fixed-R,deg,-1,False,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2665,0.7697789064609812,0.9529485030387869,0.9947162260364909
PEN,fixed-R,deg,0,True,MATLAB sample i is paired with Python physical frame i + offset,Offset 0 selected from physical-frame evidence; MATLAB timestamps use one-based frame numbering,2666,0.7561673242810986,0.9340162401816063,0.995542407552612
