frame_index_video,frame_index_matlab,matlab_sample_index_zero_based,frame_index_python,time_seconds,MATLAB_time_seconds_stored,included_in_analysis,exclusion_reason,MATLAB_ANG_deg,Python_fixed_ANG_deg,Python_adaptive_ANG_deg,MATLAB_PEN_deg,Python_fixed_PEN_deg,Python_adaptive_PEN_deg,MATLAB_FL_original_unit,MATLAB_FL_original_unit_name,Python_fixed_FL_original_unit,Python_fixed_FL_original_unit_name,Python_adaptive_FL_original_unit,Python_adaptive_FL_original_unit_name,MATLAB_FL_px_derived,Python_fixed_FL_px,Python_adaptive_FL_px,MATLAB_FL_mm,Python_fixed_FL_mm,Python_adaptive_FL_mm,fixed_minus_matlab_ANG_deg,adaptive_minus_matlab_ANG_deg,fixed_minus_matlab_PEN_deg,adaptive_minus_matlab_PEN_deg,fixed_minus_matlab_FL_mm,adaptive_minus_matlab_FL_mm,absolute_error_fixed_ANG_deg,absolute_error_adaptive_ANG_deg,absolute_error_fixed_PEN_deg,absolute_error_adaptive_PEN_deg,absolute_error_fixed_FL_mm,absolute_error_adaptive_FL_mm,adaptive_confidence_score,adaptive_confidence_angle,adaptive_confidence_length,adaptive_R_scale_global,adaptive_R_scale_angle,adaptive_R_scale_length,adaptive_angle_measurement_covariance_deg2,adaptive_length_side_measurement_covariance_px2,fixed_R_scale_angle,fixed_R_scale_length,fixed_angle_measurement_covariance_deg2,fixed_length_side_measurement_covariance_px2,adaptive_kalman_gain_length_side,adaptive_kalman_gain_angle,fixed_kalman_gain_length_side,fixed_kalman_gain_angle,adaptive_smoother_gain_length_side,adaptive_smoother_gain_angle,fixed_smoother_gain_length_side,fixed_smoother_gain_angle,detection_success,missing_detection_flag,hough_localmax_fallback_flag,hough_peak_source,raw_timtrack_alpha_deg,selected_timtrack_alpha_deg,hough_baseline_alpha_deg,hough_fallback_mass_below_10deg,hough_fallback_gap_to_lower_deg,fascicle_candidate_raw_rejected,fascicle_candidate_selection_reason,klt_affine_ok,klt_tracker_redetected,klt_tracker_found_fraction,klt_points_count,klt_tracked_count,klt_inlier_count,superficial_aponeurosis_rejected,deep_aponeurosis_rejected,MATLAB_superficial_x_left_1b,MATLAB_superficial_y_left_1b,MATLAB_superficial_x_right_1b,MATLAB_superficial_y_right_1b,MATLAB_deep_x_left_1b,MATLAB_deep_y_left_1b,MATLAB_deep_x_right_1b,MATLAB_deep_y_right_1b,Python_superficial_x_left_1b,Python_superficial_y_left_1b,Python_superficial_x_right_1b,Python_superficial_y_right_1b,Python_deep_x_left_1b,Python_deep_y_left_1b,Python_deep_x_right_1b,Python_deep_y_right_1b,MATLAB_fascicle_superficial_x_1b,MATLAB_fascicle_superficial_y_1b,MATLAB_fascicle_deep_x_1b,MATLAB_fascicle_deep_y_1b,Python_adaptive_fascicle_superficial_x_1b,Python_adaptive_fascicle_superficial_y_1b,Python_adaptive_fascicle_deep_x_1b,Python_adaptive_fascicle_deep_y_1b,Python_fixed_fascicle_superficial_x_1b,Python_fixed_fascicle_superficial_y_1b,Python_fixed_fascicle_deep_x_1b,Python_fixed_fascicle_deep_y_1b
0,1,0,0,0.0,0.029993091648583443,True,,18.520488637203375,18.8000000181799,18.8000000181799,20.387454154337288,18.8000000181799,18.8000000181799,72.30705044734124,mm,76.03680262647373,mm,76.03680262647373,mm,801.5101055504097,842.8537095873419,842.8537095873419,72.30705044734124,76.03680262647373,76.03680262647373,0.27951138097652617,0.27951138097652617,-1.5874541361573868,-1.5874541361573868,3.7297521791324897,3.7297521791324897,0.27951138097652617,0.27951138097652617,1.5874541361573868,1.5874541361573868,3.7297521791324897,3.7297521791324897,0.9717881431420483,0.9607275267109914,1.0,0.5924021590187162,0.6517633801611221,0.5,1.9913275136803883,50.0,1.0,1.0,3.055292111054342,100.0,,,,,0.0,1.0,0.0,1.0,True,False,False,houghpeaks,20.5,20.5,20.5,0.18337912087912087,1.5,False,candidate persistence disabled,False,False,,300,0,0,False,False,1.0,36.85315315315316,706.0,53.770843570843574,1.0,309.92612612612623,706.0,332.90647010647007,1.0,43.32377910375752,706.0,49.476220896242474,1.0,321.5,706.0,321.5,733.0000000000001,54.41875511875512,-26.999999999999805,309.01343161343175,751.9434200702851,49.87716304905115,-45.943420410156385,321.5,751.9434200702851,49.87716304905115,-45.943420410156385,321.5
1,2,1,1,0.02999310158663507,0.05998618329716689,True,,18.520433447527072,18.799391022363608,18.79939102236358,20.388171753751934,18.800074237066354,18.800074237066326,72.3041431985567,mm,76.0370674421246,mm,76.03706744526541,mm,801.4778792423839,842.8566450192114,842.8566450540268,72.3041431985567,76.0370674421246,76.03706744526541,0.2789575748365358,0.2789575748365074,-1.588097516685579,-1.5880975166856075,3.7329242435678935,3.7329242467087056,0.2789575748365358,0.2789575748365074,1.588097516685579,1.5880975166856075,3.7329242435678935,3.7329242467087056,0.9696385553013782,0.9542899578744511,0.9981184331626318,0.6031616454717372,0.690568907241853,0.501591527277178,2.109889734435451,50.1591527277178,1.0,1.0,3.055292111054342,100.0,7.05508328949246e-08,0.0,3.538770126678464e-08,0.0,0.6966970957817584,1.0,0.696697103212089,1.0,True,False,False,houghpeaks,21.0,21.0,21.0,0.18353994490358128,1.5,False,candidate persistence disabled,True,False,1.0,300,300,300,False,False,1.0,36.94216233189386,706.0,53.782718247316595,1.0,309.92388923183233,706.0,332.913752158052,1.0,43.31953961101984,706.0,49.48042936173085,1.0,321.4975128815003,706.0,321.5059195454737,732.9516822421467,54.42652152648479,-27.018005672147815,309.01022950152196,751.9123452336512,49.88165049248419,-45.98016114341815,321.4969526738008,751.9123465193082,49.88165050371936,-45.98015982480307,321.49695267381657
2,3,2,2,0.05998620317327014,0.08997927494575034,True,,18.519919797703597,18.798627894467018,18.798627894467018,20.388370525815716,18.800127248490668,18.800127248490668,72.30361344229226,mm,76.03747187215855,mm,76.03747187666653,mm,801.4720069934565,842.861128050357,842.861128100327,72.30361344229226,76.03747187215855,76.03747187666653,0.27870809676342034,0.27870809676342034,-1.5882432773250486,-1.5882432773250486,3.733858429866288,3.7338584343742696,0.27870809676342034,0.27870809676342034,1.5882432773250486,1.5882432773250486,3.733858429866288,3.7338584343742696,0.9717165900363939,0.9606318838555219,0.9999848766577928,0.5927539181370016,0.6523181166834225,0.5000011468491061,1.9930223958006865,50.00011468491061,1.0,1.0,3.055292111054342,100.0,1.0158680285383096e-07,0.0,5.07935217559616e-08,0.0,0.23362481528931514,1.0,0.23362482876979737,1.0,True,False,False,houghpeaks,21.0,21.0,21.0,0.18297725706409373,2.0,False,candidate persistence disabled,True,False,1.0,300,300,300,False,False,1.0,36.968851933630184,706.0,53.78926949647129,1.0,309.92152924085883,706.0,332.92016753825976,1.0,43.31432723626336,706.0,49.48531060732128,1.0,321.4943037247438,706.0,321.5127526331258,732.9179792560695,54.4314987887195,-27.048422795809106,309.00652848810233,751.8854694445337,49.88695382564101,-46.014898438676,321.49307340764614,751.8854712898163,49.88695384179307,-46.01489654608891,321.49307340769565
3,4,3,3,0.08997930475990522,0.11997236659433377,True,,18.51758253797967,18.794835242203987,18.794835242203987,20.387862677467417,18.79825846297291,18.79825846297291,72.30634400456518,mm,76.04616962725662,mm,76.04616964655274,mm,801.5022747646079,842.9575410358622,842.9575412497561,72.30634400456518,76.04616962725662,76.04616964655274,0.2772527042243169,0.2772527042243169,-1.589604214494507,-1.589604214494507,3.7398256226914413,3.739825641987565,0.2772527042243169,0.2772527042243169,1.589604214494507,1.589604214494507,3.7398256226914413,3.739825641987565,0.9717872726117553,0.960745753649145,0.9999133210697875,0.5924064359172284,0.6516577389626739,0.5000157363832972,1.991004748960167,50.001573638329724,1.0,1.0,3.055292111054342,100.0,4.3481594385759537e-07,0.0,2.174148654497009e-07,0.0,0.5609002617109635,1.0,0.5609003195871866,1.0,True,False,False,houghpeaks,21.0,21.0,21.0,0.18272884283246976,1.5,False,candidate persistence disabled,True,False,1.0,300,300,300,False,False,1.0,36.97324819021389,706.0,53.80167480409977,1.0,309.91546556158863,706.0,332.9366379604674,1.0,43.30220207055576,706.0,49.49698839834123,1.0,321.4870941234363,706.0,321.52921538726173,732.8677828136041,54.443011699641,-27.137704148777786,308.99665288340753,751.8548516556046,49.89991181408416,-46.15476548513553,321.48427679248925,751.8548595532873,49.899911883480556,-46.154757384964114,321.4842767929732
4,5,4,4,0.11997240634654029,0.1499654582429172,True,,18.514816747320342,18.79100850792699,18.79100850792699,20.386083588973428,18.795684253904113,18.795684253904113,72.31269435103422,mm,76.05700232111269,mm,76.05700235551755,mm,801.5726671653102,843.0776194174621,843.0776197988336,72.31269435103422,76.05700232111269,76.05700235551755,0.27619176060664685,0.27619176060664685,-1.5903993350693142,-1.5903993350693142,3.7443079700784665,3.7443080044833295,0.27619176060664685,0.27619176060664685,1.5903993350693142,1.5903993350693142,3.7443079700784665,3.7443080044833295,0.9722181765044331,0.9613424175804137,0.9999124297975938,0.590297501370121,0.6482131191459555,0.5000159797191315,1.9804804292085658,50.00159797191315,1.0,1.0,3.055292111054342,100.0,7.752098275938984e-07,0.0,3.8761750276039674e-07,0.0,0.5505867280928364,0.0,0.5505868566134599,0.0,True,False,False,houghpeaks,21.0,21.0,21.0,0.27213227695487424,2.0,False,candidate persistence disabled,True,False,1.0,300,300,300,False,False,1.0,36.97625253031896,706.0,53.808157423832235,1.0,309.91101078476686,706.0,332.9443370833636,1.0,43.29383799953717,706.0,49.50414309161846,1.0,321.48154877047983,706.0,321.5390818200205,732.8453816923152,54.449092050038075,-27.239141237432175,308.9883989343925,751.8397939465409,49.907943241641384,-46.3016386341153,321.4776886179707,751.8398080259531,49.90794336566613,-46.301624193658796,321.4776886191492
5,6,5,5,0.14996550793317537,0.17995854989150065,True,,18.511249455710093,18.785570148026437,18.785576025731302,20.38317870909861,18.791302249127654,18.79130812683252,72.32170149472275,mm,76.0730056540186,mm,76.07298278100264,mm,801.6725096653685,843.255013364072,843.2547598209759,72.32170149472275,76.0730056540186,76.07298278100264,0.27432069231634415,0.2743265700212092,-1.5918764599709547,-1.5918705822660897,3.751304159295856,3.751281286279891,0.27432069231634415,0.2743265700212092,1.5918764599709547,1.5918705822660897,3.751304159295856,3.751281286279891,0.9698912474472864,0.9546552586603635,0.9980417526285269,0.6018764387367469,0.688289024186259,0.501689802466794,2.1029240257215682,50.168980246679396,1.0,1.0,3.055292111054342,100.0,1.4032709421605405e-06,1.4156571212472012e-07,7.040074153948203e-07,9.743813015626596e-08,0.7019054905803641,0.4777172620652076,0.7019056967258972,0.47771659272609107,True,False,False,houghpeaks,20.5,20.5,20.5,0.18322447576486764,1.0,False,candidate persistence disabled,True,False,1.0,300,300,300,False,False,1.0,36.97881760604096,706.0,53.813192274054444,1.0,309.90448810111934,706.0,332.94597379538544,1.0,43.28776274412909,706.0,49.51096678978438,1.0,321.4713068178604,706.0,321.54183786437346,732.8414755324009,54.45412767228814,-27.3535705744629,308.9778095326473,751.8211195659472,49.91544079923014,-46.513762068052266,321.46655334926123,751.8211450991857,49.91544102461816,-46.51400442891752,321.46655332501444
6,7,6,6,0.17995860951981044,0.2099516415400841,True,,18.507505032136702,18.77988443649909,18.77989666524479,20.379934502384987,18.786591499495756,18.78660372824146,72.3316822289853,mm,76.09039120319167,mm,76.09034355041503,mm,801.7831442345115,843.4477289190082,843.4472006969081,72.3316822289853,76.09039120319167,76.09034355041503,0.27237940436238617,0.27239163310808934,-1.593343002889231,-1.5933307741435279,3.758708974206371,3.7586613214297273,0.27237940436238617,0.27239163310808934,1.593343002889231,1.5933307741435279,3.758708974206371,3.7586613214297273,0.9717925304325269,0.960745753649145,0.9999457814834396,0.5923806053496447,0.6516577389626739,0.5000077849541261,1.991004748960167,50.00077849541261,1.0,1.0,3.055292111054342,100.0,2.0059519633241255e-06,3.129956446350808e-07,1.0029932974814204e-06,2.0396635110816488e-07,0.8637959384510728,1.0,0.8637961378136814,1.0,True,False,False,houghpeaks,20.5,20.5,20.5,0.18349880178021225,1.0,False,candidate persistence disabled,True,False,1.0,300,300,300,False,False,1.0,36.98009258979675,706.0,53.81660395136776,1.0,309.8976028425812,706.0,332.94525006715804,1.0,43.28149713624416,706.0,49.51664806489188,1.0,321.46134914354246,706.0,321.54387667828286,732.8456753111421,54.45772099730406,-27.4709157161298,308.9668402587713,751.8135026492683,49.921831190548886,-46.730487931718095,321.4557617967326,751.8135389872234,49.92183151192851,-46.73100964853447,321.45576173566025
7,8,7,7,0.2099517111064455,0.23994473318866755,True,,18.50318897195092,18.775156199869485,18.775168407813624,20.3854945035856,18.787537370049648,18.787549577993786,72.31229981154782,mm,76.07683662655768,mm,76.07678907989288,mm,801.5682937690309,843.2974789768325,843.2969519309623,72.31229981154782,76.07683662655768,76.07678907989288,0.27196722791856587,0.2719794358627041,-1.597957133535953,-1.5979449255918148,3.764536815009862,3.7644892683450593,0.27196722791856587,0.2719794358627041,1.597957133535953,1.5979449255918148,3.764536815009862,3.7644892683450593,0.9714468732780646,0.9602762506960842,0.9999061433946882,0.5940838586005257,0.654386726894924,0.5000177309446745,1.9993426042607336,50.00177309446745,1.0,1.0,3.055292111054342,100.0,2.3222005510321982e-06,3.116902622424152e-07,1.161144498052403e-06,2.0396630950590096e-07,0.902919175749835,1.0,0.9029194058263069,1.0,True,False,False,houghpeaks,20.5,20.5,20.5,0.09243986254295533,1.0,False,candidate persistence disabled,True,False,1.0,300,300,300,False,False,1.0,36.95303651671228,706.0,53.84160677933102,1.0,309.79850131583504,706.0,332.96779980279604,1.0,43.242652304941664,706.0,49.54711719967643,1.0,321.3861105672021,706.0,321.5384555599234,732.7866617650359,54.48329248049389,-27.34535515570952,308.8669523877194,751.7384596706029,49.95613353064459,-46.68568231037861,321.3758060637631,751.7385016717683,49.956133906240154,-46.68619714144827,321.3758059525121
8,9,8,8,0.23994481269308057,0.269937824837251,True,,18.499978791062166,18.77105404185542,18.77106623070543,20.390273936583608,18.787739943157447,18.787752132007455,72.29563333136117,mm,76.0685280336468,mm,76.06848057818802,mm,801.3835489590725,843.2053797812524,843.2048537463838,72.29563333136117,76.0685280336468,76.06848057818802,0.2710752507932561,0.27108743964326365,-1.6025339934261602,-1.6025218045761527,3.772894702285626,3.772847246826842,0.2710752507932561,0.27108743964326365,1.6025339934261602,1.6025218045761527,3.772894702285626,3.772847246826842,0.9725236721765559,0.9617634107433043,0.9999210869957734,0.5888122035035056,0.6457985920446154,0.5000136696525936,1.9731033436039147,50.001366965259365,1.0,1.0,3.055292111054342,100.0,2.571895140395736e-06,3.1583516688763107e-07,1.2859874284931947e-06,2.0396626790365403e-07,0.9950393316861478,1.0,0.995039349731663,1.0,True,False,False,houghpeaks,20.5,20.5,20.5,0.09072235535775419,1.0,False,candidate persistence disabled,True,False,1.0,300,300,300,False,False,1.0,36.93047846164928,706.0,53.862926896823,1.0,309.7193740807819,706.0,332.98708797182576,1.0,43.2131482686054,706.0,49.57105881407471,1.0,321.3297989996793,706.0,321.53511186653384,732.7365848999054,54.50507703178795,-27.234485597796187,308.7875273676609,751.6831790228773,49.9830440135926,-46.673193954179254,321.315915425037,751.6832254929792,49.98304443267452,-46.673703262309864,321.3159152767143
9,10,9,9,0.26993791427971564,0.2999309164858344,True,,18.4992046034117,18.76987476844957,18.769886930630463,20.392666249831723,18.786568485542404,18.786580647723298,72.28822717813655,mm,76.06699125369974,mm,76.06694390068415,mm,801.3014531383183,843.188344863496,843.1878199641911,72.28822717813655,76.06699125369974,76.06694390068415,0.2706701650378669,0.2706823272187613,-1.60609776428932,-1.6060856021084255,3.7787640755631884,3.7787167225475997,0.2706701650378669,0.2706823272187613,1.60609776428932,1.6060856021084255,3.7787640755631884,3.7787167225475997,0.9721275260365658,0.9612360326893172,0.9998272651829824,0.590739814902845,0.648825359176353,0.5000442694817409,1.982351001343511,50.004426948174086,1.0,1.0,3.055292111054342,100.0,2.5845522147132084e-06,3.1436169855330975e-07,1.292396895493462e-06,2.039662263014241e-07,0.9877209958287441,1.0,0.9877210556193563,1.0,True,False,False,houghpeaks,20.5,20.5,20.5,0.0,1.0,False,candidate persistence disabled,True,False,1.0,300,300,300,False,False,1.0,36.933455917557254,706.0,53.86168130292364,1.0,309.68071755671133,706.0,332.9874363947772,1.0,43.21288554009786,706.0,49.571605103391825,1.0,321.308470604861,706.0,321.5138796416782,732.7405122344641,54.50376558381039,-27.15614031930841,308.74989876807695,751.6812028561001,49.98362490236471,-46.66462680641429,321.29458302318363,751.6812495579782,49.98362532359045,-46.66513468013285,321.29458287520936
