frame,time_s,MATLAB_ANG_deg,Python_normal_ANG_deg,Python_adaptive_ANG_deg,MATLAB_PEN_deg,Python_normal_PEN_deg,Python_adaptive_PEN_deg,MATLAB_FL_mm,Python_normal_FL_mm,Python_adaptive_FL_mm,Python_normal_minus_MATLAB_ANG_deg,Python_adaptive_minus_MATLAB_ANG_deg,Python_normal_minus_MATLAB_PEN_deg,Python_adaptive_minus_MATLAB_PEN_deg,Python_normal_minus_MATLAB_FL_mm,Python_adaptive_minus_MATLAB_FL_mm
0,0.029993091648583443,18.520488637203375,18.8000000181799,18.8000000181799,20.387454154337288,18.8000000181799,18.8000000181799,72.30705044734124,76.03680262647373,76.03680262647373,0.27951138097652617,0.27951138097652617,-1.5874541361573868,-1.5874541361573868,3.7297521791324897,3.7297521791324897
1,0.05998618329716689,18.520433447527072,18.799391022363608,18.79939102236358,20.388171753751934,18.800074237066354,18.800074237066326,72.3041431985567,76.0370674421246,76.03706744526541,0.2789575748365358,0.2789575748365074,-1.588097516685579,-1.5880975166856075,3.7329242435678935,3.7329242467087056
2,0.08997927494575034,18.519919797703597,18.798627894467018,18.798627894467018,20.388370525815716,18.800127248490668,18.800127248490668,72.30361344229226,76.03747187215855,76.03747187666653,0.27870809676342034,0.27870809676342034,-1.5882432773250486,-1.5882432773250486,3.733858429866288,3.7338584343742696
3,0.11997236659433377,18.51758253797967,18.794835242203987,18.794835242203987,20.387862677467417,18.79825846297291,18.79825846297291,72.30634400456518,76.04616962725662,76.04616964655274,0.2772527042243169,0.2772527042243169,-1.589604214494507,-1.589604214494507,3.7398256226914413,3.739825641987565
4,0.1499654582429172,18.514816747320342,18.79100850792699,18.79100850792699,20.386083588973428,18.795684253904113,18.795684253904113,72.31269435103422,76.05700232111269,76.05700235551755,0.27619176060664685,0.27619176060664685,-1.5903993350693142,-1.5903993350693142,3.7443079700784665,3.7443080044833295
5,0.17995854989150065,18.511249455710093,18.785570148026437,18.785576025731302,20.38317870909861,18.791302249127654,18.79130812683252,72.32170149472275,76.0730056540186,76.07298278100264,0.27432069231634415,0.2743265700212092,-1.5918764599709547,-1.5918705822660897,3.751304159295856,3.751281286279891
6,0.2099516415400841,18.507505032136702,18.77988443649909,18.77989666524479,20.379934502384987,18.786591499495756,18.78660372824146,72.3316822289853,76.09039120319167,76.09034355041503,0.27237940436238617,0.27239163310808934,-1.593343002889231,-1.5933307741435279,3.758708974206371,3.7586613214297273
7,0.23994473318866755,18.50318897195092,18.775156199869485,18.775168407813624,20.3854945035856,18.787537370049648,18.787549577993786,72.31229981154782,76.07683662655768,76.07678907989288,0.27196722791856587,0.2719794358627041,-1.597957133535953,-1.5979449255918148,3.764536815009862,3.7644892683450593
8,0.269937824837251,18.499978791062166,18.77105404185542,18.77106623070543,20.390273936583608,18.787739943157447,18.787752132007455,72.29563333136117,76.0685280336468,76.06848057818802,0.2710752507932561,0.27108743964326365,-1.6025339934261602,-1.6025218045761527,3.772894702285626,3.772847246826842
9,0.2999309164858344,18.4992046034117,18.76987476844957,18.769886930630463,20.392666249831723,18.786568485542404,18.786580647723298,72.28822717813655,76.06699125369974,76.06694390068415,0.2706701650378669,0.2706823272187613,-1.60609776428932,-1.6060856021084255,3.7787640755631884,3.7787167225475997
10,0.32992400813441786,18.49794396912492,18.768630180797828,18.76864231866699,20.398459527640153,18.785591084326768,18.78560322219593,72.26940828709601,76.06184178712932,76.06179453095412,0.27068621167290985,0.27069834954207295,-1.6128684433133849,-1.6128563054442218,3.7924335000333116,3.792386243858104
11,0.3599170997830013,18.497087625454768,18.766552094252603,18.76656420765869,20.403895450636742,18.78408804134594,18.784100154752025,72.25316654788656,76.0648451235332,76.06479796175132,0.26946446879783537,0.26947658220392157,-1.6198074092908037,-1.6197952958847175,3.8116785756466385,3.8116314138647596
12,0.3899101914315848,18.495858377753443,18.764769610679195,18.764781700380468,20.407161573761726,18.78185070728361,18.781862796984882,72.24426328006865,76.0716137283638,76.07156665077883,0.2689112329257526,0.2689233226270247,-1.6253108664781166,-1.6252987767768445,3.8273504482951495,3.827303370710183
13,0.4199032830801682,18.494969592929685,18.763856143367462,18.76386829312011,20.40989667705779,18.78036506821647,18.780377217969118,72.23671685452085,76.07533395070045,76.0752866328434,0.2688865504377773,0.2688987001904266,-1.6295316088413223,-1.629519459088673,3.838617096179604,3.838569778322551
14,0.44989637472875166,18.494493820724575,18.763735528167274,18.76374765177235,20.41261209370705,18.779933955240097,18.77994607884517,72.22922317935888,76.07507486846183,76.0750276530523,0.26924170744269915,0.2692538310477737,-1.6326781384669538,-1.6326660148618792,3.8458516891029433,3.84580447369342
15,0.4798894663773351,18.493861350382964,18.76262449303684,18.762636677035317,20.414651396817355,18.7783436833532,18.778355867351678,72.22403370473043,76.079919920843,76.07987246342644,0.26876314265387435,0.26877532665235293,-1.6363077134641557,-1.6362955294656771,3.855886216112566,3.8558387586960094
16,0.5098825580259185,18.493498044315924,18.762418045535412,18.762430189278263,20.416383483003777,18.77742781600992,18.77743995975277,72.21972839350939,76.08247227477455,76.08242497067458,0.2689200012194881,0.2689321449623385,-1.6389556669938585,-1.6389435232510081,3.8627438812651604,3.8626965771651953
17,0.539875649674502,18.490869149449782,18.760363710592827,18.760375859828486,20.41633326313116,18.775767289439187,18.775779438674846,72.22073263822699,76.08604931201455,76.0860019826641,0.2694945611430448,0.2695067103787032,-1.6405659736919738,-1.6405538244563154,3.865316673787561,3.8652693444371096
18,0.5698687413230854,18.48964939200422,18.759441397391498,18.759453553345338,20.417980599312344,18.7744196634616,18.77443181941544,72.21411490873213,76.08751214930894,76.087464790393,0.2697920053872771,0.26980416134111707,-1.6435609358507435,-1.6435487798969035,3.873397240576807,3.8733498816608716
19,0.5998618329716688,18.486982464794167,18.75668263868721,18.756694772555647,20.419289733245563,18.772249679613708,18.772261813482146,72.21135043671083,76.0923308899212,76.09228361274299,0.26970017389304246,0.2697123077614805,-1.647040053631855,-1.647027919763417,3.8809804532103698,3.8809331760321584
20,0.6298549246202523,18.485521689582626,18.75492277397663,18.754934884789293,20.420238243095866,18.770097300130715,18.770109410943377,72.20743956047188,76.09789716275189,76.09784996916895,0.2694010843940049,0.26941319520666696,-1.6501409429651517,-1.6501288321524896,3.8904576022800086,3.890410408697065
