frame,candidate_source,alpha_deg,segment_angle_deg,x_sup,y_sup,x_deep,y_deep,x_mid,y_mid,peak_weight,peak_weight_norm,score,raw_mask_support,mask_support_score,inside_muscle_score,visible_fraction,hough_score,length_score,phi_score,pennation_score,boundary_score,length_px,length_mm,phi_deg,pennation_deep_deg,outside_px,alpha_bin,xmid_bin,length_bin_px,length_bin,cluster_id
4,grid_scan,-41.8,-41.80000000000001,256.31317311685694,95.15829937537822,543.6868265889356,352.1,399.9999998528963,223.6291496876891,,,0.5717648128342246,0.192,0.594,1.0,1.0,0.786096256684492,1.0,1.0,1.0,1.0,385.4901480320387,,-42.3,-41.8,0.0,-41.75,400.0,400.0,400.0,a-41.75_x400_lp400
3,grid_scan,-41.8,-41.79999999999998,256.4572482089473,95.11593414144198,543.5427528760433,351.79999999999995,400.0000005424953,223.45796707072097,,,0.5635721608040201,0.178,0.586,1.0,1.0,0.7286432160804021,1.0,1.0,1.0,1.0,385.1036180765402,,-42.243875422974114,-41.8,0.0,-41.75,400.0,400.0,400.0,a-41.75_x400_lp400
1,grid_scan,-41.8,-41.80000000000001,259.4526322723481,95.47230110279497,540.5473665067773,346.80000000000007,399.99999938956273,221.13615055139752,,,0.5589900534759359,0.194,0.558,1.0,1.0,0.7754010695187166,1.0,1.0,1.0,1.0,377.0674499970643,,-42.235578096512334,-41.8,0.0,-41.75,400.0,400.0,400.0,a-41.75_x400_lp400
2,grid_scan,-41.8,-41.80000000000001,259.1137444831791,95.06629746052428,540.8862569072651,347.0,400.00000069522207,221.03314873026216,,,0.5577658291457286,0.16,0.588,1.0,1.0,0.6633165829145728,1.0,1.0,1.0,1.0,377.9766384752247,,-42.27262307256415,-41.8,0.0,-41.75,400.0,400.0,400.0,a-41.75_x400_lp400
9,grid_scan,-41.7,-41.69999999999999,246.71604036740408,95.15794771594697,553.2839592787841,368.29999999999995,399.9999998230941,231.72897385797347,,,0.5494096446700508,0.18,0.542,1.0,1.0,0.7461928934010152,1.0,1.0,1.0,1.0,410.59769803494856,,-41.2,-41.7,0.0,-41.75,400.0,400.0,400.0,a-41.75_x400_lp400
0,grid_scan,-41.8,-41.80000000000001,259.97111349435784,95.09945010584946,540.0288879995057,345.50000000000006,400.0000007469318,220.29972505292477,,,0.5474331034482759,0.188,0.528,1.0,1.0,0.7758620689655172,1.0,1.0,1.0,1.0,375.6764464909522,,-42.28902230520473,-41.8,0.0,-41.75,400.0,400.0,400.0,a-41.75_x400_lp400
7,grid_scan,-41.8,-41.79999999999998,247.91245589288977,94.33608210243919,552.0875450621763,366.3,400.00000047753304,230.3180410512196,,,0.5467335195530726,0.18,0.538,1.0,1.0,0.7206703910614525,1.0,1.0,1.0,1.0,408.0280106920781,,-41.73844975906084,-41.8,0.0,-41.75,400.0,400.0,400.0,a-41.75_x400_lp400
5,grid_scan,-41.8,-41.80000000000001,254.35178529099608,96.25093430615436,545.6482131183193,356.70000000000005,399.9999992046577,226.4754671530772,,,0.54434,0.178,0.528,1.0,1.0,0.75,1.0,1.0,1.0,1.0,390.75225486970135,,-41.584745923937845,-41.8,0.0,-41.75,400.0,400.0,400.0,a-41.75_x400_lp400
8,grid_scan,-41.8,-41.79999999999998,248.2884491351629,94.70843717212847,551.7115500816839,366.0,399.99999960842337,230.35421858606423,,,0.5406983783783784,0.184,0.512,1.0,1.0,0.7675675675675676,1.0,1.0,1.0,1.0,407.01927503447746,,-41.38911875842542,-41.8,0.0,-41.75,400.0,400.0,400.0,a-41.75_x400_lp400
6,grid_scan,-41.8,-41.80000000000001,248.54876966272482,94.37394170220348,551.4512321251451,365.20000000000005,400.00000089393495,229.78697085110176,,,0.5136637362637363,0.17,0.448,1.0,1.0,0.7252747252747253,1.0,1.0,1.0,1.0,406.320877655726,,-41.3,-41.8,0.0,-41.75,400.0,400.0,400.0,a-41.75_x400_lp400
10,grid_scan,-41.8,-41.79999999999998,247.14386410853902,94.96168127717357,552.8561369484071,368.29999999999995,400.00000052847304,231.63084063858676,,,0.5112995979899497,0.166,0.45,1.0,1.0,0.678391959798995,1.0,1.0,1.0,1.0,410.09002700277824,,-41.3,-41.8,0.0,-41.75,400.0,400.0,400.0,a-41.75_x400_lp400
