Frame,Time,FL,PEN,ANG,FL_px,TimTrackAlpha,RawTimTrackAlpha,HoughBaselineAlpha,HoughPeakSource,HoughLocalmaxFallbackUsed,HoughFallbackMassBelow10Deg,HoughFallbackGapToLowerDeg,FascicleCandidateIdx,FascicleRawRejected,FascicleSelectionReason,SuperApoRejected,DeepApoRejected,SuperApoSoftDownweighted,DeepApoSoftDownweighted,SuperApoGateReason,DeepApoGateReason,R_t_x_variance,R_t_alpha_variance,R_t_length_variance,R_t_theta_variance,kalman_measurement_r_scale,kalman_measurement_r_scale_theta,kalman_measurement_r_scale_length
0,0.0,32.402093123787814,-41.80000058860324,-41.80000058860324,375.67644201493124,-34.5,-34.5,-34.5,houghpeaks,False,nan,nan,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
1,0.09090909090909091,32.47052446909199,-41.80175650030148,-41.822736739894935,376.4698489170086,-22.5,-22.5,-22.5,houghpeaks,False,nan,nan,4,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
2,0.18181818181818182,32.56771520407214,-41.813890464143356,-41.82734149911738,377.5966980182277,-27.0,-27.0,-27.0,houghpeaks,False,nan,nan,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
3,0.2727272727272727,33.168223190157505,-41.79062454961439,-41.79565569211769,384.55910945110156,-21.0,-21.0,-21.0,houghpeaks,False,nan,nan,8,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
4,0.36363636363636365,33.463397217095064,-41.446429616295276,-41.44560725944305,387.9814170097979,-45.0,-45.0,-45.0,houghpeaks,False,nan,nan,0,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
5,0.45454545454545453,36.13785782957779,-38.46457679787398,-38.46377076557886,418.98965599510484,-45.0,-45.0,-45.0,houghpeaks,False,nan,nan,0,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
6,0.5454545454545454,37.29529377684508,-38.42924124045052,-38.43245106788817,432.4092032097981,-19.0,-19.0,-19.0,houghpeaks,False,nan,nan,8,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
7,0.6363636363636364,37.40979376195089,-38.52004292591489,-38.518303136634216,433.7367392689958,-45.0,-45.0,-45.0,houghpeaks,False,nan,nan,0,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
8,0.7272727272727273,37.28823874300086,-38.654355040460246,-38.65115102869183,432.327405715952,-17.0,-17.0,-17.0,houghpeaks,False,nan,nan,7,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
9,0.8181818181818182,37.3131101176428,-38.77519823578609,-38.78910796175305,432.6157694799166,-17.5,-17.5,-17.5,houghpeaks,False,nan,nan,9,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
10,0.9090909090909091,37.840869506844925,-38.29580688203515,-38.364536371032045,438.7347189199412,-43.5,-43.5,-43.5,houghpeaks,False,nan,nan,8,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
11,1.0,37.54341416363277,-38.36853243976461,-38.44158401144978,435.2859613174814,-43.0,-43.0,-43.0,houghpeaks,False,nan,nan,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
12,1.0909090909090908,37.264497357586535,-38.46868769985511,-38.53874541219952,432.05214327636565,-32.0,-32.0,-32.0,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
13,1.1818181818181819,37.074663088186135,-38.53243853391038,-38.57562066823766,429.85116623983924,-21.0,-21.0,-21.0,houghpeaks,False,nan,nan,5,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
14,1.2727272727272727,37.01293277301194,-38.51238215337088,-38.561640076739536,429.13545244071815,-18.5,-18.5,-18.5,houghpeaks,False,nan,nan,8,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
15,1.3636363636363635,37.047683054944024,-38.332683096292214,-38.38436630740762,429.53835426022056,-20.5,-20.5,-20.5,houghpeaks,False,nan,nan,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
16,1.4545454545454546,36.92077778479002,-38.50921657162664,-38.54654423336058,428.0669888091597,-45.0,-45.0,-45.0,houghpeaks,False,nan,nan,0,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
17,1.5454545454545454,36.5782852611162,-38.59177882363255,-38.63247711731745,424.09606099844876,-16.5,-16.5,-16.5,houghpeaks,False,nan,nan,5,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
18,1.6363636363636365,36.839744882895836,-38.455940673689014,-38.523006210995845,427.1274769031402,-45.0,-45.0,-45.0,houghpeaks,False,nan,nan,0,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
19,1.7272727272727273,36.922531572137885,-38.60249952102305,-38.679827195845604,428.08732257551173,-45.0,-45.0,-45.0,houghpeaks,False,nan,nan,0,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
20,1.8181818181818181,37.11685948139338,-38.48488778153177,-38.567812077550656,430.340399784271,-16.5,-16.5,-16.5,houghpeaks,False,nan,nan,9,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
21,1.9090909090909092,37.12307261453167,-38.61212254695698,-38.73212890133769,430.4124361105122,-11.5,-11.5,-11.5,houghpeaks,False,nan,nan,9,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
22,2.0,37.00198174934889,-38.84345537166368,-38.91100092660997,429.008484050422,-11.5,-11.5,-11.5,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
23,2.090909090909091,36.92892095587403,-38.98749013730517,-39.00856317900724,428.16140238694527,-9.0,-9.0,-9.0,houghpeaks,False,nan,nan,8,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
24,2.1818181818181817,37.03434924895576,-38.90727071684253,-38.924955188730536,429.3837594081828,-9.0,-9.0,-9.0,houghpeaks,False,nan,nan,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
25,2.272727272727273,36.817634222630105,-39.12404001833016,-39.14565441389823,426.87112142179836,-7.0,-7.0,-7.0,houghpeaks,False,nan,nan,5,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
26,2.3636363636363638,37.25693903062787,-38.506058124183134,-38.47440780582582,431.9645105000333,-12.0,-12.0,-12.0,houghpeaks,False,nan,nan,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
27,2.4545454545454546,38.453782618769466,-37.29610280565602,-37.29519105492565,445.8409578987764,-26.5,-26.5,-26.5,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
28,2.5454545454545454,39.83744921880008,-35.829106808907476,-35.82795004327113,461.88346920347925,-23.5,-23.5,-23.5,houghpeaks,False,nan,nan,8,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
29,2.6363636363636362,39.73951221063228,-35.89185269178533,-35.88661796351036,460.7479676595047,-22.5,-22.5,-22.5,houghpeaks,False,nan,nan,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
30,2.727272727272727,39.846589041792626,-35.44948866187048,-35.39699866637113,461.98943816571165,-40.5,-40.5,-40.5,houghpeaks,False,nan,nan,8,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
