frame,candidate_source,alpha_deg,segment_angle_deg,x_sup,y_sup,x_deep,y_deep,x_mid,y_mid,peak_weight,peak_weight_norm,score,raw_mask_support,mask_support_score,inside_muscle_score,visible_fraction,hough_score,length_score,lateral_span_score,phi_score,pennation_score,boundary_score,length_px,length_mm,phi_deg,pennation_deep_deg,outside_px,alpha_bin,xmid_bin,length_bin_px,length_bin,cluster_id
6,grid_scan,13.8,13.799999999999983,939.0367748488391,100.39973923456745,-139.03677159948768,365.2,400.0000016246757,232.79986961728372,,,0.6244424291092723,0.22162162162162163,0.4,1.0,0.74,0.7819548872180451,1.0,0.99875,1.0,1.0,0.5602792856478228,1110.117898987812,,14.3,13.8,139.03677484883906,13.75,400.0,1100.0,1100.0,a13.75_x400_lp1100
5,grid_scan,13.8,13.799999999999983,925.050023790758,98.77068724611439,-125.05003324763133,356.7,399.99999527156336,227.7353436230572,,,0.6236558993231406,0.21052631578947367,0.4026315789473684,1.0,0.76,0.781021897810219,1.0,0.99875,1.0,1.0,0.5939014958945518,1081.3129335070957,,14.015254076062154,13.8,125.05003324763133,13.75,400.0,1100.0,1100.0,a13.75_x400_lp1100
3,grid_scan,13.8,13.799999999999983,933.187580286106,89.87314009089687,-133.18757340914576,351.8,400.0000034384801,220.83657004544844,,,0.621474962998783,0.17647058823529413,0.42780748663101603,1.0,0.748,0.6877323420074349,1.0,0.99875,1.0,1.0,0.5741019695202751,1098.0717865241847,,13.356124577025886,13.8,133.18758028610603,13.75,400.0,1100.0,1100.0,a13.75_x400_lp1100
9,grid_scan,13.8,13.799999999999983,943.6370091177531,101.23988487083881,-143.63701621726108,368.3,399.99999645024604,234.7699424354194,,,0.621424195895367,0.20708446866485014,0.3923705722070845,1.0,0.734,0.8294573643410853,1.0,0.99875,1.0,1.0,0.549642304616024,1119.591850301263,,14.3,13.8,143.63701621726108,13.75,400.0,1100.0,1100.0,a13.75_x400_lp1100
2,grid_scan,13.8,13.800000000000011,924.0100816881992,89.581557046688,-124.0100860929601,347.0,399.9999977976195,218.290778523344,,,0.616919910982651,0.1732283464566929,0.4015748031496063,1.0,0.762,0.7874564459930313,1.0,0.99875,1.0,1.0,0.5964805218432615,1079.1712222110802,,13.327376927435845,13.8,124.0100860929601,13.75,400.0,1100.0,1100.0,a13.75_x400_lp1100
0,grid_scan,13.7,13.699999999999989,925.2386892274042,89.42122064020015,-125.23868052938329,345.5,400.00000434901045,217.46061032010007,,,0.6142711904373971,0.15789473684210525,0.3894736842105263,1.0,0.76,0.875,1.0,0.99875,1.0,1.0,0.5934348332133983,1081.2395875149705,,13.210977694795265,13.7,125.23868922740417,13.75,400.0,1100.0,1100.0,a13.75_x400_lp1100
4,grid_scan,13.7,13.699999999999989,939.2325497003511,89.19855226418665,-139.232530511302,352.1,400.00000959452456,220.64927613209335,,,0.6117978320341642,0.1918918918918919,0.37567567567567567,1.0,0.74,0.8064516129032258,1.0,0.99875,1.0,1.0,0.5598224361975875,1110.0468911075395,,13.2,13.7,139.23254970035111,13.75,400.0,1100.0,1100.0,a13.75_x400_lp1100
10,grid_scan,13.8,13.800000000000011,944.0370374287304,101.04337586502126,-144.03702926650894,368.3,400.0000040811107,234.67168793251062,,,0.6075285788218041,0.16076294277929154,0.35967302452316074,1.0,0.734,0.9473684210526315,1.0,0.99875,1.0,1.0,0.5487269485793846,1120.4156718641261,,14.3,13.8,144.0370374287304,13.75,400.0,1100.0,1100.0,a13.75_x400_lp1100
1,grid_scan,13.7,13.699999999999989,925.8856404413565,90.40579854332526,-125.88564275689873,346.8,399.9999988422289,218.60289927166264,,,0.6052528099073695,0.1631578947368421,0.3631578947368421,1.0,0.76,0.8602150537634409,1.0,0.99875,1.0,1.0,0.5918373008671108,1082.5713919650336,,13.264421903487662,13.7,125.88564275689873,13.75,400.0,1100.0,1100.0,a13.75_x400_lp1100
8,grid_scan,13.7,13.699999999999989,946.1761082104318,99.71323623204532,-146.17609646397378,366.0,400.00000587322904,232.85661811602267,,,0.5988287649840778,0.15616438356164383,0.3589041095890411,1.0,0.73,0.7992831541218638,1.0,0.9975,1.0,1.0,0.5438579880724327,1124.340686631523,,14.110881241574576,13.7,146.17610821043183,13.75,400.0,1100.0,1100.0,a13.75_x400_lp1100
