Frame,Time,FL,PEN,ANG,FL_px,TimTrackAlpha,RawTimTrackAlpha,HoughBaselineAlpha,HoughPeakSource,HoughLocalmaxFallbackUsed,HoughFallbackMassBelow10Deg,HoughFallbackGapToLowerDeg,FascicleCandidateIdx,FascicleRawRejected,FascicleSelectionReason,SuperApoRejected,DeepApoRejected,SuperApoSoftDownweighted,DeepApoSoftDownweighted,SuperApoGateReason,DeepApoGateReason,R_t_x_variance,R_t_alpha_variance,R_t_length_variance,R_t_theta_variance,kalman_measurement_r_scale,kalman_measurement_r_scale_theta,kalman_measurement_r_scale_length
0,0.0,92.58169355811013,13.799999828155023,13.799999828155023,1073.4109398041755,11.5,11.5,11.5,houghpeaks,False,nan,nan,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
1,0.09090909090909091,92.90061913937207,13.75854696535123,13.737566725757773,1077.1086277028646,11.5,11.5,11.5,houghpeaks,False,nan,nan,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
2,0.18181818181818182,93.32097796588454,13.73900803985137,13.725557004877345,1081.9823532276469,11.5,11.5,11.5,houghpeaks,False,nan,nan,9,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
3,0.2727272727272727,95.84901364774687,13.598919108837606,13.593887966334307,1111.2929118579348,11.5,11.5,11.5,houghpeaks,False,nan,nan,4,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
4,0.36363636363636365,95.6622926117569,13.653246164799397,13.654068521651624,1109.1280302812395,13.0,13.0,13.0,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
5,0.45454545454545453,95.04480457614295,13.83707018249597,13.837876214791095,1101.9687487089038,12.0,12.0,12.0,houghpeaks,False,nan,nan,7,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
6,0.5454545454545454,96.71857550359972,13.893239354215439,13.890029526777795,1121.374788447533,11.0,11.0,11.0,houghpeaks,False,nan,nan,1,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
7,0.6363636363636364,95.91931379327943,14.070893833857513,14.072633623138188,1112.107986009037,11.0,11.0,11.0,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
8,0.7272727272727273,95.45128264824926,14.0949576138141,14.09816162558252,1106.6815379507161,11.5,11.5,11.5,houghpeaks,False,nan,nan,1,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
9,0.8181818181818182,94.86530357305772,14.197077765437882,14.183168039470928,1099.8875776586403,11.5,11.5,11.5,houghpeaks,False,nan,nan,1,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
10,0.9090909090909091,94.60731194888818,14.199272525744988,14.130543036748094,1096.896370421892,11.5,11.5,11.5,houghpeaks,False,nan,nan,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
11,1.0,93.90876695967786,14.362405644771087,14.289354073085917,1088.7972980832217,13.5,13.5,13.5,houghpeaks,False,nan,nan,8,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
12,1.0909090909090908,90.75848590602502,14.655906857084972,14.585849144740564,1052.2723003597105,14.5,14.5,14.5,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
13,1.1818181818181819,89.04321463883295,15.003363696803092,14.96018156247581,1032.3850972618313,14.0,14.0,14.0,houghpeaks,False,nan,nan,5,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
14,1.2727272727272727,85.95774115751935,15.298062165104113,15.248804241735456,996.6114916813839,15.0,15.0,15.0,houghpeaks,False,nan,nan,4,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
15,1.3636363636363635,85.60001627773975,15.508768010690005,15.457084799574602,992.4639568433596,14.5,14.5,14.5,houghpeaks,False,nan,nan,4,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
16,1.4545454545454546,84.55588384698892,15.612579148961487,15.575251487227547,980.3580735882774,14.5,14.5,14.5,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
17,1.5454545454545454,84.75165746206042,15.617398450290636,15.576700156605739,982.6279126035992,14.5,14.5,14.5,houghpeaks,False,nan,nan,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
18,1.6363636363636365,84.13536661934344,15.642135260559769,15.575069723252938,975.4825115286197,14.5,14.5,14.5,houghpeaks,False,nan,nan,5,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
19,1.7272727272727273,83.59576929022623,15.790956371306407,15.713628696483852,969.2263106113187,14.5,14.5,14.5,houghpeaks,False,nan,nan,5,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
20,1.8181818181818181,83.91824715859086,15.918776690007917,15.835852393989029,972.9651844474304,15.0,15.0,15.0,houghpeaks,False,nan,nan,5,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
21,1.9090909090909092,83.66426327587646,15.961128678810041,15.841122324429335,970.0204437782779,16.5,16.5,16.5,houghpeaks,False,nan,nan,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
22,2.0,84.25950209766094,15.787082512544345,15.719536957598052,976.9217634511414,16.5,16.5,16.5,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
23,2.090909090909091,84.38947547931217,15.886472611729886,15.865399570027819,978.4287012094165,16.0,16.0,16.0,houghpeaks,False,nan,nan,9,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
24,2.1818181818181817,84.41941620875048,15.86467068972297,15.846986217834967,978.775840101455,15.5,15.5,15.5,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
25,2.272727272727273,84.85749744280818,15.72915682205118,15.707542426483116,983.8550428151674,12.0,12.0,12.0,houghpeaks,False,nan,nan,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
26,2.3636363636363638,84.6825028282034,15.867255878143123,15.898906196500434,981.8261197472858,11.5,11.5,11.5,houghpeaks,False,nan,nan,7,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
27,2.4545454545454546,85.41224322322114,15.895132356797024,15.896044107527388,990.28687795039,10.5,10.5,10.5,houghpeaks,False,nan,nan,0,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
28,2.5454545454545454,86.84963994759646,15.68444109116283,15.685597856799177,1006.9523472185097,14.0,14.0,14.0,houghpeaks,False,nan,nan,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
29,2.6363636363636362,87.54091359763588,15.612215664565344,15.617450392840311,1014.9671141754885,18.0,18.0,18.0,houghpeaks,False,nan,nan,5,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
30,2.727272727272727,86.48533106585283,15.75653237100183,15.809022366501182,1002.7284761258301,16.5,16.5,16.5,houghpeaks,False,nan,nan,4,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
31,2.8181818181818183,83.81638183577734,16.161822744190843,16.170491706960462,971.7841372264039,16.0,16.0,16.0,houghpeaks,False,nan,nan,1,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
32,2.909090909090909,86.56671456559482,15.65554601832892,15.610455457973757,1003.6720529344328,16.0,16.0,16.0,houghpeaks,False,nan,nan,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
33,3.0,85.52101473510812,15.924961844818505,15.932491736393843,991.5479969287899,15.5,15.5,15.5,houghpeaks,False,nan,nan,4,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
34,3.090909090909091,83.56625203456478,16.19979397238779,16.216121505537274,968.8840815601715,17.5,17.5,17.5,houghpeaks,False,nan,nan,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
35,3.1818181818181817,84.09886199302844,16.075164907772752,16.0787541602308,975.0592694843878,15.0,15.0,15.0,houghpeaks,False,nan,nan,9,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
36,3.272727272727273,84.51584316095915,16.040246909200818,15.996014500160129,979.8938337502511,10.5,10.5,10.5,houghpeaks,False,nan,nan,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
37,3.3636363636363638,84.05336287240806,16.101835468900532,16.09251482855933,974.5317434482095,16.0,16.0,16.0,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
38,3.4545454545454546,83.5395243528907,15.89225707244115,15.903875695334364,968.5741953958342,17.0,17.0,17.0,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
39,3.5454545454545454,83.91486906964415,15.769530439750358,15.78030836216729,972.9260181987729,13.0,13.0,13.0,houghpeaks,False,nan,nan,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
40,3.6363636363636362,83.71899713454285,15.789617045507041,15.82001095320615,970.6550392410766,13.0,13.0,13.0,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
41,3.727272727272727,84.03583435953006,15.567149548773804,15.568658731187583,974.328514313392,16.0,16.0,16.0,houghpeaks,False,nan,nan,4,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
42,3.8181818181818183,83.93480957177307,15.56460337571882,15.575486113887877,973.1572124263545,13.0,13.0,13.0,houghpeaks,False,nan,nan,9,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
