Frame,Time,FL,PEN,ANG,FL_px,TimTrackAlpha,RawTimTrackAlpha,HoughBaselineAlpha,HoughPeakSource,HoughLocalmaxFallbackUsed,HoughFallbackMassBelow10Deg,HoughFallbackGapToLowerDeg,FascicleCandidateIdx,FascicleRawRejected,FascicleSelectionReason,SuperApoRejected,DeepApoRejected,SuperApoSoftDownweighted,DeepApoSoftDownweighted,SuperApoGateReason,DeepApoGateReason,R_t_x_variance,R_t_alpha_variance,R_t_length_variance,R_t_theta_variance,kalman_measurement_r_scale,kalman_measurement_r_scale_theta,kalman_measurement_r_scale_length
0,0.0,98.28278402887277,13.000000202215205,13.000000202215205,1139.5105394651916,11.5,11.5,11.5,houghpeaks,False,nan,nan,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
1,0.09090909090909091,98.61960479939724,12.960101455053831,12.939121215460375,1143.4157078190985,11.5,11.5,11.5,houghpeaks,False,nan,nan,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
2,0.18181818181818182,99.09189404285691,12.938215318948778,12.924764283974753,1148.891525134573,11.5,11.5,11.5,houghpeaks,False,nan,nan,9,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
3,0.2727272727272727,102.00487194136693,12.776604280927756,12.771573138424458,1182.665181928892,11.5,11.5,11.5,houghpeaks,False,nan,nan,4,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
4,0.36363636363636365,102.03971862638168,12.797631485755586,12.798453842607813,1183.069201465295,13.0,13.0,13.0,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
5,0.45454545454545453,101.33205962312938,12.970482841122324,12.97128887341745,1174.8644593986016,12.0,12.0,12.0,houghpeaks,False,nan,nan,7,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
6,0.5454545454545454,103.19750361353225,13.006362526550049,13.003152699112405,1196.4927955192145,11.0,11.0,11.0,houghpeaks,False,nan,nan,1,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
7,0.6363636363636364,102.28342415701563,13.179686547557496,13.181426336838172,1185.894772834964,11.0,11.0,11.0,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
8,0.7272727272727273,101.76914855484708,13.202247791894107,13.205451803662527,1179.9321571576475,11.5,11.5,11.5,houghpeaks,False,nan,nan,1,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
9,0.8181818181818182,101.10559243783595,13.301274984690139,13.287365258723185,1172.2387529024459,11.5,11.5,11.5,houghpeaks,False,nan,nan,1,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
10,0.9090909090909091,100.81809765620191,13.301091052657767,13.232361563660874,1168.9054800719064,11.5,11.5,11.5,houghpeaks,False,nan,nan,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
11,1.0,100.14921882249503,13.449783950608833,13.376732378923663,1161.1503631593628,13.5,13.5,13.5,houghpeaks,False,nan,nan,8,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
12,1.0909090909090908,96.6941377713895,13.73152058549843,13.661462873154022,1121.0914524219074,14.5,14.5,14.5,houghpeaks,False,nan,nan,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
13,1.1818181818181819,94.70471510579887,14.085909200797744,14.042727066470462,1098.0256823860739,14.0,14.0,14.0,houghpeaks,False,nan,nan,5,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
