frame,candidate_source,alpha_deg,segment_angle_deg,x_sup,y_sup,x_deep,y_deep,x_mid,y_mid,peak_weight,peak_weight_norm,score,raw_mask_support,mask_support_score,inside_muscle_score,visible_fraction,hough_score,length_score,phi_score,pennation_score,boundary_score,length_mm,phi_deg,pennation_deep_deg,outside_px,alpha_bin,xmid_bin,length_bin,cluster_id
0,grid_scan,17.0,17.0,972.7159208861863,105.30634731065902,-172.71590498927043,455.5,400.0000079484579,280.4031736553295,,,0.7087707184510255,0.15804597701149425,0.4051724137931034,1.0,0.696,0.8016194331983806,0.9999347170541962,1.0,1.0,0.486922809576254,75.90858616169321,16.5,17.0,172.71592088618627,17.0,400.0,75.0,a17.00_x400_l75
0,grid_scan,16.9,16.900000000000006,976.3639091945364,105.2745117989898,-176.3639063273493,455.5,400.0000014335935,280.3872558994949,,,0.7082544679810994,0.1531791907514451,0.407514450867052,1.0,0.692,0.8016194331983806,0.9990353688915119,1.0,1.0,0.479577571639511,76.35147172440342,16.4,16.9,176.3639091945364,17.0,400.0,75.0,a17.00_x400_l75
0,grid_scan,16.8,16.80000000000001,980.0547279781596,105.24230251142546,-180.05473579450629,455.5,399.99999609182663,280.37115125571273,,,0.7071021806358123,0.1686046511627907,0.39825581395348836,1.0,0.688,0.8016194331983806,0.9950150791591418,1.0,1.0,0.4722588343642441,76.79979093304735,16.3,16.8,180.05473579450629,16.75,400.0,75.0,a16.75_x400_l75
0,grid_scan,17.1,17.099999999999994,969.1099805501597,105.33781587523288,-169.10998764150287,455.5,399.9999964543284,280.41890793761644,,,0.7070352950890749,0.15954415954415954,0.39886039886039887,1.0,0.702,0.8016194331983806,0.9978164397719295,1.0,1.0,0.4942939251708812,75.47103752308426,16.6,17.1,169.10998764150287,17.0,400.0,75.0,a17.00_x400_l75
0,grid_scan,16.7,16.700000000000017,983.789170154485,105.20971252828042,-183.78916399426325,455.5,400.00000308011084,280.3548562641402,,,0.7056390058176991,0.1695906432748538,0.40058479532163743,1.0,0.684,0.7935222672064778,0.9877967863111152,1.0,1.0,0.46496729510443086,77.2536428460337,16.2,16.7,183.78917015448496,16.75,400.0,75.0,a16.75_x400_l75
0,grid_scan,17.2,17.19999999999999,965.5453765223754,105.36892370330975,-165.54537681699037,455.5,399.9999998526925,280.4344618516549,,,0.7050886588895992,0.1671388101983003,0.3909348441926346,1.0,0.706,0.8016194331983806,0.9928069541378718,1.0,1.0,0.5016902390638052,75.03873146841129,16.7,17.2,165.54537681699037,17.25,400.0,75.0,a17.25_x400_l75
0,grid_scan,17.4,17.399999999999977,958.5372307765972,105.43008286469154,-158.5372332476779,455.5,399.99999876445963,280.46504143234574,,,0.7035314089198622,0.16526610644257703,0.3949579831932773,1.0,0.714,0.8663967611336032,0.9747159068293324,1.0,1.0,0.5165558806907634,74.18948040858331,16.9,17.4,158.5372332476779,17.5,400.0,75.0,a17.50_x400_l75
0,grid_scan,17.3,17.299999999999983,962.0213631962458,105.39967730169974,-162.02136247862657,455.5,400.00000035880964,280.44983865084987,,,0.7032823234677129,0.15774647887323945,0.38873239436619716,1.0,0.71,0.8663967611336032,0.9850525127708881,1.0,1.0,0.5091111009223849,74.61157577556818,16.8,17.3,162.02136319624583,17.25,400.0,75.0,a17.25_x400_l75
0,grid_scan,16.6,16.599999999999994,987.5679999347427,105.17673518038436,-187.56802708124604,455.5,399.99998642674836,280.3383675901922,,,0.7022929019769432,0.16176470588235295,0.40294117647058825,1.0,0.68,0.7935222672064778,0.9773326471191802,1.0,1.0,0.45770360904769614,77.7131288529903,16.1,16.6,187.56802708124604,16.5,400.0,80.0,a16.50_x400_l80
0,hough_peak,17.5,17.5,955.0922926679207,105.46014638411327,-155.09228768020546,455.5,400.0000024938576,280.48007319205664,214.0,0.8663967611336032,0.6983545718262228,0.16111111111111112,0.3888888888888889,1.0,0.72,0.8663967611336032,0.9619732042673154,1.0,1.0,0.524023951824851,73.7723574320075,17.0,17.5,155.09229266792067,17.5,400.0,75.0,a17.50_x400_l75
