frame,candidate_source,alpha_deg,segment_angle_deg,x_sup,y_sup,x_deep,y_deep,x_mid,y_mid,peak_weight,peak_weight_norm,score,raw_mask_support,mask_support_score,inside_muscle_score,visible_fraction,hough_score,length_score,phi_score,pennation_score,boundary_score,length_mm,phi_deg,pennation_deep_deg,outside_px,alpha_bin,xmid_bin,length_bin,cluster_id
0,grid_scan,17.0,17.0,972.7159208861863,105.30634731065902,-172.71590498927043,455.5,400.0000079484579,280.4031736553295,,,0.7087707184510255,0.15804597701149425,0.4051724137931034,1.0,0.696,0.8016194331983806,0.9999347170541962,1.0,1.0,0.486922809576254,75.90858616169321,16.5,17.0,172.71592088618627,17.0,400.0,75.0,a17.00_x400_l75
6,grid_scan,16.9,16.900000000000006,975.8630060957736,105.27888311410868,-175.8630054655073,455.2,400.00000031513315,280.2394415570543,,,0.7060384302325866,0.14985590778097982,0.3976945244956772,1.0,0.694,0.8227848101265823,0.9993651112366221,1.0,1.0,0.48057954142837106,76.28511676554707,16.4,16.9,175.86300609577359,17.0,400.0,75.0,a17.00_x400_l75
5,grid_scan,17.0,17.0,968.8999757470997,107.33964855938456,-168.89996562925054,455.2,400.00000505892456,281.2698242796923,,,0.7053100723283426,0.1396011396011396,0.4017094017094017,1.0,0.702,0.8247863247863247,0.9972177131768335,1.0,1.0,0.49472664615115935,75.40281571862583,16.5,17.0,168.8999757470997,17.0,400.0,75.0,a17.00_x400_l75
1,grid_scan,17.0,17.0,968.2363341486736,107.44544007187449,-168.23632299649032,454.9,400.0000055760916,281.17272003593723,,,0.7050853963523463,0.14814814814814814,0.396011396011396,1.0,0.702,0.8284518828451883,0.9963393510311145,1.0,1.0,0.4960965442070497,75.31485564352745,16.5,17.0,168.23633414867356,17.0,400.0,75.0,a17.00_x400_l75
8,grid_scan,17.0,17.0,973.047725184625,105.40345169841413,-173.04774233542173,455.8,399.99999142460166,280.60172584920707,,,0.7050205497817637,0.15517241379310345,0.3879310344827586,1.0,0.696,0.8347107438016529,0.999982422276244,1.0,1.0,0.48625006044990216,75.95256616802868,16.5,17.0,173.04774233542173,17.0,400.0,75.0,a17.00_x400_l75
10,grid_scan,17.0,17.0,974.8727368298472,105.48752506306965,-174.87276224745221,457.0,399.9999872911975,281.2437625315348,,,0.7049606548553686,0.138328530259366,0.40057636887608067,1.0,0.694,0.8163265306122449,0.9997046273843693,1.0,1.0,0.48256651664919475,76.19445636934628,16.5,17.0,174.87276224745221,17.0,400.0,75.0,a17.00_x400_l75
2,grid_scan,16.9,16.900000000000006,970.3530773891174,107.32696753346818,-170.35309076003574,453.9,399.9999933145408,280.6134837667341,,,0.7047568521247761,0.14857142857142858,0.3914285714285714,1.0,0.7,0.8388429752066116,0.9984555988027923,1.0,1.0,0.49174030125113255,75.55521222836238,16.4,16.9,170.35309076003574,17.0,400.0,75.0,a17.00_x400_l75
3,grid_scan,17.0,17.0,969.5636091271922,107.43385711861498,-169.5636162457578,455.7,399.9999964407172,281.5669285593075,,,0.701625896836847,0.12571428571428572,0.3942857142857143,1.0,0.7,0.8278688524590164,0.9979761966876866,1.0,1.0,0.4933605331291704,75.49077577817796,16.5,17.0,169.5636162457578,17.0,400.0,75.0,a17.00_x400_l75
4,grid_scan,17.0,17.0,968.8999757470997,107.33964855938456,-168.89996562925054,455.2,400.00000505892456,281.2698242796923,,,0.7015604284536988,0.13105413105413105,0.3903133903133903,1.0,0.702,0.8375,0.9972177131768335,1.0,1.0,0.49472664615115935,75.40281571862583,16.5,17.0,168.8999757470997,17.0,400.0,75.0,a17.00_x400_l75
9,grid_scan,16.9,16.900000000000006,971.1879253390634,107.4196819257836,-171.1879163492591,454.5,400.00000449490216,280.9598409628918,,,0.7004810768083355,0.13428571428571429,0.38285714285714284,1.0,0.7,0.8347107438016529,0.9991278253281887,1.0,1.0,0.4900327652547924,75.66580384443886,16.4,16.9,171.18792533906344,17.0,400.0,75.0,a17.00_x400_l75
7,grid_scan,17.0,17.0,969.8954377551388,107.53096129404969,-169.89542995687003,456.0,400.0000038991344,281.76548064702484,,,0.7000163532828547,0.13428571428571429,0.38285714285714284,1.0,0.7,0.8242677824267782,0.9983103966675239,1.0,1.0,0.49267888930137854,75.53475583053637,16.5,17.0,169.8954377551388,17.0,400.0,75.0,a17.00_x400_l75
