Frame,Time,FL,PEN,ANG,FL_px,TimTrackAlpha,R_t_x_variance,R_t_alpha_variance,R_t_length_variance,R_t_theta_variance,kalman_measurement_r_scale,kalman_measurement_r_scale_theta,kalman_measurement_r_scale_length
0,0.0,75.90858616169322,17.0,17.0,1197.7686179359878,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
1,0.09090909090909091,75.66297633747867,16.983243341081334,16.982020396487997,1193.8931177511427,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
2,0.18181818181818182,75.4833321151852,16.982230222428996,16.9788552919116,1191.058494914165,17.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
3,0.2727272727272727,75.58034491139897,16.96616184789978,16.967783539020246,1192.5892688189185,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
4,0.36363636363636365,75.50955209741657,16.980029865004212,16.978622888509108,1191.4722224444429,17.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
5,0.45454545454545453,75.51122365623347,16.980312175022316,16.983780639825937,1191.498598125972,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
6,0.5454545454545454,75.55572338103337,16.98438441109435,16.984790888763655,1192.2007634088106,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
7,0.6363636363636364,75.59449064684631,16.982112476987027,16.980816709582967,1192.8124756898826,15.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
8,0.7272727272727273,75.62253966939232,16.989820484385945,16.98884345530894,1193.2550638168414,14.0,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
9,0.8181818181818182,75.53672800297042,17.002110383485416,16.99868084802449,1191.9010335774426,14.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
10,0.9090909090909091,75.66184696298856,17.00132899518917,17.000274121405567,1193.8752972463678,17.5,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
