Frame,Time,FL,PEN,ANG,FL_px,TimTrackAlpha,RawTimTrackAlpha,FascicleCandidateIdx,FascicleRawRejected,FascicleSelectionReason,SuperApoRejected,DeepApoRejected,SuperApoSoftDownweighted,DeepApoSoftDownweighted,SuperApoGateReason,DeepApoGateReason,speckle_zncc,speckle_confidence,forward_backward_error,valid_patch_fraction,n_valid_patches,n_total_patches,motion_consistency,motion_spread_px,n_motion_points,feature_reliability,feature_peak_score,feature_peak_count_score,feature_mask_score,feature_mask_density,geometry_stability,geometry_alpha_score,geometry_pennation_score,geometry_length_score,geometry_angle_jump_deg,geometry_angle_jump_score,geometry_length_jump_px,geometry_length_jump_score,confidence_theta,confidence_length,combined_confidence,r_scale,r_scale_theta,r_scale_length,R_t_x_variance,R_t_alpha_variance,R_t_length_variance,R_t_theta_variance,kalman_measurement_r_scale,kalman_measurement_r_scale_theta,kalman_measurement_r_scale_length,detection_success,fixed_ANG_deg,fixed_PEN_deg,fixed_FL_px,fixed_FL_mm,delta_vs_fixed_ANG_deg,delta_vs_fixed_PEN_deg,delta_vs_fixed_FL_px,delta_vs_fixed_FL_mm
0,0.0,76.4785356479129,12.000000560561915,12.000000560561915,1158.4914275660178,8.5,8.5,3,False,candidate persistence disabled,False,False,False,False,,,nan,1.0,nan,nan,0.0,0.0,1.0,nan,0.0,0.8891959798994975,0.7537688442211056,1.0,1.0,nan,1.0,1.0,1.0,1.0,nan,1.0,nan,1.0,0.959730113058021,1.0,0.9710673957663533,0.5959656702693973,0.6575814987978402,0.5,50.0,2.0091035656523313,50.0,2.0091035656523313,0.5734027811224149,0.6575814987978402,0.5,True,12.000000560561915,12.000000560561915,1158.4914275660178,76.4785356479129,0.0,0.0,0.0,0.0
1,0.04,76.37069020697449,12.002076644807136,12.002468525167927,1156.857792484347,8.0,8.0,5,False,candidate persistence disabled,False,False,False,False,,,0.9983972311019897,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8919334975369457,0.7598522167487685,1.0,1.0,nan,0.987346125545245,1.0,1.0,1.0,0.5,0.9394130628134758,0.07038497432063195,0.9988276048874353,0.9547771693705205,0.9979160195858359,0.9699593472978101,0.6015309986955473,0.6875302036718146,0.5018551330425863,50.185513304258635,2.1006056073900803,50.185513304258635,2.1006056073900803,0.5874015337352423,0.6875302036718146,0.5018551330425863,True,12.002468525167927,12.002076644807136,1156.8577924549827,76.37069020503597,0.0,0.0,2.9364400688791648e-08,1.9385169025554205e-09
2,0.08,76.40056402387147,12.002175770665888,12.003948787081725,1157.3103189414849,7.0,7.0,3,False,candidate persistence disabled,False,False,False,False,,,0.9986563324928284,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8880681818181817,0.7512626262626263,1.0,1.0,nan,0.9750415982050259,1.0,1.0,1.0,1.0,0.8824969025845955,0.08254322062202846,0.9986252255257312,0.9473872322876753,0.9960103502225083,0.9670858951874852,0.6164414709500333,0.7353267702010887,0.5049140183290405,50.491401832904046,2.2466380800424552,50.491401832904046,2.2466380800424552,0.6093248676421689,0.7353267702010887,0.5049140183290405,True,12.003948787081725,12.002175770665888,1157.3103188846085,76.40056402011675,0.0,0.0,5.6876388043747284e-08,3.754720978577097e-09
3,0.12,76.40528333762231,12.004192079245698,12.005416465666144,1157.3818067710833,9.0,9.0,2,False,candidate persistence disabled,False,False,False,False,,,0.9987163543701172,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8925373134328358,0.7611940298507462,1.0,1.0,nan,0.9510583474168658,1.0,1.0,1.0,2.0,0.7788007830714049,0.0539593704490926,0.9991010814287691,0.9372638600749545,0.9923673992558255,0.9646897621869671,0.6293854900782219,0.8064159032166486,0.5130029960129009,51.30029960129009,2.463836147326588,51.30029960129009,2.463836147326588,0.6431903096149617,0.8064159032166486,0.5130029960129009,True,12.005416465666144,12.004192079245698,1157.3818066968693,76.40528333272302,0.0,0.0,7.421408554364461e-08,4.899291639048897e-09
4,0.16,76.367998642443,12.005647539277774,12.006650158480824,1156.817020855941,8.5,8.5,5,False,candidate persistence disabled,False,False,False,False,,,0.9984652996063232,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8914572864321608,0.7587939698492462,1.0,1.0,nan,0.9872574812168846,1.0,1.0,1.0,0.5,0.9394130628134758,0.09732030294549077,0.9983793096901642,0.9545987210403644,0.9978353852559653,0.9698167926660407,0.602254561774041,0.688641283254556,0.5019638374142094,50.19638374142094,2.104000280073983,50.19638374142094,2.104000280073983,0.587939640732195,0.688641283254556,0.5019638374142094,True,12.006650158480852,12.005647539277803,1156.8170207469932,76.36799863525073,-2.842170943040401e-14,-2.842170943040401e-14,1.0894791557802819e-07,7.192269890765601e-09
5,0.2,76.36532008467813,12.003894641002972,12.000982471866365,1156.7764462531125,7.0,7.0,5,False,candidate persistence disabled,False,False,False,False,,,0.9976633787155151,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8920454545454546,0.76010101010101,1.0,1.0,nan,0.9629667690276595,1.0,1.0,1.0,1.5,0.8290291181804004,0.07091266165730303,0.998818820448087,0.9429581599779006,0.9941792684981949,0.9663588786687769,0.620320687944419,0.7656592246540452,0.5086596624022424,50.86596624022424,2.3393125888414885,50.86596624022424,2.3393125888414885,0.6240672742002173,0.7656592246540452,0.5086596624022424,True,12.001113439603472,12.00402560874008,1156.7640105136818,76.36449913156729,-0.00013096773710685738,-0.00013096773710685738,0.012435739430657122,0.0008209531108462897
6,0.24,76.39666815510049,12.001717949431281,11.995399884872427,1157.2513045979717,6.5,6.5,0,False,candidate persistence disabled,False,False,False,False,,,0.9980849027633667,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8914572864321608,0.7587939698492462,1.0,1.0,nan,0.987423754139957,1.0,1.0,1.0,0.5,0.9394130628134758,0.0467988555883494,0.9992203231795795,0.9545987210403644,0.9979866329812186,0.9698412912494838,0.6021300927193537,0.688641283254556,0.5017616476000872,50.176164760008724,2.104000280073983,50.176164760008724,2.104000280073983,0.5878212184765401,0.688641283254556,0.5017616476000872,True,11.995658082284194,12.001976146843049,1157.2267738013759,76.39504873923147,-0.000258197411767469,-0.000258197411767469,0.024530796595854554,0.0016194158690154836
7,0.28,76.42406466085954,11.999476896418855,11.98959481935816,1157.666304921896,8.5,8.5,1,False,candidate persistence disabled,False,False,False,False,,,0.9979214668273926,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8924876847290639,0.7610837438423645,1.0,1.0,nan,0.9510740554646322,1.0,1.0,1.0,2.0,0.7788007830714049,0.04900449525439399,0.9991835918550522,0.937245619256745,0.9923821505352932,0.9646787416674337,0.6294460676894498,0.8065495506577647,0.512965318530215,51.2965318530215,2.4642444792990927,51.2965318530215,2.4642444792990927,0.6432199834920881,0.8065495506577647,0.512965318530215,True,11.989989633157052,11.999871710217747,1157.6287743304313,76.42158705540739,-0.00039481379889139134,-0.00039481379889139134,0.0375305914647015,0.002477605452156695
8,0.32,76.39608065415423,11.996214470868978,11.98300708876721,1157.242405175354,8.5,8.5,1,False,candidate persistence disabled,False,False,False,False,,,0.9976855516433716,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8924632352941175,0.7610294117647058,1.0,1.0,nan,0.9998076880727812,1.0,1.0,1.0,0.0,1.0,0.05769912645860131,0.9990388101315617,0.9609628910463341,0.9998269176011112,0.9719301499022752,0.5917053666155004,0.6504011238840949,0.5000444031693869,50.00444031693869,1.9871654228239528,50.00444031693869,1.9871654228239528,0.5702889108279423,0.6504011238840949,0.5000444031693869,True,11.983574638082985,11.996782020184753,1157.188460231556,76.39251944497383,-0.0005675493157752953,-0.0005675493157752953,0.05394494379788739,0.0035612091804040347
9,0.36,76.38652197281199,11.990905325307864,11.985413616629955,1157.0976109491046,8.5,8.5,2,False,candidate persistence disabled,False,False,False,False,,,0.998252272605896,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8919999999999999,0.76,1.0,1.0,nan,0.9998739462423524,1.0,1.0,1.0,0.0,1.0,0.03781851092708166,0.9993698900872318,0.960788285013595,0.9998865509030543,0.9718136647258573,0.5922768012993506,0.6514113275419116,0.5000235633034542,50.00235633034542,1.9902518900902384,50.00235633034542,1.9902518900902384,0.5707197325953783,0.6514113275419116,0.5000235633034542,True,11.985981134117651,11.99147284279556,1157.0436512283518,76.38295978812167,-0.000567517487695568,-0.000567517487695568,0.05395972075280042,0.0035621846903239884
10,0.4,76.3813210479083,11.98616852648963,11.987362089428473,1157.0188277079599,8.5,8.5,2,False,candidate persistence disabled,False,False,False,False,,,0.9985964298248291,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8880681818181817,0.7512626262626263,1.0,1.0,nan,0.999957309112452,1.0,1.0,1.0,0.0,1.0,0.012807539648974853,0.9997865637866006,0.9593038966792216,0.9999615781191924,0.9707531230998422,0.5975335107622669,0.6600898700917988,0.5000046441104717,50.000464411047176,2.016767372678358,50.000464411047176,2.016767372678358,0.574498042273581,0.6600898700917988,0.5000046441104717,True,11.98792961730311,11.986736054364266,1156.964848734603,76.37775759224529,-0.000567527874636653,-0.000567527874636653,0.053978973356834103,0.00356345566301286
11,0.44,76.34653152921196,11.987587223241587,11.988827995773676,1156.4918385490093,8.5,8.5,2,False,candidate persistence disabled,False,False,False,False,,,0.9987562894821167,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8880710659898476,0.751269035532995,1.0,1.0,nan,0.9999634515175296,1.0,1.0,1.0,0.0,1.0,0.010964745114733887,0.9998172709450756,0.9593049871112277,0.9999671063056652,0.9707548057260111,0.5975250939621924,0.6600834358412958,0.5000036787780793,50.000367877807925,2.016747714163556,50.000367877807925,2.016747714163556,0.5744946877222818,0.6600834358412958,0.5000036787780793,True,11.989395522052206,11.988154749520117,1156.4378909308143,76.34297014347955,-0.0005675262785302948,-0.0005675262785302948,0.053947618195024916,0.0035613857324108267
12,0.48,76.35877401165176,11.989016855093363,11.99055284491618,1156.6772868037187,7.0,7.0,9,False,candidate persistence disabled,False,False,False,False,,,0.998435378074646,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8880681818181817,0.7512626262626263,1.0,1.0,nan,0.9631037839099759,1.0,1.0,1.0,1.5,0.8290291181804004,0.028230461151679265,0.999529602985522,0.9414845272536307,0.9943065779254204,0.9653005217392999,0.6260430862377442,0.7760200870027112,0.508377118959004,50.8377118959004,2.3709680498390875,50.8377118959004,2.3709680498390875,0.628100991946959,0.7760200870027112,0.508377118959004,True,11.991120370165845,11.989584380343027,1156.6233372242357,76.3552124964437,-0.0005675252496644134,-0.0005675252496644134,0.053949579483060006,0.00356151520806236
13,0.52,76.32271421863142,11.98657953648914,11.990081633069167,1156.1310556195053,8.0,8.0,2,False,candidate persistence disabled,False,False,False,False,,,0.9979819655418396,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8886306532663315,0.7525125628140703,1.0,1.0,nan,0.9752484884253345,1.0,1.0,1.0,1.0,0.8824969025845955,0.01889415964296859,0.9996851469159227,0.9475972037963882,0.9962005537518958,0.967269770876048,0.6154670790486073,0.7339194335326756,0.5045668323474635,50.45668323474635,2.2423382554218554,50.45668323474635,2.2423382554218554,0.6085321715208054,0.7339194335326756,0.5045668323474635,True,11.990649140335535,11.987147043755508,1156.077121952538,76.31915375389802,-0.0005675072663677838,-0.0005675072663677838,0.053933666967395766,0.003560464733396884
14,0.56,76.28552566480006,11.98514225898071,11.989490904030617,1155.5677260466753,7.0,7.0,7,False,candidate persistence disabled,False,False,False,False,,,0.9982912540435791,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8880569306930692,0.7512376237623762,1.0,1.0,nan,0.9750838363675798,1.0,1.0,1.0,1.0,0.8824969025845955,0.06954769885351197,0.9988415432155111,0.9473830313425949,0.9960491820020262,0.9670891160120046,0.6164243797194576,0.7353549557902784,0.5048424500166095,50.48424500166095,2.246724195250752,50.48424500166095,2.246724195250752,0.6092933591571631,0.7353549557902784,0.5048424500166095,True,11.990058391610319,11.985709746560412,1155.5138138861646,76.28196661982885,-0.0005674875797012646,-0.0005674875797012646,0.05391216051066294,0.0035590449712117334
15,0.6,76.25915677333411,11.984247194760052,11.989120873080026,1155.1682919510965,7.0,7.0,7,False,candidate persistence disabled,False,False,False,False,,,0.9983783960342407,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8875,0.75,1.0,1.0,nan,0.9999959389763845,1.0,1.0,1.0,0.0,1.0,0.0012183095584532566,0.9999796950468408,0.9590890366642516,0.999996345078004,0.9706034392768198,0.5982832242630345,0.6613593628639762,0.5000001362547905,50.00001362547904,2.0206460439302325,50.00001362547904,2.0206460439302325,0.5750476254584219,0.6613593628639762,0.5000001362547905,True,11.989688360393302,11.984814682073328,1155.114394308656,76.25559868678238,-0.0005674873132761604,-0.0005674873132761604,0.05389764244046091,0.0035580865517346183
16,0.64,76.2279402349601,11.984246092881959,11.987862267327813,1154.6954260443658,7.0,7.0,8,False,candidate persistence disabled,False,False,False,False,,,0.9981725215911865,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8886194029850747,0.7524875621890548,1.0,1.0,nan,0.9998567027797267,1.0,1.0,1.0,0.0,1.0,0.04299224649025746,0.9992837192101444,0.959512257587156,0.9998710315776713,0.9708890708021564,0.5968542568873737,0.6588619734694067,0.5000285600979177,50.00285600979177,2.0130157898147734,50.00285600979177,2.0130157898147734,0.5739771806415128,0.6588619734694067,0.5000285600979177,True,11.988429769016278,11.984813594570424,1154.6415491022713,76.22438351495464,-0.0005675016884651995,-0.0005675016884651995,0.0538769420945755,0.003556720005462921
17,0.68,76.21064016901849,11.983582559940661,11.99420241010668,1154.4333658738894,8.0,8.0,2,False,candidate persistence disabled,False,False,False,False,,,0.9955273270606995,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8908582089552239,0.7574626865671642,1.0,1.0,nan,0.9751933143625697,1.0,1.0,1.0,1.0,0.8824969025845955,0.035866948895318274,0.999402396154762,0.9484279065005041,0.9961498301371329,0.9678671588053206,0.6123203124488834,0.728379308377303,0.5046585895348907,50.465858953489075,2.2254115547403917,50.465858953489075,2.2254115547403917,0.6062861324589974,0.728379308377303,0.5046585895348907,True,11.995001934514562,11.984382084348542,1154.3574757448985,76.20563023472182,-0.0007995244078813357,-0.0007995244078813357,0.07589012899097725,0.005009934296666074
18,0.72,76.21959634259437,11.983698962229383,12.000065166384871,1154.5690333552755,8.0,8.0,2,False,candidate persistence disabled,False,False,False,False,,,0.9957812428474426,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8941831683168318,0.7648514851485149,1.0,1.0,nan,0.9999980373994375,1.0,1.0,1.0,0.0,1.0,0.0005887807465114747,0.9999901870357056,0.9616106658514452,0.9999982336593205,0.9724258491822888,0.5892869178065695,0.6466731032057249,0.5000000457768936,50.00000457768936,1.9757752306554814,50.00000457768936,1.9757752306554814,0.5686269262051774,0.6466731032057249,0.5000000457768936,True,12.00105914069593,11.98469293654044,1154.474677590847,76.21336738783327,-0.0009939743110578547,-0.0009939743110578547,0.0943557644284283,0.006228954761098748
19,0.76,76.23082092255461,11.984234435385257,12.004546460502809,1154.7390624955017,8.0,8.0,1,False,candidate persistence disabled,False,False,False,False,,,0.997855544090271,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8953358208955224,0.7674129353233831,1.0,1.0,nan,0.999813172921733,1.0,1.0,1.0,0.0,1.0,0.0560533597858921,0.9990662135870317,0.9620443338719775,0.999831854058756,0.9727120998555132,0.5879001845965733,0.6441947797519965,0.500042517154801,50.004251715480095,1.9682032285586641,50.004251715480095,1.9682032285586641,0.567560374942764,0.6441947797519965,0.500042517154801,True,12.00554045870058,11.985228433583028,1154.6446948643352,76.22459118440338,-0.0009939981977709067,-0.0009939981977709067,0.09436763116650582,0.006229738151233732
20,0.8,76.23819943949125,11.985092319409548,12.009094797984886,1154.8508317461396,8.0,8.0,1,False,candidate persistence disabled,False,False,False,False,,,0.9982446432113647,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8958128078817733,0.7684729064039408,1.0,1.0,nan,0.999649912232535,1.0,1.0,1.0,0.0,1.0,0.10504471874810406,0.9982507863481266,0.962223686820626,0.9996849154933084,0.9728177960880035,0.5873899740705295,0.6431739367735817,0.5001090624336112,50.01090624336112,1.9650842550600882,50.01090624336112,1.9650842550600882,0.5671482297438393,0.6431739367735817,0.5001090624336112,True,12.010088802203313,11.986086323627974,1154.7564613060058,76.2319695159043,-0.0009940042184268805,-0.0009940042184268805,0.09437044013384366,0.006229923586957398
21,0.84,76.2442361256237,11.986037719027667,12.012046932524726,1154.9422750390333,8.5,8.5,3,False,candidate persistence disabled,False,False,False,False,,,0.9981207251548767,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8959375,0.76875,1.0,1.0,nan,0.9875553119219723,1.0,1.0,1.0,0.5,0.9394130628134758,0.0068315107782837,0.999886147968663,0.9562751265876076,0.9981063007829103,0.9710769443207042,0.5959181672273429,0.6782901919746842,0.5016069453631053,50.16069453631054,2.072374672545788,50.16069453631054,2.072374672545788,0.5832967266033435,0.6782901919746842,0.5016069453631053,True,12.013040972419219,11.98703175892216,1154.8479013476624,76.23800598740428,-0.0009940398944934259,-0.0009940398944934259,0.0943736913709472,0.006230138219422088
22,0.88,76.24512766139284,11.988177243030272,12.017503789926337,1154.95577995956,8.0,8.0,3,False,candidate persistence disabled,False,False,False,False,,,0.9978159070014954,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8920685279187817,0.7601522842639594,1.0,1.0,nan,0.9870590721075951,1.0,1.0,1.0,0.5,0.9394130628134758,0.15761735398018573,0.9973764915295708,0.9548277573954831,0.9976549019869237,0.9699537492956641,0.6015593800975102,0.6872156237707009,0.5022145021661502,50.22145021661502,2.099644473899911,50.22145021661502,2.099644473899911,0.5874773632854315,0.6872156237707009,0.5022145021661502,True,12.018662525332246,11.98933597843618,1154.845790538467,76.237866641016,-0.0011587354059088284,-0.0011587354059088284,0.1099894210929051,0.00726102037684484
