cluster_id,frame_coverage,n_candidates,cluster_score,mean_score,median_alpha_deg,alpha_std_deg,median_length_mm,length_std_mm,median_x_mid,x_mid_std,mean_mask_support,mean_hough_score,hough_peak_fraction
a1.00_x3350_lnan,8,16,,0.0,1.0,0.0,,,3344.7669427803703,12.790729105814853,0.0,1.0,1.0
a1.25_x3350_lnan,8,16,,0.0,1.2,0.0,,,3344.7669444378043,12.790765852845967,0.0,1.0,0.0
a1.50_x3350_lnan,8,24,,0.0,1.6,0.06959705453537533,,,3344.766971896667,12.790736353378106,0.0,0.9461451004704508,0.0
a1.75_x3350_lnan,8,16,,0.0,1.7,0.0,,,3344.766963993088,12.790722285365467,0.0,0.9461451004704508,0.0
a2.00_x3350_lnan,8,24,,0.0,2.1,0.06959705453537533,,,3344.7669666379243,12.79073707172543,0.0,0.7846656423312397,0.125
a2.25_x3350_lnan,8,16,,0.0,2.2,0.0,,,3344.766969223394,12.790737366366615,0.0,0.7846656423312397,0.0
a2.50_x3350_lnan,8,24,,0.0,2.6,0.06959705453537533,,,3344.766966180964,12.790738342164564,0.0,0.8310981793427679,0.125
a2.75_x3350_lnan,8,16,,0.0,2.7,0.0,,,3344.766962821367,12.790738189446023,0.0,0.8310981793427678,0.0
a3.00_x3350_lnan,8,24,,0.0,3.1,0.06959705453537533,,,3344.7669497847933,12.790744238141043,0.0,0.8494476888423341,0.125
a3.25_x3350_lnan,8,16,,0.0,3.2,0.0,,,3344.766949958326,12.790743049256635,0.0,0.8494476888423341,0.0
a3.50_x3350_lnan,8,24,,0.0,3.6,0.06959705453537533,,,3344.766901702793,12.790756488316932,0.0,0.7932635664387577,0.125
a3.75_x3350_lnan,8,16,,0.0,3.7,0.0,,,3344.76699078684,12.79071049177932,0.0,0.7932635664387577,0.0
a4.00_x3350_lnan,8,24,,0.0,4.1,0.06959705453537515,,,3344.766902383908,12.79077551978418,0.0,0.8461989214793496,0.125
a4.25_x3350_lnan,8,16,,0.0,4.2,0.0,,,3344.766863612718,12.790740143782234,0.0,0.8461989214793495,0.0
a4.50_x3350_lnan,8,24,,0.0,4.6,0.06959705453537503,,,3344.766366039233,12.790764666049483,0.0,0.8041099698198602,0.125
a4.75_x3350_lnan,8,16,,0.0,4.7,0.0,,,3344.7657874955567,12.790995162624693,0.0,0.8041099698198602,0.0
