Frame,Time,FL,PEN,ANG,FL_px,TimTrackAlpha,RawTimTrackAlpha,FascicleCandidateIdx,FascicleRawRejected,FascicleSelectionReason,SuperApoRejected,DeepApoRejected,SuperApoSoftDownweighted,DeepApoSoftDownweighted,SuperApoGateReason,DeepApoGateReason,R_t_x_variance,R_t_alpha_variance,R_t_length_variance,R_t_theta_variance,kalman_measurement_r_scale,kalman_measurement_r_scale_theta,kalman_measurement_r_scale_length
0,0.0,0.000437035674555375,-4.911391328422859,0.0,0.0066201853660459165,3.0,3.0,5,False,first frame,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
1,0.04,2.1320316508209864,-4.883476010799778,0.0,32.29586405977352,3.0,3.0,3,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
2,0.08,6.307219734000804,-4.893143999079855,0.0010756942682385287,95.54131668072223,3.0,3.0,2,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
3,0.12,4.5275845140048565,-4.896347396105539,0.002145652187442876,68.58352873285462,2.5,2.5,4,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
4,0.16,4.102909977240941,-4.88670410030748,0.003090880135867144,62.15058900435981,2.5,2.5,5,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
5,0.2,6.260323424144222,-4.8791867071820905,0.0008841147463771773,94.83093470893022,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
6,0.24,17.8122726148081,-4.877872235129704,0.0029198620639695272,269.8190407923594,2.5,2.5,3,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
7,0.28,30.52462973435555,-4.879706542676063,0.0006772444033790727,462.3849237866876,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
8,0.32,121.42691185096463,-4.876629436795157,0.0028632472248386054,1839.366238689168,2.5,2.5,5,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
9,0.36,138.2139811762523,-4.882599334875181,0.006323263271726363,2093.655572847372,2.5,2.5,5,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
10,0.4,153.02728302049613,-4.8873587095302335,0.009738376599195664,2318.0464173518935,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
11,0.44,249.34147074751675,-4.886992621476171,0.011559958585845692,3777.006894163567,2.5,2.5,5,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
12,0.48,215.12466007613014,-4.886317472683591,0.013627778569896202,3258.6930757094265,2.5,2.5,5,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
13,0.52,284.32611775006944,-4.882403066281156,0.014781999429721216,4306.951842841288,2.5,2.5,5,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
14,0.56,400.3498131853996,-4.877745036052374,0.015949818653865116,6064.470542926762,3.0,3.0,3,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
15,0.6,567.9474556391108,-4.874172775420318,0.016840656318033807,8603.227730391263,2.5,2.5,5,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
16,0.64,1027.9799491519286,-4.869838445571769,0.017284373533503785,15571.7672770943,2.5,2.5,5,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
17,0.68,999.3868257500607,-4.868653261296054,0.02317804500004072,15138.640674083757,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
18,0.72,521.5429510074665,-4.866315511663345,0.029201987480252895,7900.295589225528,2.5,2.5,2,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
19,0.76,260.2044833257651,-4.865864462011563,0.03206521644151096,3941.5590373607024,2.5,2.5,2,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
20,0.8,128.77364843196983,-4.864892663533255,0.035266735617336745,1950.6540827564656,2.5,2.5,2,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
21,0.84,68.22623171582997,-4.861900443858982,0.03899286694366123,1033.486113565235,3.0,3.0,1,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
22,0.88,1.2879054588121461,-4.85347070182931,0.04970473915111029,19.50910044117807,2.5,2.5,3,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
23,0.92,56.30441039773503,-4.850592511268282,0.052346122789117544,852.8952107585898,2.5,2.5,3,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
24,0.96,107.52129239792379,-4.847902534654491,0.055253177937942155,1628.7249025957683,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
25,1.0,153.39071668508117,-4.852251666110309,0.05777684710105291,2323.5516846970872,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
26,1.04,189.18158668923644,-4.8527345388617436,0.06065487918829149,2865.7092421564807,2.5,2.5,6,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
27,1.08,252.64917829989977,-4.8516301125517,0.06536176755412271,3827.1118133002565,2.5,2.5,6,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
28,1.12,327.5575706472078,-4.847670713482704,0.07010902194457458,4961.818821638177,2.5,2.5,3,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
29,1.16,230.56514347974567,-4.85046508653284,0.06306826215651995,3492.584421941709,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
30,1.2,107.94829412377561,-4.845094860594702,0.05521464283233669,1635.1930944193227,3.0,3.0,1,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
31,1.24,10.626310678273509,-4.847221429262385,0.04617105180438988,160.96659962355136,2.5,2.5,6,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
32,1.28,214.3943944218374,-4.842897104419117,0.03751322117081429,3247.6310634313827,2.5,2.5,6,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
33,1.32,154.141199899639,-4.842767091555396,0.0377775440418525,2334.9199511424604,2.5,2.5,5,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
34,1.36,111.94184246388183,-4.842596805581896,0.03790295927308766,1695.687081109689,2.0,2.0,3,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
35,1.4,63.9806869551056,-4.843532256893068,0.03779508262673802,969.1749029885817,2.5,2.5,5,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
36,1.44,36.09631613059053,-4.843722576132209,0.037948134642773065,546.7844336941523,2.5,2.5,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
