frame,candidate_source,alpha_deg,segment_angle_deg,x_sup,y_sup,x_deep,y_deep,x_mid,y_mid,peak_weight,peak_weight_norm,score,raw_mask_support,mask_support_score,inside_muscle_score,visible_fraction,hough_score,length_score,phi_score,pennation_score,boundary_score,length_mm,phi_deg,pennation_deep_deg,outside_px,alpha_bin,xmid_bin,length_bin,cluster_id
7,grid_scan,-45.2,-45.19999999999999,371.9384576926676,219.6144298220814,652.0615414808298,501.69999999999993,511.9999995867487,360.6572149110407,,,0.5651136474171876,0.154,0.61,1.0,1.0,0.7488584474885844,3.983911995239519e-09,0.9836235918238464,0.980198673306755,1.0,26.244113884505154,-45.16511983746928,-45.2,0.0,-45.25,500.0,25.0,a-45.25_x500_l25
8,grid_scan,-45.2,-45.20000000000002,372.16702958964197,220.07477274081364,651.8329730926276,501.70000000000005,512.0000013411347,360.88738637040683,,,0.5614470402613937,0.178,0.588,1.0,1.0,0.7296137339055794,3.853391004565099e-09,0.9892538295619894,0.980198673306755,1.0,26.201285419449274,-45.10804327546953,-45.2,0.0,-45.25,500.0,25.0,a-45.25_x500_l25
6,grid_scan,-45.2,-45.20000000000002,371.48613433695823,218.503442678251,652.5138674762381,501.5,512.0000009065982,360.0017213391255,,,0.5572718497321842,0.168,0.588,1.0,1.0,0.6753246753246753,4.255019672809541e-09,0.9920810160934105,0.980198673306755,1.0,26.32886848692926,-45.079505055830296,-45.2,0.0,-45.25,500.0,25.0,a-45.25_x500_l25
9,grid_scan,-45.2,-45.20000000000002,372.03779167851894,219.61449029400492,651.9622068275728,501.5,511.99999925304587,360.55724514700245,,,0.555943528387749,0.164,0.59,1.0,1.0,0.6694560669456067,3.926668149221079e-09,0.9836235918238464,0.980198673306755,1.0,26.225501057887907,-45.16511983746928,-45.2,0.0,-45.25,500.0,25.0,a-45.25_x500_l25
5,grid_scan,-45.2,-45.20000000000002,371.48613433695823,218.503442678251,652.5138674762381,501.5,512.0000009065982,360.0017213391255,,,0.5550263056211229,0.168,0.582,1.0,1.0,0.6724137931034483,4.255019672809541e-09,0.9920810160934105,0.980198673306755,1.0,26.32886848692926,-45.079505055830296,-45.2,0.0,-45.25,500.0,25.0,a-45.25_x500_l25
4,grid_scan,-45.2,-45.20000000000002,371.7146504182735,218.9636763771681,652.2853517323432,501.5,512.0000010753083,360.23183818858405,,,0.5533413356279716,0.186,0.56,1.0,1.0,0.7142857142857143,4.11588256853753e-09,0.9977596323709182,0.980198673306755,1.0,26.286050183248395,-45.022428810072675,-45.2,0.0,-45.25,500.0,25.0,a-45.25_x500_l25
3,grid_scan,-45.2,-45.20000000000002,371.5538250231586,219.03977676369158,652.4461725614842,501.9,511.99999879232143,360.46988838184575,,,0.5502575372786247,0.17,0.556,1.0,1.0,0.7359307359307359,4.213332692684325e-09,0.9987092204084516,0.980198673306755,1.0,26.316184508580463,-45.01291613365081,-45.2,0.0,-45.25,500.0,25.0,a-45.25_x500_l25
10,grid_scan,-45.2,-45.19999999999999,371.7837404696056,218.9028288499205,652.2162574031005,501.30000000000007,511.99999893635305,360.1014144249603,,,0.5479929283210119,0.166,0.556,1.0,1.0,0.7111111111111111,4.074693912211862e-09,0.9961789894827355,0.980198673306755,1.0,26.2731039934099,-45.038283292271444,-45.2,0.0,-45.25,500.0,25.0,a-45.25_x500_l25
2,grid_scan,-45.2,-45.20000000000002,371.5538250231586,219.03977676369158,652.4461725614842,501.9,511.99999879232143,360.46988838184575,,,0.543367897033812,0.17,0.538,1.0,1.0,0.7241379310344828,4.213332692684325e-09,0.9987092204084516,0.980198673306755,1.0,26.316184508580463,-45.01291613365081,-45.2,0.0,-45.25,500.0,25.0,a-45.25_x500_l25
1,grid_scan,-45.2,-45.20000000000002,371.515735870235,218.963059898845,652.4842665495339,501.9,512.0000012098844,360.4315299494225,,,0.5428301393494145,0.118,0.57,1.0,1.0,0.6788617886178862,4.236741272362492e-09,0.9977596323709182,0.980198673306755,1.0,26.323321939029764,-45.022428810072675,-45.2,0.0,-45.25,500.0,25.0,a-45.25_x500_l25
0,grid_scan,-45.2,-45.20000000000002,371.515735870235,218.963059898845,652.4842665495339,501.9,512.0000012098844,360.4315299494225,,,0.5399636352843739,0.116,0.564,1.0,1.0,0.6707317073170732,4.236741272362492e-09,0.9977596323709182,0.980198673306755,1.0,26.323321939029764,-45.022428810072675,-45.2,0.0,-45.25,500.0,25.0,a-45.25_x500_l25
