cluster_id,frame_coverage,n_candidates,cluster_score,mean_score,median_alpha_deg,alpha_std_deg,median_length_mm,length_std_mm,median_x_mid,x_mid_std,mean_mask_support,mean_hough_score,hough_peak_fraction
a-14.50_x400_l75,11,31,1.1355149956324393,0.7003817882880349,-14.4,0.09359663764533603,76.65872851141582,0.29948599026889056,399.9999996374272,1.4401243744291362e-06,0.3829738962394973,0.7623945587785301,0.09090909090909091
a-14.75_x400_l75,11,22,1.1348657352368574,0.6978365702658467,-14.7,0.028747978728803854,75.42738199342645,0.2395875454413079,399.99999993645673,1.1878839331198415e-06,0.3781215998535383,0.7652061801468526,0.0
a-14.25_x400_l80,11,18,1.132161048023975,0.694884263709589,-14.3,0.04810456929208414,77.73550625963333,0.17611242997723137,400.0000009131445,2.051538647172486e-06,0.38066602212865247,0.7580445816335218,0.0
a-15.00_x400_l75,11,33,1.1273671065285071,0.691321653901772,-14.9,0.028747978728803344,74.49769268489607,0.33795877986887873,400.00000007886024,1.5258196623625877e-06,0.37699951277133026,0.7619021052547467,0.09090909090909091
a-14.00_x400_l80,11,33,1.1248181272507158,0.6877389405468982,-14.1,0.0,78.70926897111411,0.29208132961824423,399.9999985154507,2.1992880047723386e-06,0.38180476347304604,0.738494951369837,0.0
a-15.25_x400_l75,11,17,1.115230896495405,0.677941174524851,-15.2,3.552713678800501e-15,73.03582217488746,0.2710278029446023,399.9999997559835,1.3920010873701566e-06,0.3749852607846966,0.7619021052547467,0.0
a-13.75_x400_l80,11,22,1.1032811564666634,0.6662653868077214,-13.8,0.0,80.41821394219077,0.29842303410581106,400.0000010378977,1.6724067160604647e-06,0.37984470443940754,0.738494951369837,0.0
a-15.50_x400_l70,11,31,1.0992920893252922,0.6617225972750107,-15.4,0.03856946079199336,72.04174210138285,0.16591187338785499,399.99999935739356,1.5161304580562493e-06,0.36619691848518915,0.7450485971278293,0.09090909090909091
a-13.50_x400_l80,11,22,1.0828070286668963,0.645835136371284,-13.6,0.0,81.60060783737981,0.302810770438766,399.9999989946712,1.9866351566686044e-06,0.3822394421569506,0.6650636279215262,0.0
a-15.75_x400_l70,11,22,1.0764848320455913,0.6391094329402441,-15.7,3.552713678800501e-15,70.7270190792105,0.2624600894652827,399.9999994217372,1.2896635292751685e-06,0.35610189851976853,0.7450485971278291,0.0
a-16.00_x400_l70,11,33,1.0624995373327986,0.6250914193876704,-15.9,0.0,69.84532091556058,0.2591882054871927,399.999999215002,1.1105717070346097e-06,0.35885133867132146,0.7545079000291495,0.0
a-13.25_x400_l85,11,22,1.0483321203753835,0.6114285899910613,-13.3,0.0,83.44280650345911,0.309646961567792,399.9999990699662,1.947770342290723e-06,0.3803909697954136,0.6650636279215262,0.0
a-16.25_x400_l70,11,22,1.0434561791357202,0.6060005416002328,-16.2,3.552713678800501e-15,68.56477584532374,0.2544362464512443,399.9999998795557,7.536295336795505e-07,0.3755895477883781,0.7545079000291495,0.0
a-16.50_x400_l65,11,22,1.0244872522621054,0.5877766225593454,-16.5,0.06680426571226945,67.33670267124761,0.19532849829947385,399.99999914430884,1.4422032310059397e-06,0.3959123597542689,0.7053308504294556,0.18181818181818182
a-13.00_x400_l85,11,33,1.0238501343744586,0.5869939683544675,-13.1,0.0,84.71916853078255,0.3143833980008911,399.9999981639371,1.58172057551447e-06,0.3860288150602915,0.6293936717191675,0.0
a-16.75_x400_l65,11,22,1.0159328842137947,0.5784019512044242,-16.7,3.552713678800501e-15,66.53573416168148,0.24690669906296137,399.9999999302519,9.562642204027102e-07,0.4076470192160804,0.7053308504294555,0.0
a-17.00_x400_l65,11,33,1.004698168332924,0.5671384014595252,-16.9,3.552713678800501e-15,65.75872720512544,0.24402331266014035,399.99999917465794,1.0426586279166037e-06,0.41548385483947514,0.6492848000282194,0.0
a-17.25_x400_l65,11,22,0.9903822267819776,0.552780504040681,-17.2,3.552713678800501e-15,64.62811208686722,0.2398277258703281,400.00000050840674,1.2722158660166129e-06,0.42082347571691514,0.6492848000282194,0.0
a-12.75_x400_l85,11,19,0.9843485297229515,0.547566265969558,-12.8,0.0,86.71066653266901,0.32177362466065607,399.99999833619694,2.1995207041258314e-06,0.3828094165681451,0.6293936717191675,0.0
a-13.50_x400_l85,9,11,0.9823121906790379,0.6244741073995845,-13.4,0.04157397096415476,82.70788739590824,0.13304373012636128,400.00000101318165,1.7589234830101644e-06,0.38213639784765047,0.6543997012169851,0.0
a-17.50_x400_l65,11,33,0.981216583118172,0.5435877178643183,-17.4,3.552713678800501e-15,63.89668324315559,0.23711347461460933,400.0000004805876,9.586249222478073e-07,0.4225826203707529,0.654503658563391,0.0
a-12.50_x400_l90,11,33,0.960027250099641,0.5232962662559989,-12.6,0.0,88.09254247900938,0.32690161563579595,399.9999999447357,1.9737505711726745e-06,0.3842918903310624,0.6060985246406861,0.0
a-18.00_x400_l60,11,32,0.9567861773311279,0.5193117107850149,-17.9,0.028747978728803854,62.141789908606306,0.19505738793108165,400.0000004119688,5.689694088485745e-07,0.41763292666438406,0.6131962359567925,0.0
a-16.50_x400_l70,9,11,0.9532396909693476,0.5953818131492519,-16.4,0.0,67.76065147730274,0.21421221799043158,399.9999997189415,1.1837733249335373e-06,0.38730798075499157,0.6988219285575364,0.0
a-18.25_x400_l60,11,22,0.9425755094660957,0.5048442192592961,-18.2,3.552713678800501e-15,61.136563771569136,0.22687097932003164,400.00000012419156,6.549918502417276e-07,0.4068416262536257,0.6131962359567925,0.0
a-18.50_x400_l60,11,33,0.9338664441272424,0.49611098244738583,-18.4,3.552713678800501e-15,60.48519765408994,0.2244538320143414,400.00000011826916,8.594090490732396e-07,0.39753152652155105,0.6235174386956495,0.0
a-40.00_x400_l30,11,22,0.9332687358500044,0.49545204879841553,-40.0,0.04979295977319763,29.515205815613886,0.11874537529471968,399.9999993093044,1.4575811951887146e-06,0.5434545454545455,0.5096133670305847,0.0
a-39.75_x400_l30,11,22,0.9329295988729661,0.49494211533502885,-39.8,0.038569460791991306,29.59002228552379,0.12411272462228691,400.00000053767485,7.986308144325679e-07,0.5410909090909091,0.5086761599078106,0.0
a-39.50_x400_l30,11,33,0.9307163886370052,0.49363341370359565,-39.5,0.07925270806437701,29.789260769123104,0.13319709053029327,400.00000039282196,1.0718343208734134e-06,0.5367272727272727,0.4968708991338966,0.0
a-39.25_x400_l30,11,22,0.929639682788255,0.4919637612329271,-39.3,0.04810456929208073,29.917259881912972,0.13619870588305583,399.99999999014227,7.049276295579677e-07,0.53,0.5036400031015744,0.0
a-12.25_x400_l90,11,22,0.9284100061396502,0.49175915990897573,-12.3,0.0,90.25206990493508,0.3349153769325579,400.00000104575446,2.0045560156290715e-06,0.3859472109917028,0.6060985246406861,0.0
a-39.00_x400_l30,11,33,0.9279364875360726,0.49034042471129474,-39.0,0.06428243465332341,30.046731406992542,0.11182884821556852,399.9999996073273,1.195090425835641e-06,0.5234545454545455,0.5104378190832044,0.0
a-38.75_x400_l30,11,22,0.926707233222597,0.4883767904776034,-38.8,0.028747978728801814,30.23357931742047,0.10945976804304876,400.0000002902748,1.513252663549307e-06,0.5165454545454545,0.5107408493862348,0.0
a-38.25_x400_l30,11,22,0.9252767788938949,0.48764608112081737,-38.2,0.04979295977319409,30.590078515182846,0.1373443031458623,400.00000081387714,1.0180916963494456e-06,0.5181818181818181,0.49729276564204294,0.0
a-37.25_x400_l30,11,22,0.9244359719623385,0.4860739091808751,-37.2,0.028747978728801814,31.344081113987816,0.10629776439606783,400.00000022734116,1.5694329446229735e-06,0.5185454545454545,0.5218561646623784,0.0
a-38.00_x400_l30,11,33,0.9242167187547228,0.4866802572884772,-38.0,0.08331955809010735,30.77581653414567,0.07971473719522564,399.9999989455208,8.925961481995947e-07,0.5178181818181818,0.49903791862272934,0.0
