Frame,Time,FL,PEN,ANG,FL_px,TimTrackAlpha,RawTimTrackAlpha,HoughBaselineAlpha,HoughPeakSource,HoughLocalmaxFallbackUsed,HoughFallbackMassBelow10Deg,HoughFallbackGapToLowerDeg,FascicleCandidateIdx,FascicleRawRejected,FascicleSelectionReason,SuperApoRejected,DeepApoRejected,SuperApoSoftDownweighted,DeepApoSoftDownweighted,SuperApoGateReason,DeepApoGateReason,R_t_x_variance,R_t_alpha_variance,R_t_length_variance,R_t_theta_variance,kalman_measurement_r_scale,kalman_measurement_r_scale_theta,kalman_measurement_r_scale_length
0,0.0,77.20313263960081,-14.400000422526404,-14.400000422526404,1218.1953868181588,-10.5,-10.5,-10.5,houghpeaks,False,0.1980802792321117,4.5,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
1,0.09090909090909091,77.31039326280273,-14.369737410042774,-14.377996588475554,1219.8878621349543,-10.5,-10.5,-10.5,houghpeaks,False,0.1984368215371255,4.0,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
2,0.18181818181818182,77.24930996799998,-14.370970783749925,-14.372851471312288,1218.9240231637077,-14.0,-14.0,-14.0,houghpeaks,False,0.09381850065760632,1.0,4,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
3,0.2727272727272727,77.29479374341278,-14.383470938975082,-14.37558633607938,1219.641715872391,-11.0,-11.0,-11.0,houghpeaks,False,0.29568251199302226,3.5,7,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
4,0.36363636363636365,77.48453604772213,-14.356871875481247,-14.350152536424986,1222.6356772816116,-14.0,-14.0,-14.0,houghpeaks,False,0.10030263726761782,1.0,7,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
5,0.45454545454545453,77.39103983288503,-14.36482636536784,-14.347246620900535,1221.1603918403948,-14.5,-14.5,-14.5,houghpeaks,False,0.0,1.0,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
6,0.5454545454545454,77.04410003795736,-14.407813045515255,-14.387795157751043,1215.6859966541597,-15.0,-15.0,-15.0,houghpeaks,False,0.0,0.5,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
7,0.6363636363636364,76.98713437091294,-14.41044026764884,-14.407920625847112,1214.7871301130247,-14.0,-14.0,-14.0,houghpeaks,False,0.09659090909090909,1.0,8,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
8,0.7272727272727273,77.00972106578742,-14.39754704127218,-14.391627056996413,1215.1435276652846,-15.0,-15.0,-15.0,houghpeaks,False,0.0,0.5,5,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
9,0.8181818181818182,77.01277576807595,-14.391551744780436,-14.38914485471966,1215.191728095873,-15.0,-15.0,-15.0,houghpeaks,False,0.0,1.0,7,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
10,0.9090909090909091,76.95972489279767,-14.395043973557023,-14.395619453365896,1214.3546334169257,-15.0,-15.0,-15.0,houghpeaks,False,0.0,1.0,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
11,1.0,76.98992104977357,-14.38666442467732,-14.390384294061079,1214.8311013770976,-14.0,-14.0,-14.0,houghpeaks,False,0.0,2.0,1,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
12,1.0909090909090908,76.9197287444519,-14.406411819396908,-14.424350276473376,1213.7235304844482,-15.0,-15.0,-15.0,houghpeaks,False,0.0,1.0,1,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
13,1.1818181818181819,77.11693584731569,-14.389332357650972,-14.398523107312514,1216.835279642062,-14.5,-14.5,-14.5,houghpeaks,False,0.0,0.5,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
14,1.2727272727272727,77.99402739679823,-14.237594301746991,-14.23268836700288,1230.6749885096367,-16.0,-16.0,-16.0,houghpeaks,False,0.0,1.0,7,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
15,1.3636363636363635,79.0107128770425,-14.128193061021733,-14.129085327616849,1246.7173629513609,-15.0,-15.0,-15.0,houghpeaks,False,0.0,3.0,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
16,1.4545454545454546,79.61864185836397,-14.007860312613342,-14.003611723327225,1256.309930703968,-14.0,-14.0,-14.0,houghpeaks,False,0.0,1.5,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
17,1.5454545454545454,80.45916747652656,-13.940338045210211,-13.944638670969482,1269.5726623515038,-15.0,-15.0,-15.0,houghpeaks,False,0.0,3.0,9,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
18,1.6363636363636365,81.22708666730765,-13.81181838184591,-13.827712491202618,1281.6897304506138,-8.5,-8.5,-8.5,houghpeaks,False,0.19239793524167056,1.0,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
19,1.7272727272727273,82.17640296174534,-13.652718493243981,-13.67263591267988,1296.6690802642263,-12.5,-12.5,-12.5,houghpeaks,False,0.0,5.5,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
20,1.8181818181818181,82.56044124744069,-13.661889460439966,-13.667397877552531,1302.7288559753956,-12.5,-12.5,-12.5,houghpeaks,False,0.10192475940507437,6.0,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
21,1.9090909090909092,82.94147906141148,-13.653262359561953,-13.646403610318572,1308.7412869650727,-10.5,-10.5,-10.5,houghpeaks,False,0.09218612818261633,1.5,4,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
22,2.0,83.29823914629765,-13.664756651221353,-13.672616429810802,1314.3706374169253,-12.0,-12.0,-12.0,houghpeaks,False,0.08891867739052725,1.0,0,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
23,2.090909090909091,84.43715385181224,-13.676778454290886,-13.659369353591217,1332.3416781351043,-13.0,-13.0,-13.0,houghpeaks,False,0.0,2.5,5,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
24,2.1818181818181817,84.85039568725877,-13.654585951515882,-13.613984689143706,1338.8622593650298,-12.0,-12.0,-12.0,houghpeaks,False,0.08995173321632295,1.0,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
25,2.272727272727273,84.4554658655677,-13.637092118362617,-13.629658769723079,1332.6306250977152,-12.5,-12.5,-12.5,houghpeaks,False,0.09504504504504505,2.0,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
26,2.3636363636363638,84.70331586949551,-13.564783687231674,-13.560314048122507,1336.5414732859251,-16.5,-16.5,-16.5,houghpeaks,False,0.0,1.5,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
27,2.4545454545454546,85.66027396484502,-13.458388289400858,-13.462377066261837,1351.6414037845368,-11.5,-11.5,-11.5,houghpeaks,False,0.1864244741873805,1.5,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
28,2.5454545454545454,87.10201109655794,-13.545228731667459,-13.537218809313686,1374.390707637995,-11.5,-11.5,-11.5,houghpeaks,False,0.0947103274559194,1.5,4,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
29,2.6363636363636362,85.74063295850667,-13.707273539891588,-13.725766039697078,1352.909395794977,-11.0,-11.0,-11.0,houghpeaks,False,0.0,1.0,4,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
30,2.727272727272727,86.10335173280396,-13.702260829967173,-13.708947815782778,1358.6327689594314,-10.5,-10.5,-10.5,houghpeaks,False,0.0,1.0,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
31,2.8181818181818183,87.77395828360483,-13.540227000636605,-13.542097013105348,1384.99342459337,-9.5,-9.5,-9.5,houghpeaks,False,0.0,1.0,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
32,2.909090909090909,87.89640375267632,-13.527868911879539,-13.526889676137756,1386.9255030008098,-14.0,-14.0,-14.0,houghpeaks,False,0.0,1.0,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
33,3.0,87.48541230013618,-13.618305330727527,-13.594921072141318,1380.4404307713794,-13.0,-13.0,-13.0,houghpeaks,False,0.0,1.5,1,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
34,3.090909090909091,88.60919599871502,-13.556141209193783,-13.55893637620187,1398.1727179284421,-13.5,-13.5,-13.5,houghpeaks,False,0.0,1.0,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
35,3.1818181818181817,88.45588546402824,-13.586142724473165,-13.564990607589039,1395.7536167894002,-14.0,-14.0,-14.0,houghpeaks,False,0.0,1.0,4,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
36,3.272727272727273,88.2184156446566,-13.6187851209026,-13.644081898741149,1392.0065584955676,-14.0,-14.0,-14.0,houghpeaks,False,0.0,1.0,0,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
37,3.3636363636363638,87.81524763193623,-13.661830386492028,-13.703163449234978,1385.6449330483035,-12.5,-12.5,-12.5,houghpeaks,False,0.0,1.0,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
38,3.4545454545454546,87.76875530728536,-13.630096580768253,-13.652586257388492,1384.911326347698,-14.5,-14.5,-14.5,houghpeaks,False,0.0,1.5,1,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
39,3.5454545454545454,86.83201032744554,-13.748127324571685,-13.747567361583208,1370.1303404725136,-13.5,-13.5,-13.5,houghpeaks,False,0.09605568445475637,1.0,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
40,3.6363636363636362,86.4568955958151,-13.78503104844099,-13.77986428758507,1364.2113703481673,-10.0,-10.0,-10.0,houghpeaks,False,0.0,1.5,9,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
